branch,file,caller_addr,callee_addr,pre_call_context,post_call_operation,xdata_context,packet_role_hypothesis,confidence,notes
A03_A04,A03_26.PZU,0x41D0,0x41E8,DPTR_setup_near=0x41CD,adjacent_call_flow->0x41E8,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0x6425,0x67C3,DPTR_setup_near=0x6422,adjacent_call_flow->0x67C3,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0x645E,0x67C3,DPTR_setup_near=0x645B,adjacent_call_flow->0x67C3,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0x7962,0x67CA,DPTR_setup_near=0x795F,adjacent_call_flow->0x67CA,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0x726D,0x67D9,DPTR_setup_near=0x726A,adjacent_call_flow->0x67D9,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0x795C,0x67D9,DPTR_setup_near=0x7959,adjacent_call_flow->0x67D9,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0x6777,0x67E8,DPTR_setup_near=0x6774,adjacent_call_flow->0x67E8,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xAE6B,0x680C,DPTR_setup_near=0xAE68,adjacent_call_flow->0x680C,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA914,0x6824,DPTR_setup_near=0xA911,adjacent_call_flow->0x6824,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0x9F6D,0x6834,DPTR_setup_near=0x9F6A,adjacent_call_flow->0x6834,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xAE7B,0x6834,DPTR_setup_near=0xAE78,adjacent_call_flow->0x6834,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0x64CC,0x683F,DPTR_setup_near=0x64C9,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0x64F2,0x683F,DPTR_setup_near=0x64EF,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0x874C,0x683F,DPTR_setup_near=0x8749,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0x875D,0x683F,DPTR_setup_near=0x875A,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA275,0x683F,DPTR_setup_near=0xA272,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA286,0x683F,DPTR_setup_near=0xA283,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA297,0x683F,DPTR_setup_near=0xA294,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA2A8,0x683F,DPTR_setup_near=0xA2A5,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA2B9,0x683F,DPTR_setup_near=0xA2B6,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA2CA,0x683F,DPTR_setup_near=0xA2C7,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA2DB,0x683F,DPTR_setup_near=0xA2D8,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA2EC,0x683F,DPTR_setup_near=0xA2E9,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA303,0x683F,DPTR_setup_near=0xA300,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA314,0x683F,DPTR_setup_near=0xA311,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA325,0x683F,DPTR_setup_near=0xA322,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA336,0x683F,DPTR_setup_near=0xA333,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA347,0x683F,DPTR_setup_near=0xA344,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA358,0x683F,DPTR_setup_near=0xA355,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA369,0x683F,DPTR_setup_near=0xA366,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0xA37A,0x683F,DPTR_setup_near=0xA377,adjacent_call_flow->0x683F,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0x41FC,0x68E6,DPTR_setup_near=0x41F9,adjacent_call_flow->0x68E6,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0x8056,0x68E6,DPTR_setup_near=0x8053,adjacent_call_flow->0x68E6,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
A03_A04,A03_26.PZU,0x8F1A,0x68E6,DPTR_setup_near=0x8F17,adjacent_call_flow->0x68E6,packet_window/queue candidate,bridge_or_builder_adjacency,probable,Structural callsite trace only
