file,function_addr,code_addr,block_addr,mnemonic,operands,target_addr,fallthrough_addr,xdata_addr,xdata_access_type,call_type,call_target,notes
A03_26.PZU,0x8904,0x8904,0x8904,MOV,"DPTR,#0x4DB6",,0x8907,0x4DB6,read,,,xdata
A03_26.PZU,0x8904,0x8907,0x8904,MOVX,"A,@DPTR",,0x8908,,,,,
A03_26.PZU,0x8904,0x8908,0x8904,JNZ,+18,0x891C,0x890A,,,,,
A03_26.PZU,0x8904,0x890A,0x890A,MOV,"DPTR,#0x3298",,0x890D,0x3298,read,,,xdata
A03_26.PZU,0x8904,0x890D,0x890A,MOVX,"A,@DPTR",,0x890E,,,,,
A03_26.PZU,0x8904,0x890E,0x890A,MOV,"0xF0,A",,0x8910,,,,,
A03_26.PZU,0x8904,0x8910,0x890A,JNB,"0xF7,+96",0x8973,0x8913,,,,,
A03_26.PZU,0x8904,0x8913,0x8913,MOV,"DPTR,#0x4FD7",,0x8916,0x4FD7,read,,,xdata
A03_26.PZU,0x8904,0x8916,0x8913,MOVX,"A,@DPTR",,0x8917,,,,,
A03_26.PZU,0x8904,0x8917,0x8913,JZ,+4,0x891D,0x8919,,,,,
A03_26.PZU,0x8904,0x8919,0x8919,JB,"0xE7,+1",0x891D,0x891C,,,,,
A03_26.PZU,0x8904,0x891C,0x891C,RET,,,,,,,,
A03_26.PZU,0x8904,0x891D,0x891D,MOV,"DPTR,#0x4DB6",,0x8920,,,,,
A03_26.PZU,0x8904,0x8920,0x891D,MOV,"A,#0x01",,0x8922,,,,,
A03_26.PZU,0x8904,0x8922,0x891D,MOVX,"@DPTR,A",,0x8923,,,,,
A03_26.PZU,0x8904,0x8923,0x891D,MOV,"DPTR,#0x4DB7",,0x8926,,,,,
A03_26.PZU,0x8904,0x8926,0x891D,MOV,"A,#0x02",,0x8928,,,,,
A03_26.PZU,0x8904,0x8928,0x891D,MOVX,"@DPTR,A",,0x8929,,,,,
A03_26.PZU,0x8904,0x8929,0x891D,MOV,"DPTR,#0x3299",,0x892C,0x3299,read,,,xdata
A03_26.PZU,0x8904,0x892C,0x891D,MOVX,"A,@DPTR",,0x892D,,,,,
A03_26.PZU,0x8904,0x892D,0x891D,JNZ,+42,0x8959,0x892F,,,,,
A03_26.PZU,0x8904,0x892F,0x892F,MOV,"DPTR,#0x4FD8",,0x8932,0x4FD8,read,,,xdata
A03_26.PZU,0x8904,0x8932,0x892F,MOVX,"A,@DPTR",,0x8933,,,,,
A03_26.PZU,0x8904,0x8933,0x892F,CJNE,"A,#0x01,+10",0x8940,0x8936,,,,,
A03_26.PZU,0x8904,0x8936,0x8936,INC,DPTR,,0x8937,,,,,
A03_26.PZU,0x8904,0x8937,0x8936,MOVX,"A,@DPTR",,0x8938,,,,,
A03_26.PZU,0x8904,0x8938,0x8936,MOV,"DPTR,#0x329C",,0x893B,0x329C,write,,,xdata
A03_26.PZU,0x8904,0x893B,0x8936,MOVX,"@DPTR,A",,0x893C,,,,,
A03_26.PZU,0x8904,0x893C,0x8936,MOV,"DPTR,#0x329D",,0x893F,0x329D,write,,,xdata
A03_26.PZU,0x8904,0x893F,0x8936,MOVX,"@DPTR,A",,0x8940,,,,,
A03_26.PZU,0x8904,0x8940,0x8940,MOV,"DPTR,#0x3299",,0x8943,,,,,
A03_26.PZU,0x8904,0x8943,0x8940,MOV,"A,#0x01",,0x8945,,,,,
A03_26.PZU,0x8904,0x8945,0x8940,MOVX,"@DPTR,A",,0x8946,,,,,
A03_26.PZU,0x8904,0x8946,0x8940,SJMP,+35,0x896B,,,,SJMP,0x896B,
A03_26.PZU,0x8904,0x8959,0x8959,CJNE,"A,#0x08,+0",0x895C,0x895C,,,,,
A03_26.PZU,0x8904,0x895C,0x895C,JC,+7,0x8965,0x895E,,,,,
A03_26.PZU,0x8904,0x895E,0x895E,MOV,"DPTR,#0x3299",,0x8961,,,,,
A03_26.PZU,0x8904,0x8961,0x895E,UNK,,,0x8962,,,,,
A03_26.PZU,0x8904,0x8962,0x895E,MOVX,"@DPTR,A",,0x8963,,,,,
A03_26.PZU,0x8904,0x8963,0x895E,SJMP,+6,0x896B,,,,SJMP,0x896B,
A03_26.PZU,0x8904,0x8965,0x8965,MOV,"DPTR,#0x3299",,0x8968,0x3299,read,,,xdata
A03_26.PZU,0x8904,0x8968,0x8965,MOVX,"A,@DPTR",,0x8969,,,,,
A03_26.PZU,0x8904,0x8969,0x8965,UNK,,,0x896A,,,,,
A03_26.PZU,0x8904,0x896A,0x8965,MOVX,"@DPTR,A",,0x896B,,,,,
A03_26.PZU,0x8904,0x896B,0x896B,MOV,"DPTR,#0x3298",,0x896E,0x3298,read,,,xdata
A03_26.PZU,0x8904,0x896E,0x896B,MOVX,"A,@DPTR",,0x896F,,,,,
A03_26.PZU,0x8904,0x896F,0x896B,CLR,0xE7,,0x8971,,,,,
A03_26.PZU,0x8904,0x8971,0x896B,MOVX,"@DPTR,A",,0x8972,,,,,
