branch,file,function_addr,code_addr,block_addr,mnemonic,operands,event_type,target_addr,fallthrough_addr,xdata_addr,xdata_access_type,call_target,state_marker,mode_marker,gating_marker,output_marker,packet_marker,confidence,notes
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x497A,0x497A,MOV,"DPTR,#0x0035",instruction,,0x497D,0x0035,read,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x497D,0x497A,MOVX,"A,@DPTR",instruction,,0x497E,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x497E,0x497A,ANL,"A,#0x0F",bit_operation,,0x4980,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x4980,0x497A,MOV,"0xF0,A",instruction,,0x4982,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x4982,0x497A,INC,DPTR,instruction,,0x4983,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x4983,0x497A,MOVX,"A,@DPTR",instruction,,0x4984,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x4984,0x497A,ANL,"A,#0x0F",bit_operation,,0x4986,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x4986,0x497A,UNK,,instruction,,0x4987,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x4987,0x497A,UNK,,instruction,,0x4988,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x4988,0x497A,UNK,,instruction,,0x498A,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x498A,0x497A,JC,+2,conditional_branch,0x498E,0x498C,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x498C,0x498C,CLR,0x04,bit_operation,,0x498E,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x498E,0x498E,RET,,instruction,,,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54BC,0x54BC,CLR,0xAF,bit_operation,,0x54BE,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54BE,0x54BC,MOV,"DPTR,#0x0001",instruction,,0x54C1,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54C1,0x54BC,LCALL,0x7922,call,0x7922,0x54C4,,,0x7922,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54C4,0x54BC,MOV,"A,0x8E",instruction,,0x54C6,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54C6,0x54BC,MOV,"DPTR,#0x36D9",instruction,,0x54C9,0x36D9,write,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54C9,0x54BC,MOVX,"@DPTR,A",instruction,,0x54CA,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54CA,0x54BC,SETB,0xAF,bit_operation,,0x54CC,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54CC,0x54BC,MOV,"DPTR,#0x36DA",instruction,,0x54CF,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54CF,0x54BC,LCALL,0x7928,call,0x7928,0x54D2,,,0x7928,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54D2,0x54BC,MOV,"DPTR,#0x36D3",instruction,,0x54D5,0x36D3,read,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54D5,0x54BC,MOVX,"A,@DPTR",instruction,,0x54D6,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54D6,0x54BC,JNB,"0xE7,+10",conditional_branch,0x54E3,0x54D9,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54D9,0x54D9,LJMP,0x859A,jump,0x859A,,,,0x859A,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54E3,0x54E3,SETB,0xE7,bit_operation,,0x54E5,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54E5,0x54E3,MOVX,"@DPTR,A",instruction,,0x54E6,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54E6,0x54E3,JB,"0xE0,+74",conditional_branch,0x5533,0x54E9,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54E9,0x54E9,MOV,"DPTR,#0x3010",instruction,,0x54EC,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54EC,0x54E9,MOV,"0xF0,#0x10",instruction,,0x54EF,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54EF,0x54E9,UNK,,instruction,,0x54F1,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54F1,0x54E9,MOV,"DPTR,#0x3040",instruction,,0x54F4,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54F4,0x54F4,UNK,,instruction,,0x54F5,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54F5,0x54F4,MOVX,"@DPTR,A",instruction,,0x54F6,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54F6,0x54F4,INC,DPTR,instruction,,0x54F7,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54F7,0x54F4,MOV,"A,0x83",instruction,,0x54F9,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54F9,0x54F4,CJNE,"A,#0x35,-8",conditional_branch,0x54F4,0x54FC,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54FC,0x54FC,MOV,"A,0x82",instruction,,0x54FE,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x54FE,0x54FC,CJNE,"A,#0xFF,-13",conditional_branch,0x54F4,0x5501,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5501,0x5501,MOV,"DPTR,#0x7B42",instruction,,0x5504,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5504,0x5501,LCALL,0x6CFB,call,0x6CFB,0x5507,,,0x6CFB,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5507,0x5501,MOV,"DPTR,#0x36D5",instruction,,0x550A,0x36D5,read,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x550A,0x5501,MOVX,"A,@DPTR",instruction,,0x550B,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x550B,0x5501,UNK,,instruction,,0x550C,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x550C,0x5501,MOV,"0xF0,A",instruction,,0x550E,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x550E,0x5501,MOV,"DPTR,#0x36D4",instruction,,0x5511,0x36D4,read,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5511,0x5501,MOVX,"A,@DPTR",instruction,,0x5512,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5512,0x5501,CJNE,"A,0xF0,+18",conditional_branch,0x5527,0x5515,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5515,0x5515,MOV,"R3,#0x10",instruction,,0x5517,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5517,0x5515,MOV,"0xF0,#0x01",instruction,,0x551A,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x551A,0x5515,MOV,"DPTR,#0x8000",instruction,,0x551D,0x8000,read,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x551D,0x551D,MOVX,"A,@DPTR",instruction,,0x551E,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x551E,0x551D,UNK,,instruction,,0x5520,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5520,0x551D,MOV,"0xF0,A",instruction,,0x5522,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5522,0x551D,INC,DPTR,instruction,,0x5523,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5523,0x551D,DJNZ,"R3,-8",jump,0x551D,0x5525,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5525,0x5525,JZ,+8,conditional_branch,0x552F,0x5527,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5527,0x5527,MOV,"DPTR,#0x36D4",instruction,,0x552A,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x552A,0x5527,MOV,"0xF0,#0x05",instruction,,0x552D,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x552D,0x5527,UNK,,instruction,,0x552F,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x552F,0x552F,MOV,"R7,#0x00",instruction,,0x5531,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5531,0x552F,SJMP,+18,jump,0x5545,,,,0x5545,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5533,0x5533,MOV,"DPTR,#0x3040",instruction,,0x5536,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5536,0x5536,UNK,,instruction,,0x5537,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5537,0x5536,MOVX,"@DPTR,A",instruction,,0x5538,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5538,0x5536,INC,DPTR,instruction,,0x5539,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5539,0x5536,MOV,"A,0x83",instruction,,0x553B,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x553B,0x5536,CJNE,"A,#0x31,-8",conditional_branch,0x5536,0x553E,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x553E,0x553E,MOV,"A,0x82",instruction,,0x5540,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5540,0x553E,CJNE,"A,#0x7E,-13",conditional_branch,0x5536,0x5543,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5543,0x5543,MOV,"R7,#0x01",instruction,,0x5545,,,,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5545,0x5545,LCALL,0x832D,call,0x832D,0x5548,,,0x832D,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x5548,0x5545,LCALL,0x5D22,call,0x5D22,0x554B,,,0x5D22,state_update_candidate,none,none,none,none,medium,
shared_chain,90CYE03_19_DKS.PZU,0x497A,0x554B,0x5545,LCALL,0x59A0,call,0x59A0,0x554E,,,0x59A0,state_update_candidate,none,none,none,none,medium,
