file,branch,block_addr,block_type,entry_evidence,parent_function_candidate,incoming_lcalls,incoming_ljmps,incoming_sjmps,instruction_count,ends_with,target_addr,fallthrough_addr,confidence
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4100,function_entry,entry_vector,0x4100,0,0,0,10,fallthrough,,0x4112,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4112,internal_jump_block,jump_target,0x4112,0,0,1,2,conditional_branch,0x4119,0x4116,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4116,unknown_block,,0x4112,0,0,0,1,LJMP,0x415F,,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4119,conditional_branch_block,,0x4112,0,0,0,1,conditional_branch,0x4151,0x411C,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x411C,unknown_block,,0x4112,0,0,0,9,fallthrough,,0x4127,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4127,internal_jump_block,jump_target,0x4127,0,0,1,2,conditional_branch,0x412E,0x412B,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x412B,unknown_block,,0x4127,0,0,0,1,LJMP,0x415F,,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x412E,conditional_branch_block,,0x4127,0,0,0,1,conditional_branch,0x413C,0x4131,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4131,unknown_block,,0x4127,0,0,0,8,LJMP,0x415F,0x4139,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x413C,conditional_branch_block,,0x4127,0,0,0,16,SJMP,0x4127,0x414F,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4151,conditional_branch_block,,0x4127,0,0,0,7,SJMP,0x4112,0x415D,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x415F,internal_jump_block,jump_target,0x415F,0,3,0,15,RET,,0x4175,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4176,function_entry,entry_vector,0x4176,0,0,0,11,conditional_branch,0x41CF,0x4188,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4188,unknown_block,,0x4176,0,0,0,17,conditional_branch,0x41B2,0x41A3,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41A3,unknown_block,,0x4176,0,0,0,9,LJMP,0x41CD,0x41AF,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41B2,conditional_branch_block,,0x4176,0,0,0,12,conditional_branch,0x41CD,0x41C5,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41C5,unknown_block,,0x4176,0,0,0,5,fallthrough,,0x41CD,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41CD,conditional_branch_block,jump_target,0x41CD,0,1,0,1,fallthrough,,0x41CF,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41CF,conditional_branch_block,,0x41CD,0,0,0,1,RET,,,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41D0,function_entry,entry_vector,0x41D0,0,0,0,12,conditional_branch,0x41E7,0x41E5,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41E5,unknown_block,,0x41D0,0,0,0,1,fallthrough,,0x41E7,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41E7,conditional_branch_block,,0x41D0,0,0,0,1,RET,,,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41E8,function_entry,call_target,0x41E8,1,0,0,2,conditional_branch,0x41F6,0x41EC,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41EC,unknown_block,,0x41E8,0,0,0,6,fallthrough,,0x41F6,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41F6,conditional_branch_block,,0x41E8,0,0,0,11,LJMP,0x5CF4,0x420C,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4933,function_entry,entry_vector,0x4933,0,0,0,11,conditional_branch,0x4947,0x4945,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4945,unknown_block,,0x4933,0,0,0,1,fallthrough,,0x4947,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4947,conditional_branch_block,,0x4933,0,0,0,10,RETI,,0x4958,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4959,function_entry,entry_vector,0x4959,0,0,0,11,conditional_branch,0x496D,0x496B,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x496B,unknown_block,,0x4959,0,0,0,1,fallthrough,,0x496D,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x496D,conditional_branch_block,,0x4959,0,0,0,10,RETI,,0x497E,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x497F,function_entry,entry_vector,0x497F,0,0,0,11,conditional_branch,0x4993,0x4991,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4991,unknown_block,,0x497F,0,0,0,1,fallthrough,,0x4993,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4993,conditional_branch_block,,0x497F,0,0,0,1,RET,,,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5CF4,internal_jump_block,jump_target,0x5CF4,0,1,0,6,conditional_branch,0x5D04,0x5D01,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D01,unknown_block,,0x5CF4,0,0,0,1,LJMP,0x8B6D,,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D04,conditional_branch_block,,0x5CF4,0,0,0,3,conditional_branch,0x5D50,0x5D0A,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D0A,unknown_block,,0x5CF4,0,0,0,4,fallthrough,0x6060,0x5D16,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D16,conditional_branch_block,,0x5CF4,0,0,0,5,conditional_branch,0x5D16,0x5D1E,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D1E,unknown_block,,0x5CF4,0,0,0,2,conditional_branch,0x5D16,0x5D23,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D23,unknown_block,,0x5CF4,0,0,0,7,conditional_branch,0x5D43,0x5D31,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D31,unknown_block,,0x5CF4,0,0,0,3,fallthrough,,0x5D39,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D39,conditional_branch_block,,0x5CF4,0,0,0,5,conditional_branch,0x5D39,0x5D41,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D41,unknown_block,,0x5CF4,0,0,0,1,conditional_branch,0x5D4C,0x5D43,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D43,conditional_branch_block,,0x5CF4,0,0,0,3,fallthrough,0x6060,0x5D4C,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D4C,conditional_branch_block,,0x5CF4,0,0,0,2,SJMP,0x5D62,0x5D4E,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D50,conditional_branch_block,,0x5CF4,0,0,0,1,fallthrough,,0x5D53,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D53,conditional_branch_block,,0x5CF4,0,0,0,5,conditional_branch,0x5D53,0x5D5B,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D5B,unknown_block,,0x5CF4,0,0,0,2,conditional_branch,0x5D53,0x5D60,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D60,unknown_block,,0x5CF4,0,0,0,1,fallthrough,,0x5D62,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D62,internal_jump_block,jump_target,0x5D62,0,0,1,6,conditional_branch,0x5D9E,0x5D72,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D72,unknown_block,,0x5D62,0,0,0,11,conditional_branch,0x5D9E,0x5D8E,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D8E,unknown_block,,0x5D62,0,0,0,6,fallthrough,0x83A9,0x5D9E,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D9E,conditional_branch_block,,0x5D62,0,0,0,23,conditional_branch,0x5DFF,0x5DCE,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5DCE,unknown_block,,0x5D62,0,0,0,3,conditional_branch,0x5DFF,0x5DD6,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5DD6,unknown_block,,0x5D62,0,0,0,18,LJMP,0x5DFF,0x5DF8,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5DFF,conditional_branch_block,jump_target,0x5DFF,0,1,0,15,fallthrough,0x6060,0x5E1D,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5E1D,conditional_branch_block,,0x5DFF,0,0,0,15,conditional_branch,0x5E1D,0x5E3C,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5E3C,unknown_block,,0x5DFF,0,0,0,4,fallthrough,,0x5E44,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5E44,conditional_branch_block,,0x5DFF,0,0,0,13,conditional_branch,0x5E44,0x5E5B,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5E5B,unknown_block,,0x5DFF,0,0,0,4,fallthrough,,0x5E63,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5E63,conditional_branch_block,,0x5DFF,0,0,0,13,conditional_branch,0x5E63,0x5E7E,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5E7E,unknown_block,,0x5DFF,0,0,0,18,fallthrough,0x7C2F,0x5EA4,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5EA4,conditional_branch_block,,0x5DFF,0,0,0,13,conditional_branch,0x5EA4,0x5EBF,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5EBF,unknown_block,,0x5DFF,0,0,0,2,conditional_branch,0x5EE5,0x5EC3,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5EC3,unknown_block,,0x5DFF,0,0,0,4,fallthrough,,0x5ECB,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5ECB,conditional_branch_block,,0x5DFF,0,0,0,10,conditional_branch,0x5ECB,0x5EDF,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5EDF,unknown_block,,0x5DFF,0,0,0,3,conditional_branch,0x5ECB,0x5EE5,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5EE5,conditional_branch_block,,0x5DFF,0,0,0,4,fallthrough,,0x5EED,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5EED,conditional_branch_block,,0x5DFF,0,0,0,10,conditional_branch,0x5EED,0x5F01,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5F01,unknown_block,,0x5DFF,0,0,0,3,conditional_branch,0x5EED,0x5F07,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5F07,unknown_block,,0x5DFF,0,0,0,34,fallthrough,0x604B,0x5F51,unknown
