branch,target_addr,lcall_count,ljmp_count,files,role_candidate,confidence,evidence_source
90CYE_DKS,0x415F,0,2,90CYE03_19_DKS.PZU;90CYE04_19_DKS.PZU,unknown,unknown,reachable_disasm
90CYE_DKS,0x41CD,0,2,90CYE03_19_DKS.PZU;90CYE04_19_DKS.PZU,unknown,unknown,reachable_disasm
90CYE_DKS,0x41E8,2,0,90CYE03_19_DKS.PZU;90CYE04_19_DKS.PZU,unknown,unknown,reachable_disasm
90CYE_DKS,0x54BC,0,2,90CYE03_19_DKS.PZU;90CYE04_19_DKS.PZU,unknown,unknown,reachable_disasm
90CYE_DKS,0x7902,2,0,90CYE03_19_DKS.PZU;90CYE04_19_DKS.PZU,unknown,unknown,reachable_disasm
90CYE_DKS,0x7922,2,0,90CYE03_19_DKS.PZU;90CYE04_19_DKS.PZU,unknown,unknown,reachable_disasm
90CYE_DKS,0x7928,2,0,90CYE03_19_DKS.PZU;90CYE04_19_DKS.PZU,unknown,unknown,reachable_disasm
90CYE_DKS,0x792E,2,0,90CYE03_19_DKS.PZU;90CYE04_19_DKS.PZU,unknown,unknown,reachable_disasm
90CYE_DKS,0x859A,0,2,90CYE03_19_DKS.PZU;90CYE04_19_DKS.PZU,unknown,unknown,reachable_disasm
90CYE_DKS,0x862D,0,2,90CYE03_19_DKS.PZU;90CYE04_19_DKS.PZU,unknown,unknown,reachable_disasm
90CYE_shifted_DKS,0x415F,0,1,90CYE02_27 DKS.PZU,unknown,unknown,reachable_disasm
90CYE_shifted_DKS,0x41CD,0,1,90CYE02_27 DKS.PZU,unknown,unknown,reachable_disasm
90CYE_shifted_DKS,0x41E8,1,0,90CYE02_27 DKS.PZU,unknown,unknown,reachable_disasm
90CYE_shifted_DKS,0x5CF4,0,1,90CYE02_27 DKS.PZU,unknown,unknown,reachable_disasm
90CYE_shifted_DKS,0x7BD2,1,0,90CYE02_27 DKS.PZU,unknown,unknown,reachable_disasm
