file,branch,code_addr,call_type,target_addr,is_reachable,target_in_code_range,target_known_function,confidence
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4116,LJMP,0x415F,true,true,true,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41AF,LJMP,0x41CD,true,true,true,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41D0,LCALL,0x41E8,true,true,true,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4201,LCALL,0x7BD2,true,true,true,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4209,LCALL,0x7C46,true,true,true,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x420C,LJMP,0x5CF4,true,true,true,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D01,LJMP,0x8B6D,true,true,true,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8B74,LCALL,0x7FC2,true,true,true,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7FEF,SJMP,0x7FDB,true,true,true,high
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x4116,LJMP,0x415F,true,true,true,high
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x41AF,LJMP,0x41CD,true,true,true,high
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x41D0,LCALL,0x41E8,true,true,true,high
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x4201,LCALL,0x9AC2,true,true,true,high
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x4209,LCALL,0x9B22,true,true,true,high
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x420C,LJMP,0x6E7C,true,true,true,high
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x6E89,LJMP,0xAC3A,true,true,true,high
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0xAC41,LCALL,0xA5A9,true,true,true,high
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0xAC44,LJMP,0xACDA,true,true,true,high
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0xA5B0,LCALL,0x72AC,true,true,true,high
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0xA5B4,LCALL,0x8FC4,true,true,true,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x4116,LJMP,0x415F,true,true,true,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x41AF,LJMP,0x41CD,true,true,true,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x41D0,LCALL,0x41E8,true,true,true,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x41FC,LCALL,0x7902,true,true,true,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x4204,LCALL,0x792E,true,true,true,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x4207,LJMP,0x54BC,true,true,true,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x54C1,LCALL,0x7922,true,true,true,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x54CF,LCALL,0x7928,true,true,true,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x54D9,LJMP,0x859A,true,true,true,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x85A3,LJMP,0x862D,true,true,true,high
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x4116,LJMP,0x415F,true,true,true,high
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x41AF,LJMP,0x41CD,true,true,true,high
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x41D0,LCALL,0x41E8,true,true,true,high
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x4201,LCALL,0x9AC2,true,true,true,high
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x4209,LCALL,0x9B22,true,true,true,high
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x420C,LJMP,0x6E7C,true,true,true,high
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x6E89,LJMP,0xAC3A,true,true,true,high
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0xAC41,LCALL,0xA5A9,true,true,true,high
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0xAC44,LJMP,0xACDA,true,true,true,high
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0xA5B0,LCALL,0x72AC,true,true,true,high
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0xA5B4,LCALL,0x8FC4,true,true,true,high
90CYE04_19_DKS.PZU,90CYE_DKS,0x4116,LJMP,0x415F,true,true,true,high
90CYE04_19_DKS.PZU,90CYE_DKS,0x41AF,LJMP,0x41CD,true,true,true,high
90CYE04_19_DKS.PZU,90CYE_DKS,0x41D0,LCALL,0x41E8,true,true,true,high
90CYE04_19_DKS.PZU,90CYE_DKS,0x41FC,LCALL,0x7902,true,true,true,high
90CYE04_19_DKS.PZU,90CYE_DKS,0x4204,LCALL,0x792E,true,true,true,high
90CYE04_19_DKS.PZU,90CYE_DKS,0x4207,LJMP,0x54BC,true,true,true,high
90CYE04_19_DKS.PZU,90CYE_DKS,0x54C1,LCALL,0x7922,true,true,true,high
90CYE04_19_DKS.PZU,90CYE_DKS,0x54CF,LCALL,0x7928,true,true,true,high
90CYE04_19_DKS.PZU,90CYE_DKS,0x54D9,LJMP,0x859A,true,true,true,high
90CYE04_19_DKS.PZU,90CYE_DKS,0x85A3,LJMP,0x862D,true,true,true,high
