file,branch,code_addr,call_type,target_addr
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4000,LJMP,0x4100
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4006,LJMP,0x4176
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x400C,LJMP,0x41D0
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4012,LJMP,0x4933
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4018,LJMP,0x4959
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x401E,LJMP,0x497F
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4116,LJMP,0x415F
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x411A,LJMP,0x35A3
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x412B,LJMP,0x415F
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4139,LJMP,0x415F
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4164,LJMP,0xD203
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41AF,LJMP,0x41CD
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41D0,LCALL,0x41E8
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41E4,LJMP,0xC201
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4201,LCALL,0x7BD2
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4209,LCALL,0x7C46
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x420C,LJMP,0x5CF4
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4226,LCALL,0x4297
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4229,LCALL,0x3FAC
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x422E,LCALL,0x3FAF
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4232,LJMP,0x80DE
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4278,LJMP,0x1583
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4283,LJMP,0x1583
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x44CB,LJMP,0xC322
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x451E,LJMP,0xC322
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4524,LCALL,0x42AD
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x453A,LJMP,0xC322
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x454D,LCALL,0x42AD
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4586,LJMP,0xC322
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x459A,LCALL,0x42AD
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x45A8,LJMP,0xC322
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x45B3,LJMP,0x0583
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x45FF,LJMP,0xC322
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4620,LCALL,0x42AD
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x463E,LJMP,0xC322
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x464C,LJMP,0xD322
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4678,LCALL,0x4625
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4690,LCALL,0x4643
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4694,LJMP,0xD322
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4697,LCALL,0x4661
