reference_branch,reference_file,reference_function,reference_role,target_branch,target_file,candidate_function,match_type,match_score,confidence,evidence_summary,xdata_overlap,callgraph_overlap,string_or_table_overlap,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,shared runtime/state dispatcher,90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x497F,xdata_pattern_match,0.651,hypothesis,"shift=5, size/calls/xdata profile + callgraph/xdata overlap",0x0035,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,shared runtime/state dispatcher,90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x497F,xdata_pattern_match,0.560,hypothesis,"shift=5, size/calls/xdata profile + callgraph/xdata overlap",0x0035,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,shared runtime/state dispatcher,90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x497F,xdata_pattern_match,0.560,hypothesis,"shift=5, size/calls/xdata profile + callgraph/xdata overlap",0x0035,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,shared runtime/state dispatcher,A03_A04,A03_26.PZU,0x497A,xdata_pattern_match,0.568,hypothesis,"shift=0, size/calls/xdata profile + callgraph/xdata overlap",0x0035,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,shared runtime/state dispatcher,A03_A04,A04_28.PZU,0x497A,xdata_pattern_match,0.565,hypothesis,"shift=0, size/calls/xdata profile + callgraph/xdata overlap",0x0035,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,condition-check helper,90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x8405,hypothesis,0.466,unknown,"shift=10886, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,condition-check helper,90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0xA496,hypothesis,0.466,unknown,"shift=19223, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,condition-check helper,90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0xA496,hypothesis,0.466,unknown,"shift=19223, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,condition-check helper,A03_A04,A03_26.PZU,0x6D38,hypothesis,0.469,unknown,"shift=5049, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,condition-check helper,A03_A04,A04_28.PZU,0x6C11,hypothesis,0.469,unknown,"shift=4754, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,condition-check helper,RTOS_service,ppkp2001 90cye01.PZU,0x4A0F,hypothesis,0.483,unknown,"shift=3952, size/calls/xdata profile + callgraph/xdata overlap",,,-,DKS reference used as structural template only; no semantic transfer
