reference_cluster,reference_xdata,target_branch,target_file,target_xdata_candidate,access_pattern,functions_using,it_matches,basis,confidence,notes
packet_output_context,0x3165,90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x3158,read,0x85B6|0x8643,partial,hypothesis,hypothesis,
packet_output_context,0x3165,90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x315E,read,0xA83F|0xA9FC,partial,hypothesis,hypothesis,
packet_output_context,0x3165,90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x315E,read,0xA83F|0xA9FC,partial,hypothesis,hypothesis,
packet_output_context,0x3165,A03_A04,A03_26.PZU,0x3153,read,0x88B8,partial,hypothesis,hypothesis,
packet_output_context,0x3165,A03_A04,A04_28.PZU,0x3153,read,0x8853,partial,hypothesis,hypothesis,
packet_output_context,0x31BF,90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x32B3,read,0x7773|0x7A81,yes,xdata_pattern_match,probable,shift +0xF4 treated as shifted_DKS-style hint only
packet_output_context,0x31BF,90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x31A0,write,0x8794,partial,hypothesis,hypothesis,
packet_output_context,0x31BF,90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x31A0,write,0x8794,partial,hypothesis,hypothesis,
packet_output_context,0x31BF,RTOS_service,ppkp2001 90cye01.PZU,0x31AD,read,0x76E0,partial,hypothesis,hypothesis,
packet_output_context,0x31BF,RTOS_service,ppkp2012 a01.PZU,0x31AD,read,0x7795,partial,hypothesis,hypothesis,
packet_output_context,0x31BF,RTOS_service,ppkp2019 a02.PZU,0x31AD,read,0x7B1C,partial,hypothesis,hypothesis,
runtime_mode_flags,0x30E7,90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x31DB,read/write,0x7A8A|0x7A97,yes,xdata_pattern_match,probable,shift +0xF4 treated as shifted_DKS-style hint only
runtime_mode_flags,0x30E7,A03_A04,A03_26.PZU,0x30D8,write,0x76B9,partial,hypothesis,hypothesis,
runtime_mode_flags,0x30E7,A03_A04,A04_28.PZU,0x30D8,write,0x75E6,partial,hypothesis,hypothesis,
runtime_mode_flags,0x30E9,90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x3102,read,0x7DEA|0x7F77,partial,hypothesis,hypothesis,
runtime_mode_flags,0x30E9,A03_A04,A03_26.PZU,0x30D8,write,0x76B9,partial,hypothesis,hypothesis,
runtime_mode_flags,0x30E9,A03_A04,A04_28.PZU,0x30D8,write,0x75E6,partial,hypothesis,hypothesis,
runtime_mode_flags,0x30EA..0x30F9,90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x0001,read,0x75FE|0x7701|0x770D|0x7A56|0x7A8E|0x7B29|0x7FD1|0x8011|0x8066,partial,hypothesis,hypothesis,
