file,branch,code_addr,opcode_hex,mnemonic,operands,length,target_addr,fallthrough_addr,is_reachable,source,confidence
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4100,75 4E E2,MOV,"0x4E,#0xE2",3,,0x4103,True,entry_vector,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4103,75 4F 2E,MOV,"0x4F,#0x2E",3,,0x4106,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4106,90 00 30,MOV,"DPTR,#0x0030",3,,0x4109,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4109,E0,MOVX,"A,@DPTR",1,,0x410A,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x410A,FF,MOV,"R7,A",1,,0x410B,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x410B,A3,INC,DPTR,1,,0x410C,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x410C,E0,MOVX,"A,@DPTR",1,,0x410D,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x410D,FE,MOV,"R6,A",1,,0x410E,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x410E,8E 83,UNK,,2,,0x4110,True,flow,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4110,8F 82,UNK,,2,,0x4112,True,flow,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4112,E0,MOVX,"A,@DPTR",1,,0x4113,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4113,B4 FF 03,CJNE,"A,#0xFF,+3",3,0x4119,0x4116,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4116,02 41 5F,LJMP,0x415F,3,0x415F,,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4176,90 00 35,MOV,"DPTR,#0x0035",3,,0x4179,True,entry_vector,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4179,E0,MOVX,"A,@DPTR",1,,0x417A,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x417A,54 0F,ANL,"A,#0x0F",2,,0x417C,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x417C,F5 F0,MOV,"0xF0,A",2,,0x417E,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x417E,A3,INC,DPTR,1,,0x417F,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x417F,E0,MOVX,"A,@DPTR",1,,0x4180,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4180,54 0F,ANL,"A,#0x0F",2,,0x4182,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4182,23,UNK,,1,,0x4183,True,flow,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4183,C3,UNK,,1,,0x4184,True,flow,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4184,95 F0,UNK,,2,,0x4186,True,flow,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4186,40 47,JC,+71,2,0x41CF,0x4188,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4188,C2 00,CLR,0x00,2,,0x418A,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x418A,90 2F 25,MOV,"DPTR,#0x2F25",3,,0x418D,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x418D,E0,MOVX,"A,@DPTR",1,,0x418E,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x418E,24 C8,ADD,"A,#0xC8",2,,0x4190,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4190,FF,MOV,"R7,A",1,,0x4191,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4191,90 2F 24,MOV,"DPTR,#0x2F24",3,,0x4194,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4194,E0,MOVX,"A,@DPTR",1,,0x4195,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4195,34 00,ADDC,"A,#0x00",2,,0x4197,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4197,FE,MOV,"R6,A",1,,0x4198,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4198,C3,UNK,,1,,0x4199,True,flow,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4199,EF,MOV,"A,R7",1,,0x419A,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x419A,94 E8,SUBB,"A,#0xE8",2,,0x419C,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x419C,FD,MOV,"R5,A",1,,0x419D,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x419D,EE,MOV,"A,R6",1,,0x419E,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x419E,94 03,SUBB,"A,#0x03",2,,0x41A0,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41A0,FC,MOV,"R4,A",1,,0x41A1,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41A1,50 0F,JNC,+15,2,0x41B2,0x41A3,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41A3,90 2F 24,MOV,"DPTR,#0x2F24",3,,0x41A6,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41A6,C2 AF,CLR,0xAF,2,,0x41A8,True,flow,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41A8,EE,MOV,"A,R6",1,,0x41A9,True,flow,high
