branch,file,function_addr,action_candidate,xdata_target,write_value,precondition_function,downstream_function,packet_export_path,possible_physical_semantic,confidence,evidence_level,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_or_feedback,-,-,-,0x5A7F,yes,unknown,hypothesis,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,condition_mask_guard_candidate,ACC,A&0x07,-,0x6833,possible,unknown,probable,manual_decompile,Inserted from manual downstream reconstruction and chain adjacency.
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,-,no,unknown,probable,manual_decompile,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,0x7922,no,unknown,probable,manual_decompile,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,-,no,unknown,probable,manual_decompile,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,0x597F,no,unknown,probable,manual_decompile,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,-,no,unknown,probable,manual_decompile,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,-,no,unknown,probable,manual_decompile,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,-,no,unknown,probable,manual_decompile,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,-,no,unknown,probable,manual_decompile,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,0x67D7,no,unknown,probable,manual_decompile,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,-,no,unknown,probable,manual_decompile,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,0x5A7F,yes,unknown,probable,manual_decompile,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,-,no,unknown,probable,manual_decompile,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,-,no,unknown,probable,manual_decompile,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,-,no,unknown,probable,manual_decompile,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,-,no,unknown,probable,manual_decompile,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,0x5A7F,yes,unknown,probable,manual_decompile,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,-,-,0x597F,-,no,unknown,probable,manual_decompile,static_trace
