branch,file,caller_addr,called_addr,pre_call_dptr,pre_call_acc_or_reg,post_call_operation,xdata_context,probable_packet_role,confidence,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5A7F,-,-,0x5A7F,packet_or_event_context,packet_export_bridge_call,probable,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x5A7F,-,-,0x5A7F,packet_or_event_context,packet_export_bridge_call,probable,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x5A7F,-,-,0x5A7F,packet_or_event_context,packet_export_bridge_call,probable,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x5A7F,context_dependent,context_dependent,static adjacency in 0x497A->0x737C->0x84A6 chain hypothesis,0x3010|0x3011|0x3012|0x3013|0x3014|0x301A|0x301B|0x31BF|0x36D3|0x36EC|0x36EE|0x36EF|0x36F2|0x36F3|0x36F4|0x36FC|0x36FD,bridge_or_export_sink,probable,reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07
90CYE_DKS,90CYE03_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x55AD,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE04_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x55AD,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE03_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x55C0,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE04_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x55C0,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE03_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x55C9,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE04_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x55C9,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE03_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x55E6,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE04_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x55E6,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE03_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x55F9,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE04_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x55F9,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE03_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x5602,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE04_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x5602,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE03_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x5628,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE04_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x5628,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE03_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x5663,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE04_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x5663,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE03_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x569D,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
90CYE_DKS,90CYE04_19_DKS.PZU,unknown_from_callsite_only,0x5A7F,requires local disasm window,requires local disasm window,0x569D,call_xref_only,high_fan_in_packet_bridge,hypothesis,Call target evidence from call_xref; DPTR staging unresolved in this artifact pass.
