firmware_file,branch,screen_name,device_version,slot,module_label,label_confidence,screen_evidence,code_evidence_status,notes
ppkp2001 90cye01.PZU,RTOS_service,90CYE01,ППКП-01Ф-20.01,X03,MDS,confirmed_from_screen,visible X03 МДС,not_function_level_confirmed,MDS visible as separate module
ppkp2001 90cye01.PZU,RTOS_service,90CYE01,ППКП-01Ф-20.01,X04,PVK,confirmed_from_screen,visible X04 ПВК,not_function_level_confirmed,PVK visible as separate module
ppkp2001 90cye01.PZU,RTOS_service,90CYE01,ППКП-01Ф-20.01,X05,MASH,confirmed_from_screen,visible X05 МАШ,not_function_level_confirmed,MASH visible
ppkp2001 90cye01.PZU,RTOS_service,90CYE01,ППКП-01Ф-20.01,X06,MASH,confirmed_from_screen,visible X06 МАШ,not_function_level_confirmed,second MASH visible
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,90CYE02,ППКП-01Ф-27.00,X03,MDS,confirmed_from_screen,visible X03 МДС,not_function_level_confirmed,MDS visible
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,90CYE02,ППКП-01Ф-27.00,X04,MDS,confirmed_from_screen,visible X04 МДС,not_function_level_confirmed,MDS visible
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,90CYE02,ППКП-01Ф-27.00,X05,MDS,probable_from_screen,visible label appears МДС,not_function_level_confirmed,photo slightly unclear
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,90CYE02,ППКП-01Ф-27.00,X06,MDS_or_MAS,uncertain_from_screen,label unclear,not_function_level_confirmed,do not overclaim
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,90CYE02,ППКП-01Ф-27.00,X07,MZK_or_PZK,uncertain_from_screen,label unclear,not_function_level_confirmed,do not overclaim
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,90CYE02,ППКП-01Ф-27.00,X08,MZK_or_PZK,uncertain_from_screen,label unclear,not_function_level_confirmed,do not overclaim
90CYE03_19_DKS.PZU,90CYE_DKS,90CYE03,ППКП-01Ф-19.02,X03,MDS,confirmed_from_screen,visible X03 МДС,not_function_level_confirmed,MDS visible as separate module
90CYE03_19_DKS.PZU,90CYE_DKS,90CYE03,ППКП-01Ф-19.02,X04,unknown_MSHS_like,uncertain_from_screen,label looks like МШС/МЩС,not_function_level_confirmed,do not overclaim
90CYE03_19_DKS.PZU,90CYE_DKS,90CYE03,ППКП-01Ф-19.02,X05,unknown_MEK_like,uncertain_from_screen,label looks like МЭК/МЕК,not_function_level_confirmed,do not overclaim
90CYE03_19_DKS.PZU,90CYE_DKS,90CYE03,ППКП-01Ф-19.02,X06,MUP,confirmed_from_screen,visible X06 МУП,not_function_level_confirmed,MUP visible as separate module
90CYE03_19_DKS.PZU,90CYE_DKS,90CYE03,ППКП-01Ф-19.02,X07,PVK,confirmed_from_screen,visible X07 ПВК,not_function_level_confirmed,PVK visible as separate module
90CYE04_19_DKS.PZU,90CYE_DKS,90CYE04,ППКП-01Ф-19.02,X03,MDS,confirmed_from_screen,visible X03 МДС,not_function_level_confirmed,MDS visible as separate module
90CYE04_19_DKS.PZU,90CYE_DKS,90CYE04,ППКП-01Ф-19.02,X04,unknown_MSHS_like,uncertain_from_screen,label unclear,not_function_level_confirmed,do not overclaim
90CYE04_19_DKS.PZU,90CYE_DKS,90CYE04,ППКП-01Ф-19.02,X05,unknown_MEK_like,uncertain_from_screen,label unclear,not_function_level_confirmed,do not overclaim
90CYE04_19_DKS.PZU,90CYE_DKS,90CYE04,ППКП-01Ф-19.02,X06,MUP,confirmed_from_screen,visible X06 МУП,not_function_level_confirmed,MUP visible as separate module
90CYE04_19_DKS.PZU,90CYE_DKS,90CYE04,ППКП-01Ф-19.02,X07,PVK,confirmed_from_screen,visible X07 ПВК,not_function_level_confirmed,PVK visible as separate module
