file,branch,code_addr,dptr_addr,target_addr,evidence_type,confidence
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41FE,0x0005,0x7BD2,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4206,0x4343,0x7C46,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x472F,0x2F22,0x476E,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x473E,0x2F22,0x476E,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5E1D,0x8A41,0x8A42,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5E64,0x31DD,0x6083,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5E87,0x31DD,0x6083,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5EA5,0x31DD,0x6070,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5F09,0x31DD,0x6083,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5F21,0x31DD,0x6083,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5F39,0x31DD,0x6070,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5F5B,0x31DD,0x607B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5F95,0x3048,0x7C28,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5F9F,0x304A,0x7C28,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5FBE,0x438D,0x7C59,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5FD6,0x7200,0x7C21,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6010,0x724A,0x7551,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6021,0x323F,0x6083,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x602E,0x323F,0x6083,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x603D,0x872D,0x873C,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6260,0x5AC5,0x6496,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6288,0x5BAB,0x6496,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x629E,0x5B63,0x6496,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x62B1,0x5B63,0x6496,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x62D6,0x3040,0x7C2F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x62EB,0x56A5,0x6496,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6328,0x6315,0x6496,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6353,0x84A1,0x6496,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x636E,0x57A6,0x6496,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x637A,0x5792,0x6496,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x63D0,0x63C9,0x6496,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x63F7,0x63C5,0x6496,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6402,0x52F8,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x644B,0x5943,0x6496,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6678,0x6694,0x72D5,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x675E,0x678E,0x72D5,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6764,0x675D,0x72C6,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6785,0x6873,0x728E,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6822,0x310B,0x604B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x682B,0x6869,0x728E,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x68AC,0x310B,0x604B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x68B4,0x5C90,0x6496,probable_pointer_argument,medium
