run_id,entry_pc,step,pc,space,addr,value,previous_value,access_type,role_candidate,evidence_level,confidence,notes
boot_4000_20260428T082556Z,0x4000,2,0x4100,direct,0x004E,0xE2,0x00,write,unknown,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,3,0x4103,direct,0x004F,0x2E,0x00,write,unknown,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,0,0x4000,sfr,0x0081,0x07,,write,SP,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,0,0x4000,sfr,0x00D0,0x00,,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,10,0x410E,sfr,0x0083,0x00,,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,11,0x4110,sfr,0x0082,0x00,,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,13,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,14,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,17,0x4155,sfr,0x0082,0x08,0x00,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,19,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,20,0x415B,sfr,0x0083,0x01,0x00,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,23,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,24,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,27,0x4155,sfr,0x0082,0x10,0x08,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,29,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,30,0x415B,sfr,0x0083,0x02,0x01,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,33,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,34,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,37,0x4155,sfr,0x0082,0x18,0x10,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,39,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,40,0x415B,sfr,0x0083,0x03,0x02,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,43,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,44,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,47,0x4155,sfr,0x0082,0x20,0x18,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,49,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,50,0x415B,sfr,0x0083,0x04,0x03,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,53,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
