candidate_addr,candidate_type,operation,nearby_bytes,nearby_decode,related_table_addr,related_sfr_or_xdata,caller_refs,confidence,evidence_level,notes
0x415B,display_output_routine_candidate,"MOV 0x83,A",F5 83 80 B3 D2 01,"MOV 0x83,A",,0x80,,low,static_code,port access only; device role unconfirmed
0x4167,unknown_io_candidate,SETB 0x04,D2 04 90 2F 22 74,SETB 0x04,,0x90,,low,static_code,port access only; device role unconfirmed
0x4188,unknown_io_candidate,CLR 0x00,C2 00 90 2F 25 E0,CLR 0x00,,0x90,,low,static_code,port access only; device role unconfirmed
0x41F7,unknown_io_candidate,CLR 0xAF,C2 AF 90 00 05 12,CLR 0xAF,,0x90,,low,static_code,port access only; device role unconfirmed
0x41FF,unknown_io_candidate,SETB 0xAF,D2 AF 90 36 00 12,SETB 0xAF,,0x90,,low,static_code,port access only; device role unconfirmed
0x46DF,unknown_io_candidate,INC 0xA0,05 A0 E2 D2 AF FD,INC 0xA0,,0xA0,,low,static_code,port access only; device role unconfirmed
0x4722,unknown_io_candidate,UNK ,85 83 A0 A8 82 12,UNK ,,0xA0,,low,static_code,port access only; device role unconfirmed
0x4742,unknown_io_candidate,UNK ,85 83 A0 A8 82 A3,UNK ,,0xA0,,low,static_code,port access only; device role unconfirmed
0x4943,display_output_routine_candidate,UNK ,52 A0 D0 E0 42 A0,UNK ,,0xA0,,low,static_code,port access only; device role unconfirmed
0x4947,display_output_routine_candidate,UNK ,42 A0 D0 F0 D0 D0,UNK ,,0xA0,,low,static_code,port access only; device role unconfirmed
0x4969,display_output_routine_candidate,UNK ,52 A0 D0 E0 42 A0,UNK ,,0xA0,,low,static_code,port access only; device role unconfirmed
0x496D,display_output_routine_candidate,UNK ,42 A0 D0 F0 D0 D0,UNK ,,0xA0,,low,static_code,port access only; device role unconfirmed
0x53B8,display_output_routine_candidate,UNK ,43 A0 50 4F 43 FF,UNK ,,0xA0,,low,static_code,port access only; device role unconfirmed
0x548D,keypad_scan_candidate,"JB 0x41,-96",20 41 A0 31 FF A8,"JB 0x41,-96",,0xA0,,low,static_code,port access only; device role unconfirmed
0x549B,keypad_scan_candidate,"JB 0x41,-96",20 41 A0 32 FF A8,"JB 0x41,-96",,0xA0,,low,static_code,port access only; device role unconfirmed
