candidate_addr,candidate_type,reason,referenced_by,raw_bytes_or_operands,evidence_level,confidence,notes
0x4142,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x4155,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x415B,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x425E,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x4264,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x4269,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x426C,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4270,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x4277,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x427B,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x42AC,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x42AF,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x42B1,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x42B4,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x42BC,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x42BF,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x42C1,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x42C4,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x42D2,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x42D5,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x42D7,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x42DA,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x42E2,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x42E5,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x42E7,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x42EA,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x42F8,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x42FE,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x4310,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x4313,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x4315,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4318,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x4320,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x4323,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x4325,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4328,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x433B,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x433E,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x4340,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4343,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x435D,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x4360,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x4362,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4365,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x436D,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x4370,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x4372,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4375,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x4384,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x438A,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x439F,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x43A2,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x43A4,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x43A7,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x43AF,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x43B2,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x43B4,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x43B7,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x43C6,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x43CC,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x43D0,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x43D3,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x43D5,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x43D8,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x43E0,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x43E3,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x43E5,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x43E8,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x43FB,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x43FE,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x4400,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4403,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x440A,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x440D,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x440F,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4412,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x4429,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x442C,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x442E,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4431,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
0x4439,port_read_routine_candidate,direct_sfr_port_operand,,E5 83,static_code,low,opcode_pattern_scan
0x443C,port_write_routine_candidate,direct_sfr_port_operand,,F5 83,static_code,low,opcode_pattern_scan
0x443E,port_read_routine_candidate,direct_sfr_port_operand,,E5 82,static_code,low,opcode_pattern_scan
0x4441,port_write_routine_candidate,direct_sfr_port_operand,,F5 82,static_code,low,opcode_pattern_scan
