run_id,entry_pc,step,pc,access_type,space,addr,value,role_candidate,branch_dependency,evidence_level,confidence,notes
boot_4000_20260428T080929Z,0x4000,16,0x4153,read,sfr,0x0082,0x00,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,19,0x4159,read,sfr,0x0083,0x00,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,26,0x4153,read,sfr,0x0082,0x08,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,29,0x4159,read,sfr,0x0083,0x01,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,36,0x4153,read,sfr,0x0082,0x10,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,39,0x4159,read,sfr,0x0083,0x02,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,46,0x4153,read,sfr,0x0082,0x18,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,49,0x4159,read,sfr,0x0083,0x03,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,56,0x4153,read,sfr,0x0082,0x20,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,59,0x4159,read,sfr,0x0083,0x04,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,66,0x4153,read,sfr,0x0082,0x28,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,69,0x4159,read,sfr,0x0083,0x05,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,76,0x4153,read,sfr,0x0082,0x30,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,79,0x4159,read,sfr,0x0083,0x06,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,86,0x4153,read,sfr,0x0082,0x38,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,89,0x4159,read,sfr,0x0083,0x07,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,96,0x4153,read,sfr,0x0082,0x40,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,99,0x4159,read,sfr,0x0083,0x08,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,106,0x4153,read,sfr,0x0082,0x48,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,109,0x4159,read,sfr,0x0083,0x09,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,116,0x4153,read,sfr,0x0082,0x50,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,119,0x4159,read,sfr,0x0083,0x0A,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,126,0x4153,read,sfr,0x0082,0x58,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,129,0x4159,read,sfr,0x0083,0x0B,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,136,0x4153,read,sfr,0x0082,0x60,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,139,0x4159,read,sfr,0x0083,0x0C,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,146,0x4153,read,sfr,0x0082,0x68,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,149,0x4159,read,sfr,0x0083,0x0D,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,156,0x4153,read,sfr,0x0082,0x70,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,159,0x4159,read,sfr,0x0083,0x0E,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,166,0x4153,read,sfr,0x0082,0x78,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,169,0x4159,read,sfr,0x0083,0x0F,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
