scenario,function_addr,loop_region,iterations,exit_reason,last_pc,last_branch_pc,last_branch_taken,watched_state_digest,notes
packet_bridge_seeded_context_base,0x55AD,0x5715..0x5733,1064,max_steps,0x5733,0x5733,unknown,0x30D4:7;0x30CC:7;0x31FF:2;0x3202:2,step_window<= 50
packet_bridge_seeded_context_base,0x55AD,0x567F..0x5683,192,max_steps,0x5683,0x5683,unknown,0x30D4:7;0x30CC:7;0x31FF:2;0x3202:2,step_window<= 50
packet_bridge_seeded_context_base,0x55AD,0x5935..0x593D,120,max_steps,0x593D,,unknown,0x30D4:7;0x30CC:7;0x31FF:2;0x3202:2,step_window<= 50
packet_bridge_seeded_context_base,0x5602,0x5715..0x5733,975,max_steps,0x571F,0x5733,unknown,0x36E4:8;0x30D4:7;0x30CC:7;0x31FF:2,step_window<= 50
packet_bridge_seeded_context_base,0x5602,0x567F..0x5683,192,max_steps,0x5683,0x5683,unknown,0x36E4:8;0x30D4:7;0x30CC:7;0x31FF:2,step_window<= 50
packet_bridge_seeded_context_base,0x5602,0x5935..0x593D,120,max_steps,0x593D,,unknown,0x36E4:8;0x30D4:7;0x30CC:7;0x31FF:2,step_window<= 50
packet_bridge_seeded_context_zeroed,0x55AD,0x5715..0x5733,1064,max_steps,0x5733,0x5733,unknown,0x30D4:7;0x30CC:7;0x31FF:2;0x3202:2,step_window<= 50
packet_bridge_seeded_context_zeroed,0x55AD,0x567F..0x5683,192,max_steps,0x5683,0x5683,unknown,0x30D4:7;0x30CC:7;0x31FF:2;0x3202:2,step_window<= 50
packet_bridge_seeded_context_zeroed,0x55AD,0x5935..0x593D,120,max_steps,0x593D,,unknown,0x30D4:7;0x30CC:7;0x31FF:2;0x3202:2,step_window<= 50
packet_bridge_seeded_context_zeroed,0x5602,0x5715..0x5733,975,max_steps,0x571F,0x5733,unknown,0x36E4:8;0x30D4:7;0x30CC:7;0x31FF:2,step_window<= 50
packet_bridge_seeded_context_zeroed,0x5602,0x567F..0x5683,192,max_steps,0x5683,0x5683,unknown,0x36E4:8;0x30D4:7;0x30CC:7;0x31FF:2,step_window<= 50
packet_bridge_seeded_context_zeroed,0x5602,0x5935..0x593D,120,max_steps,0x593D,,unknown,0x36E4:8;0x30D4:7;0x30CC:7;0x31FF:2,step_window<= 50
packet_bridge_seeded_context_ff,0x55AD,0x5715..0x5733,1064,max_steps,0x5733,0x5733,unknown,0x30D4:7;0x30CC:7;0x31FF:2;0x3202:2,step_window<= 50
packet_bridge_seeded_context_ff,0x55AD,0x567F..0x5683,192,max_steps,0x5683,0x5683,unknown,0x30D4:7;0x30CC:7;0x31FF:2;0x3202:2,step_window<= 50
packet_bridge_seeded_context_ff,0x55AD,0x5935..0x593D,120,max_steps,0x593D,,unknown,0x30D4:7;0x30CC:7;0x31FF:2;0x3202:2,step_window<= 50
