scenario,function_addr,loop_region,iteration_sample,step,pc,acc,b,dptr,psw,selected_xdata_digest,selected_sfr_digest,notes
packet_bridge_seeded_context_base,0x55AD,0x5715..0x5733,first,937,0x5715,0x80,unknown,0x31FF,unknown,0x30AC=0x00;0x30CC=0x0E;0x30D4=0x07;0x30EE=0x00,0x0081=0x07;0x008E=0x00;0x00D0=0x00;0x00E0=0x01;0x00F0=0x0F,compact_loop_snapshot
packet_bridge_seeded_context_base,0x55AD,0x5715..0x5733,middle,1469,0x5715,0x80,unknown,0x3253,unknown,0x30AC=0x00;0x30CC=0x0E;0x30D4=0x07;0x30EE=0x00,0x0081=0x07;0x008E=0x00;0x00D0=0x00;0x00E0=0x01;0x00F0=0x0F,compact_loop_snapshot
packet_bridge_seeded_context_base,0x55AD,0x5715..0x5733,last,2000,0x5733,0x07,unknown,0x32A7,unknown,0x30AC=0x00;0x30CC=0x0E;0x30D4=0x07;0x30EE=0x00,0x0081=0x07;0x008E=0x00;0x00D0=0x00;0x00E0=0x01;0x00F0=0x0F,compact_loop_snapshot
packet_bridge_seeded_context_base,0x55AD,0x567F..0x5683,first,429,0x567F,0x00,unknown,0x7170,unknown,0x30AC=0x00;0x30D4=0x07,0x0081=0x07;0x00D0=0x00;0x00F0=0x00,compact_loop_snapshot
packet_bridge_seeded_context_base,0x55AD,0x567F..0x5683,middle,525,0x567F,0x00,unknown,0x7188,unknown,0x30AC=0x00;0x30D4=0x07,0x0081=0x07;0x00D0=0x00;0x00F0=0x00,compact_loop_snapshot
packet_bridge_seeded_context_base,0x55AD,0x567F..0x5683,last,620,0x5683,0x00,unknown,0x71A0,unknown,0x30AC=0x00;0x30D4=0x07,0x0081=0x07;0x00D0=0x00;0x00F0=0x00,compact_loop_snapshot
packet_bridge_seeded_context_base,0x55AD,0x5935..0x593D,first,145,0x5935,0x00,unknown,0x710C,unknown,,0x0081=0x09;0x00D0=0x00,compact_loop_snapshot
packet_bridge_seeded_context_base,0x55AD,0x5935..0x593D,middle,351,0x5935,0x04,unknown,0x30E6,unknown,0x30AC=0x00;0x30D4=0x03,0x0081=0x09;0x00D0=0x80;0x00F0=0x03,compact_loop_snapshot
packet_bridge_seeded_context_base,0x55AD,0x5935..0x593D,last,752,0x593D,0x07,unknown,0x316D,unknown,0x30AC=0x00;0x30CC=0x0D;0x30D4=0x07,0x0081=0x07;0x00D0=0x80;0x00F0=0x07,compact_loop_snapshot
packet_bridge_seeded_context_base,0x5602,0x5715..0x5733,first,1026,0x5715,0x80,unknown,0x31FF,unknown,0x30AC=0x01;0x30CC=0x0F;0x30D4=0x08;0x30EE=0x00,0x0081=0x07;0x0082=0x80;0x0083=0x00;0x008E=0x00;0x00D0=0x00;0x00E0=0x01;0x00F0=0x0F,compact_loop_snapshot
