firmware_file,device,project_has_output_module,project_output_module_type,project_expected_output_count_or_scope,firmware_has_8_bitmask_table,firmware_has_8_slot_vector_evidence,firmware_diff_vs_reference,interpretation,evidence_level,confidence,notes
90CYE02_27 DKS.PZU,90CYE02,yes,damper_control_output_class,damper_voltage_removal_scope_not_aerosol,table_differs_from_90CYE03_04_DKS,unknown_in_current_emulation_for_this_image,"diff_vs_90CYE03_19_DKS at 0x5984..0x598B and 0x55AD..0x56DF and 0x5935..0x59AF",consistent_with_output_configuration_difference,project_documentation+static_code,medium,"Project role differs and major candidate regions differ; supports configuration divergence hypothesis."
90CYE03_19_DKS.PZU,90CYE03,yes,aerosol_start_and_warning_outputs,multi_output_scope_with_mode_delay_interlock,yes_01_02_04_08_10_20_40_80,yes_0x36F2..0x36F9_writes_seen,reference_image,consistent_with_output_configuration_difference,project_documentation+static_code+emulation_observed,medium,"Best-supported image for 8-slot/action pattern among compared DKS files."
90CYE04_19_DKS.PZU,90CYE04,yes,aerosol_start_and_warning_outputs,multi_output_scope_with_mode_delay_interlock,yes_matches_90CYE03_DKS,inferred_from_no_diff_vs_90CYE03_DKS,"no_diff_vs_90CYE03_19_DKS at 0x5984..0x598B and 0x55AD..0x56DF and 0x5935..0x59AF",consistent_with_output_configuration_difference,project_documentation+static_code,medium,"Interpreted as same output logic family as 90CYE03 DKS unless contradicted by new traces/docs."
90CYE03_19_2 v2_1.PZU,90CYE03,yes,aerosol_start_and_warning_outputs,multi_output_scope_expected_from_project,unknown_noncomparable_layout,unknown_noncomparable_layout,"image_layout_or_family_diff vs DKS around compared regions",likely_noncomparable_image_family,static_code,low,"Absolute addresses appear non-aligned (FF-heavy in compared windows); do not transfer DKS offsets directly."
90CYE04_19_2 v2_1.PZU,90CYE04,yes,aerosol_start_and_warning_outputs,multi_output_scope_expected_from_project,unknown_noncomparable_layout,unknown_noncomparable_layout,"image_layout_or_family_diff vs DKS around compared regions",likely_noncomparable_image_family,static_code,low,"Need rebasing/mapping before candidate offsets can be compared."
ppkp2001 90cye01.PZU,90CYE01,yes,MVK_2_1_any_zone_fire_plus_other_zone_outputs,any_zone_fire_output_scope,unknown_not_yet_mapped,unknown_not_yet_mapped,no_current_diff_baseline_for_candidate_ranges,not_enough_evidence,project_documentation,low,"Project confirms output role, but this file has not been analyzed in current candidate windows."
A03_26.PZU,unknown,unknown,unknown,unknown,unknown,unknown,no_project_linkage_in_current_matrix,unknown,unknown,low,"Present in repository but outside current project-guided mapping set."
A04_28.PZU,unknown,unknown,unknown,unknown,unknown,unknown,no_project_linkage_in_current_matrix,unknown,unknown,low,"Present in repository but outside current project-guided mapping set."
ppkp2012 a01.PZU,unknown,unknown,unknown,unknown,unknown,unknown,no_project_linkage_in_current_matrix,unknown,unknown,low,"Present in repository but outside current project-guided mapping set."
ppkp2019 a02.PZU,unknown,unknown,unknown,unknown,unknown,unknown,no_project_linkage_in_current_matrix,unknown,unknown,low,"Present in repository but outside current project-guided mapping set."
