scenario,function_addr,max_steps,callsite_pc,expected_callee,callsite_reached,call_executed,callee_entry_observed,callee_return_observed,return_pc,sp_before,sp_after,stack_digest,stop_reason,sbuf_writes,uart_tx_candidates,notes
packet_bridge_loop_force_r3_01,0x5715,2000,0x5745,0x5935,yes,yes,yes,yes,0x5748,0x09,0x08,29:0x08;29:0x09;34:0x08;34:0x07,max_steps,0,0,emulation_observed;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_r3_01,0x5715,2000,0x574E,0x5A7F,yes,yes,no,yes,0x5751,0x07,0x08,,max_steps,0,0,emulation_observed;callee_entry_missing_possible_stub_or_branch_gap;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_r3_01,0x5715,2000,0x5771,0x5935,yes,yes,yes,yes,0x5774,0x09,0x08,294:0x08;294:0x09;299:0x08;299:0x07,max_steps,0,0,emulation_observed;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_r3_01,0x5715,2000,0x577A,0x5A7F,yes,yes,no,yes,0x577D,0x07,0x08,,max_steps,0,0,emulation_observed;callee_entry_missing_possible_stub_or_branch_gap;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_r3_01,0x5715,2000,0x577E,0x5AA3,yes,yes,yes,yes,0x5781,0x09,0x08,316:0x08;316:0x09;325:0x08;325:0x07,max_steps,0,0,emulation_observed;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_r3_01,0x5715,2000,0x5786,0x5A7F,yes,yes,no,yes,0x5789,0x07,0x08,,max_steps,0,0,emulation_observed;callee_entry_missing_possible_stub_or_branch_gap;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_r3_01,0x5715,2000,0x58BE,0x835A,yes,yes,yes,no,0x58C1,0x09,,1336:0x08;1336:0x09,max_steps,0,0,emulation_observed;no_return_pc_seen_within_run;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_djnz_exit_candidate,0x5715,2000,0x5745,0x5935,yes,yes,yes,yes,0x5748,0x09,0x08,29:0x08;29:0x09;34:0x08;34:0x07,max_steps,0,0,emulation_observed;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_djnz_exit_candidate,0x5715,2000,0x574E,0x5A7F,yes,yes,no,yes,0x5751,0x07,0x08,,max_steps,0,0,emulation_observed;callee_entry_missing_possible_stub_or_branch_gap;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_djnz_exit_candidate,0x5715,2000,0x5771,0x5935,yes,yes,yes,yes,0x5774,0x09,0x08,294:0x08;294:0x09;299:0x08;299:0x07,max_steps,0,0,emulation_observed;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_djnz_exit_candidate,0x5715,2000,0x577A,0x5A7F,yes,yes,no,yes,0x577D,0x07,0x08,,max_steps,0,0,emulation_observed;callee_entry_missing_possible_stub_or_branch_gap;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_djnz_exit_candidate,0x5715,2000,0x577E,0x5AA3,yes,yes,yes,yes,0x5781,0x09,0x08,316:0x08;316:0x09;325:0x08;325:0x07,max_steps,0,0,emulation_observed;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_djnz_exit_candidate,0x5715,2000,0x5786,0x5A7F,yes,yes,no,yes,0x5789,0x07,0x08,,max_steps,0,0,emulation_observed;callee_entry_missing_possible_stub_or_branch_gap;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_djnz_exit_candidate,0x5715,2000,0x58BE,0x835A,yes,yes,yes,no,0x58C1,0x09,,1336:0x08;1336:0x09,max_steps,0,0,emulation_observed;no_return_pc_seen_within_run;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_jb_not_taken_candidate,0x5715,2000,0x5745,0x5935,yes,yes,yes,yes,0x5748,0x09,0x08,50:0x08;50:0x09;55:0x08;55:0x07,max_steps,0,0,emulation_observed;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_jb_not_taken_candidate,0x5715,2000,0x574E,0x5A7F,yes,yes,no,yes,0x5751,0x07,0x08,,max_steps,0,0,emulation_observed;callee_entry_missing_possible_stub_or_branch_gap;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_jb_not_taken_candidate,0x5715,2000,0x5771,0x5935,yes,yes,yes,yes,0x5774,0x09,0x08,315:0x08;315:0x09;320:0x08;320:0x07,max_steps,0,0,emulation_observed;sfr_uart=0;serial_bits=0;iteration=1
packet_bridge_loop_force_jb_not_taken_candidate,0x5715,2000,0x577A,0x5A7F,yes,yes,no,yes,0x577D,0x07,0x08,,max_steps,0,0,emulation_observed;callee_entry_missing_possible_stub_or_branch_gap;sfr_uart=0;serial_bits=0;iteration=1
