function_addr,max_steps,steps,stop_reason,unsupported_ops,callers_count,callees,xdata_reads,xdata_writes,sfr_reads,sfr_writes,bit_accesses,code_reads,sbuf_writes,uart_tx_candidates,display_candidates,keypad_candidates,top_xdata_ranges,top_sfrs,possible_role,evidence_level,confidence,notes
0x5935,1000,9,ret_from_entry,0,20,0x597F,1,0,1,7,0,1,0,no,no,no,,0x81:5;0xF0:2;0xD0:1,runtime_hub_candidate,emulation_observed,medium,forced_entry_hypothesis_no_seed
0x597F,1000,4,ret_from_entry,0,17,,0,0,0,2,0,1,0,no,no,no,,0x81:1;0xD0:1,runtime_hub_candidate,emulation_observed,medium,forced_entry_hypothesis_no_seed
0x5A7F,1000,6,ret_from_entry,0,142,,0,0,2,5,0,0,0,no,no,no,,0xD0:2;0x82:2;0x83:2;0x81:1,runtime_hub_candidate,emulation_observed,medium,existing_scenario_seed_context
0x55AD,1000,1000,max_steps,0,0,0x5935;0x594B;0x5972;0x597F;0x5A7F,51,41,140,599,0,24,0,no,no,no,0x30E0:8;0x30B4:8;0x30BC:8;0x30D4:8;0x36FC:1,0x81:353;0xD0:105;0xF0:97;0x82:96;0x83:88,runtime_hub_candidate,emulation_observed,medium,existing_scenario_seed_context
0x5602,1000,1000,max_steps,0,0,0x5935;0x594B;0x5972;0x597F;0x5A7F,82,37,157,540,0,23,0,no,no,no,0x30D4:8;0x30E0:7;0x30B4:7;0x30BC:7;0x0000:1,0x81:305;0xF0:174;0xD0:77;0x82:74;0x83:67,runtime_hub_candidate,emulation_observed,medium,existing_scenario_seed_context
0x613C,1000,12,ret_from_entry,0,2,,2,3,1,3,1,0,0,no,no,no,0x3125:2;0x30E4:1,0xE0:2;0x81:1;0xD0:1,runtime_hub_candidate,emulation_observed,medium,forced_entry_hypothesis_no_seed
0x6833,1000,16,unsupported_opcode 0x59 at 0x683E,1,1,0x597F;0x7922,2,0,0,10,0,1,0,no,no,no,,0x81:9;0xD0:1,runtime_hub_candidate,emulation_observed,medium,existing_scenario_seed_context
0x728A,1000,7,ret_from_entry,0,1,,2,0,1,2,1,0,0,no,no,no,,0x81:1;0xD0:1;0xE0:1,runtime_hub_candidate,emulation_observed,medium,forced_entry_hypothesis_no_seed
0x737C,1000,36,unsupported_opcode 0x4E at 0x73B9,1,1,0x5A7F;0x5AA3,3,0,5,22,0,0,0,no,no,no,,0x81:9;0xD0:7;0x82:4;0x83:4;0xF0:3,runtime_hub_candidate,emulation_observed,medium,existing_scenario_seed_context
0x7922,1000,6,ret_from_entry,0,9,,2,0,0,2,0,0,0,no,no,no,,0x81:1;0xD0:1,runtime_hub_candidate,emulation_observed,medium,forced_entry_hypothesis_no_seed
0x7DC2,1000,2,unsupported_opcode 0xC0 at 0x7121,1,0,0x7121,0,0,0,4,0,0,0,no,no,no,,0x81:3;0xD0:1,runtime_hub_candidate,emulation_observed,medium,existing_scenario_seed_context
0x84A6,1000,10,ret_from_entry,0,2,0x5A7F,1,0,2,9,0,0,0,no,no,no,,0x81:5;0xD0:2;0x82:2;0x83:2,runtime_hub_candidate,emulation_observed,medium,existing_scenario_seed_context
