run_id,entry_pc,loop_region,pc_start,pc_end,hit_count,first_step,last_step,branch_pc,branch_op,branch_target,possible_role,evidence_level,notes
boot_4000_20260428T082556Z,0x4000,0x410A..0x411A,0x410A,0x411A,199,12,1992,0x4112,unknown,0x4112,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4000_20260428T082556Z,0x4000,0x410B..0x411B,0x410B,0x411B,199,13,1993,0x4113,unknown,0x4113,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4000_20260428T082556Z,0x4000,0x4111..0x4121,0x4111,0x4121,199,14,1994,0x4119,unknown,0x4119,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4000_20260428T082556Z,0x4000,0x4149..0x4159,0x4149,0x4159,199,15,1995,0x4151,unknown,0x4151,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4000_20260428T082556Z,0x4000,0x414B..0x415B,0x414B,0x415B,199,16,1996,0x4153,unknown,0x4153,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4000_20260428T082556Z,0x4000,0x414D..0x415D,0x414D,0x415D,199,17,1997,0x4155,unknown,0x4155,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4000_20260428T082556Z,0x4000,0x414F..0x415F,0x414F,0x415F,199,18,1998,0x4157,unknown,0x4157,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4000_20260428T082556Z,0x4000,0x4151..0x4161,0x4151,0x4161,199,19,1999,0x4159,unknown,0x4159,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4000_20260428T082556Z,0x4000,0x4153..0x4163,0x4153,0x4163,199,20,2000,0x415B,unknown,0x415B,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4000_20260428T082556Z,0x4000,0x4155..0x4165,0x4155,0x4165,198,21,1991,0x415D,unknown,0x415D,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4100_20260428T082556Z,0x4100,0x410A..0x411A,0x410A,0x411A,999,11,9991,0x4112,unknown,0x4112,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4100_20260428T082556Z,0x4100,0x410B..0x411B,0x410B,0x411B,999,12,9992,0x4113,unknown,0x4113,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4100_20260428T082556Z,0x4100,0x4111..0x4121,0x4111,0x4121,999,13,9993,0x4119,unknown,0x4119,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4100_20260428T082556Z,0x4100,0x4149..0x4159,0x4149,0x4159,999,14,9994,0x4151,unknown,0x4151,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4100_20260428T082556Z,0x4100,0x414B..0x415B,0x414B,0x415B,999,15,9995,0x4153,unknown,0x4153,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4100_20260428T082556Z,0x4100,0x414D..0x415D,0x414D,0x415D,999,16,9996,0x4155,unknown,0x4155,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4100_20260428T082556Z,0x4100,0x414F..0x415F,0x414F,0x415F,999,17,9997,0x4157,unknown,0x4157,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4100_20260428T082556Z,0x4100,0x4151..0x4161,0x4151,0x4161,999,18,9998,0x4159,unknown,0x4159,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4100_20260428T082556Z,0x4100,0x4153..0x4163,0x4153,0x4163,999,19,9999,0x415B,unknown,0x415B,unknown_loop,emulation_observed,pc_repetition_hotspot
boot_4100_20260428T082556Z,0x4100,0x4155..0x4165,0x4155,0x4165,999,20,10000,0x415D,unknown,0x415D,unknown_loop,emulation_observed,pc_repetition_hotspot
