scenario,function_addr,max_steps,steps,stop_reason,unsupported_ops,xdata_reads,xdata_writes,sfr_writes,bit_accesses,code_reads,sbuf_writes,uart_tx_candidates,top_pc_hotspot,top_xdata_write_addrs,changed_vs_base,notes
packet_bridge_seeded_context_base,0x55AD,2000,2000,max_steps,0,115,270,302,58,0,0,0,0x5715:56,0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211;0x3214,base,compact_summary
packet_bridge_seeded_context_base,0x5602,2000,2000,max_steps,0,114,259,365,53,0,0,0,0x5715:52,0x36E4;0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211,base,compact_summary
packet_bridge_seeded_context_zeroed,0x55AD,2000,2000,max_steps,0,115,270,302,58,0,0,0,0x5715:56,0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211;0x3214,no,compact_summary
packet_bridge_seeded_context_zeroed,0x5602,2000,2000,max_steps,0,114,259,365,53,0,0,0,0x5715:52,0x36E4;0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211,no,compact_summary
packet_bridge_seeded_context_ff,0x55AD,2000,2000,max_steps,0,115,270,302,58,0,0,0,0x5715:56,0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211;0x3214,no,compact_summary
packet_bridge_seeded_context_ff,0x5602,2000,2000,max_steps,0,114,259,365,53,0,0,0,0x5715:52,0x36E4;0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211,no,compact_summary
packet_bridge_seeded_context_mode_e0,0x55AD,2000,2000,max_steps,0,115,270,302,58,0,0,0,0x5715:56,0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211;0x3214,no,compact_summary
packet_bridge_seeded_context_mode_e0,0x5602,2000,2000,max_steps,0,114,259,365,53,0,0,0,0x5715:52,0x36E4;0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211,no,compact_summary
packet_bridge_seeded_context_mode_e1,0x55AD,2000,2000,max_steps,0,115,270,302,58,0,0,0,0x5715:56,0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211;0x3214,no,compact_summary
packet_bridge_seeded_context_mode_e1,0x5602,2000,2000,max_steps,0,114,259,365,53,0,0,0,0x5715:52,0x36E4;0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211,no,compact_summary
packet_bridge_seeded_context_mode_e2,0x55AD,2000,2000,max_steps,0,115,270,302,58,0,0,0,0x5715:56,0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211;0x3214,no,compact_summary
packet_bridge_seeded_context_mode_e2,0x5602,2000,2000,max_steps,0,114,259,365,53,0,0,0,0x5715:52,0x36E4;0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211,no,compact_summary
packet_bridge_seeded_context_output_flags,0x55AD,2000,2000,max_steps,0,115,270,302,58,0,0,0,0x5715:56,0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211;0x3214,no,compact_summary
packet_bridge_seeded_context_output_flags,0x5602,2000,2000,max_steps,0,114,259,365,53,0,0,0,0x5715:52,0x36E4;0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211,no,compact_summary
packet_bridge_seeded_context_bitmask_walk,0x55AD,2000,2000,max_steps,0,115,270,302,58,0,0,0,0x5715:56,0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211;0x3214,no,compact_summary
packet_bridge_seeded_context_bitmask_walk,0x5602,2000,2000,max_steps,0,114,259,365,53,0,0,0,0x5715:52,0x36E4;0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211,no,compact_summary
packet_bridge_seeded_context_mode_e1,0x55AD,5000,5000,max_steps,0,115,902,302,216,0,0,0,0x5715:214,0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211;0x3214,n/a,compact_summary
packet_bridge_seeded_context_mode_e1,0x5602,5000,5000,max_steps,0,114,890,365,211,0,0,0,0x5715:210,0x36E4;0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211,n/a,compact_summary
packet_bridge_seeded_context_bitmask_walk,0x55AD,5000,5000,max_steps,0,115,902,302,216,0,0,0,0x5715:214,0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211;0x3214,n/a,compact_summary
packet_bridge_seeded_context_bitmask_walk,0x5602,5000,5000,max_steps,0,114,890,365,211,0,0,0,0x5715:210,0x36E4;0x30D4;0x30CC;0x31FF;0x3202;0x3205;0x3208;0x320B;0x320E;0x3211,n/a,compact_summary
