sfr_addr,known_8051_role,ds80c320_role_candidate,seen_in_boot,access_count,used_as_candidate_io,classification_before,classification_after,evidence_level,notes
0x80,P0,P0_candidate,no,0,no,display_or_keypad_candidate,unknown_io_candidate,static_role_map,port_sfr_needs_stronger_device_path_evidence
0x81,SP,cpu_internal_sfr,yes,1,no,display_or_keypad_candidate,cpu_internal_sfr,emulation_observed,excluded_from_display_keypad_classifier
0x82,DPL,cpu_internal_sfr,yes,1999,no,display_or_keypad_candidate,cpu_internal_sfr,emulation_observed,excluded_from_display_keypad_classifier
0x83,DPH,cpu_internal_sfr,yes,1999,no,display_or_keypad_candidate,cpu_internal_sfr,emulation_observed,excluded_from_display_keypad_classifier
0x87,PCON,power_control_or_baud_control_candidate,no,0,no,display_or_keypad_candidate,serial_timer_interrupt_candidate,static_role_map,tracked_in_uart_timer_interrupt_audits
0x88,TCON,timer_control_candidate,no,0,no,display_or_keypad_candidate,serial_timer_interrupt_candidate,static_role_map,tracked_in_uart_timer_interrupt_audits
0x89,TMOD,timer_mode_candidate,no,0,no,display_or_keypad_candidate,serial_timer_interrupt_candidate,static_role_map,tracked_in_uart_timer_interrupt_audits
0x8A,TL0,timer0_low_candidate,no,0,no,display_or_keypad_candidate,serial_timer_interrupt_candidate,static_role_map,tracked_in_uart_timer_interrupt_audits
0x8B,TL1,timer1_low_candidate,no,0,no,display_or_keypad_candidate,serial_timer_interrupt_candidate,static_role_map,tracked_in_uart_timer_interrupt_audits
0x8C,TH0,timer0_high_candidate,no,0,no,display_or_keypad_candidate,serial_timer_interrupt_candidate,static_role_map,tracked_in_uart_timer_interrupt_audits
0x8D,TH1,timer1_high_candidate,no,0,no,display_or_keypad_candidate,serial_timer_interrupt_candidate,static_role_map,tracked_in_uart_timer_interrupt_audits
0x90,P1,P1_candidate,no,0,no,display_or_keypad_candidate,unknown_io_candidate,static_role_map,port_sfr_needs_stronger_device_path_evidence
0x98,SCON0,SCON0_candidate,no,0,no,display_or_keypad_candidate,serial_timer_interrupt_candidate,static_role_map,tracked_in_uart_timer_interrupt_audits
0x99,SBUF0,SBUF0_candidate,no,0,no,display_or_keypad_candidate,serial_timer_interrupt_candidate,static_role_map,tracked_in_uart_timer_interrupt_audits
0x9A,SBUF1/SCON1_alias,UART1_candidate,no,0,no,display_or_keypad_candidate,serial_timer_interrupt_candidate,static_role_map,tracked_in_uart_timer_interrupt_audits
0xA0,P2,P2_candidate,no,0,no,display_or_keypad_candidate,unknown_io_candidate,static_role_map,port_sfr_needs_stronger_device_path_evidence
0xA8,IE,interrupt_enable_candidate,no,0,no,display_or_keypad_candidate,serial_timer_interrupt_candidate,static_role_map,tracked_in_uart_timer_interrupt_audits
0xB0,P3,P3_candidate,no,0,no,display_or_keypad_candidate,unknown_io_candidate,static_role_map,port_sfr_needs_stronger_device_path_evidence
0xB8,IP,interrupt_priority_candidate,no,0,no,display_or_keypad_candidate,serial_timer_interrupt_candidate,static_role_map,tracked_in_uart_timer_interrupt_audits
0xC8,SCON1,SCON1_candidate,no,0,no,not_candidate,serial_timer_interrupt_candidate,static_role_map,tracked_in_uart_timer_interrupt_audits
0xD0,PSW,cpu_internal_sfr,yes,2998,no,not_candidate,cpu_internal_sfr,emulation_observed,excluded_from_display_keypad_classifier
0xE0,ACC,cpu_internal_sfr,no,0,no,not_candidate,cpu_internal_sfr,static_role_map,excluded_from_display_keypad_classifier
0xF0,B,cpu_internal_sfr,no,0,no,not_candidate,cpu_internal_sfr,static_role_map,excluded_from_display_keypad_classifier
