run_id,scenario,firmware_file,function_addr,step,pc,sfr_addr,access_type,value,previous_value,possible_role,notes
packet_bridge_seeded_context_55AD_20260428T040518Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0,0x55AD,0x0081,write,0x07,,SP,emulation_observed
packet_bridge_seeded_context_55AD_20260428T040518Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0,0x55AD,0x00D0,write,0x00,,PSW,emulation_observed
packet_bridge_seeded_context_55AD_20260428T040518Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,3,0x55B1,0x00D0,write,0x80,0x00,PSW,emulation_observed
packet_bridge_seeded_context_55AD_20260428T040518Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,5,0x55D0,0x00D0,write,0x80,0x80,PSW,emulation_observed
packet_bridge_seeded_context_55AD_20260428T040518Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,11,0x55B1,0x00D0,write,0x00,0x80,PSW,emulation_observed
packet_bridge_seeded_context_55AD_20260428T040518Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,13,0x55D0,0x00D0,write,0x80,0x00,PSW,emulation_observed
packet_bridge_seeded_context_55AD_20260428T040518Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,19,0x55B1,0x00D0,write,0x00,0x80,PSW,emulation_observed
packet_bridge_seeded_context_55AD_20260428T040518Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,21,0x55D0,0x00D0,write,0x80,0x00,PSW,emulation_observed
packet_bridge_seeded_context_55AD_20260428T040518Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,27,0x55B1,0x00D0,write,0x00,0x80,PSW,emulation_observed
packet_bridge_seeded_context_55AD_20260428T040518Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,29,0x55D0,0x00D0,write,0x80,0x00,PSW,emulation_observed
packet_bridge_seeded_context_55AD_20260428T040518Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,35,0x55B1,0x00D0,write,0x00,0x80,PSW,emulation_observed
packet_bridge_seeded_context_55AD_20260428T040518Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,37,0x55D0,0x00D0,write,0x80,0x00,PSW,emulation_observed
packet_bridge_seeded_context_55AD_20260428T040518Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,43,0x55B1,0x00D0,write,0x00,0x80,PSW,emulation_observed
packet_bridge_seeded_context_55AD_20260428T040518Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,45,0x55D0,0x00D0,write,0x80,0x00,PSW,emulation_observed
packet_bridge_seeded_context_55AD_20260428T040518Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,51,0x55B1,0x00D0,write,0x00,0x80,PSW,emulation_observed
