branch,file,chain_rank,zone_state_function,mode_check_function,event_function,output_control_function,packet_export_function,chain_type,chain_score,confidence,manual_branch_evidence,auto_branch_evidence,missing_links,notes
90CYE_DKS,90CYE03_19_DKS.PZU,1,0x497A,0x84A6,,0x613C,0x497A,mode_check_to_output,7.500,medium,weak,output branch present,"mode,event",partial_chain missing: event
90CYE_DKS,90CYE03_19_DKS.PZU,2,0x7017,0x84A6,,0x84A6,0x7017,partial_chain,7.500,medium,weak,output branch present,"mode,event",partial_chain missing: event
90CYE_DKS,90CYE03_19_DKS.PZU,3,0x737C,0x84A6,,0x84A6,0x737C,mode_check_to_output,7.500,medium,weak,output branch present,"mode,event",partial_chain missing: event
90CYE_DKS,90CYE03_19_DKS.PZU,4,0x6ACB,0x84A6,,,0x497A,partial_chain,4.000,low,weak,weak,"mode,event,output","partial_chain missing: event, output_control"
90CYE_DKS,90CYE03_19_DKS.PZU,5,0x673C,0x84A6,,,0x497A,partial_chain,4.000,low,weak,weak,"mode,event,output","partial_chain missing: event, output_control"
90CYE_DKS,90CYE03_19_DKS.PZU,6,0x673C,0x84A6,,,0x497A,partial_chain,4.000,low,weak,weak,"mode,event,output","partial_chain missing: event, output_control"
90CYE_DKS,90CYE03_19_DKS.PZU,73,0x497A,0x60E4,0x60E4,,0x613C,unknown,12.165,high,pipeline only,pipeline only,output,from global_packet_pipeline_chains.csv
90CYE_DKS,90CYE03_19_DKS.PZU,75,0x84A6,0x7017,0x7017,,0x84A6,unknown,11.918,high,pipeline only,pipeline only,output,from global_packet_pipeline_chains.csv
90CYE_DKS,90CYE03_19_DKS.PZU,77,0x84A6,0x737C,0x737C,,0x84A6,unknown,11.722,high,pipeline only,pipeline only,output,from global_packet_pipeline_chains.csv
90CYE_DKS,90CYE03_19_DKS.PZU,79,0x497A,0x6ACB,0x6ACB,,0x5E78,unknown,11.310,high,pipeline only,pipeline only,output,from global_packet_pipeline_chains.csv
90CYE_DKS,90CYE04_19_DKS.PZU,7,0x497A,0x84A6,,0x613C,0x497A,mode_check_to_output,7.500,medium,weak,output branch present,"mode,event",partial_chain missing: event
90CYE_DKS,90CYE04_19_DKS.PZU,8,0x737C,0x84A6,,0x737C,0x737C,mode_check_to_output,7.500,medium,weak,output branch present,"mode,event",partial_chain missing: event
90CYE_DKS,90CYE04_19_DKS.PZU,9,0x7017,0x84A6,,,0x7017,partial_chain,4.000,low,weak,weak,"mode,event,output","partial_chain missing: event, output_control"
90CYE_DKS,90CYE04_19_DKS.PZU,10,0x6ACB,0x84A6,,,0x497A,partial_chain,4.000,low,weak,weak,"mode,event,output","partial_chain missing: event, output_control"
90CYE_DKS,90CYE04_19_DKS.PZU,11,0x673C,0x84A6,,,0x497A,partial_chain,4.000,low,weak,weak,"mode,event,output","partial_chain missing: event, output_control"
90CYE_DKS,90CYE04_19_DKS.PZU,12,0x673C,0x84A6,,,0x497A,partial_chain,4.000,low,weak,weak,"mode,event,output","partial_chain missing: event, output_control"
90CYE_DKS,90CYE04_19_DKS.PZU,74,0x497A,0x60E4,0x60E4,,0x613C,unknown,12.165,high,pipeline only,pipeline only,output,from global_packet_pipeline_chains.csv
90CYE_DKS,90CYE04_19_DKS.PZU,76,0x84A6,0x7017,0x7017,,0x84A6,unknown,11.918,high,pipeline only,pipeline only,output,from global_packet_pipeline_chains.csv
