file_a,family_a,file_b,family_b,similarity_pct_4000_BFFF
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,90CYE03_19_2 v2_1.PZU,90CYE_v2_1,29.7241
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,90CYE03_19_DKS.PZU,90CYE_DKS,49.0540
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,90CYE04_19_2 v2_1.PZU,90CYE_v2_1,29.7485
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,90CYE04_19_DKS.PZU,90CYE_DKS,49.0540
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,A03_26.PZU,A03_A04,22.2931
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,A04_28.PZU,A03_A04,17.8528
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,ppkp2001 90cye01.PZU,RTOS_service_family,12.4329
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,ppkp2012 a01.PZU,RTOS_service_family,3.9429
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,ppkp2019 a02.PZU,RTOS_service_family,9.7870
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,90CYE03_19_DKS.PZU,90CYE_DKS,23.2880
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,90CYE04_19_2 v2_1.PZU,90CYE_v2_1,99.8871
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,90CYE04_19_DKS.PZU,90CYE_DKS,23.2849
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,A03_26.PZU,A03_A04,24.3805
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,A04_28.PZU,A03_A04,19.3726
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,ppkp2001 90cye01.PZU,RTOS_service_family,12.0331
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,ppkp2012 a01.PZU,RTOS_service_family,3.6285
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,ppkp2019 a02.PZU,RTOS_service_family,9.2865
90CYE03_19_DKS.PZU,90CYE_DKS,90CYE04_19_2 v2_1.PZU,90CYE_v2_1,23.2941
90CYE03_19_DKS.PZU,90CYE_DKS,90CYE04_19_DKS.PZU,90CYE_DKS,99.9939
90CYE03_19_DKS.PZU,90CYE_DKS,A03_26.PZU,A03_A04,27.1484
90CYE03_19_DKS.PZU,90CYE_DKS,A04_28.PZU,A03_A04,22.5555
90CYE03_19_DKS.PZU,90CYE_DKS,ppkp2001 90cye01.PZU,RTOS_service_family,12.4725
90CYE03_19_DKS.PZU,90CYE_DKS,ppkp2012 a01.PZU,RTOS_service_family,3.9429
90CYE03_19_DKS.PZU,90CYE_DKS,ppkp2019 a02.PZU,RTOS_service_family,9.4696
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,90CYE04_19_DKS.PZU,90CYE_DKS,23.2971
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,A03_26.PZU,A03_A04,24.3927
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,A04_28.PZU,A03_A04,19.3909
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,ppkp2001 90cye01.PZU,RTOS_service_family,12.0331
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,ppkp2012 a01.PZU,RTOS_service_family,3.6316
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,ppkp2019 a02.PZU,RTOS_service_family,9.3140
90CYE04_19_DKS.PZU,90CYE_DKS,A03_26.PZU,A03_A04,27.1484
90CYE04_19_DKS.PZU,90CYE_DKS,A04_28.PZU,A03_A04,22.5555
90CYE04_19_DKS.PZU,90CYE_DKS,ppkp2001 90cye01.PZU,RTOS_service_family,12.4725
90CYE04_19_DKS.PZU,90CYE_DKS,ppkp2012 a01.PZU,RTOS_service_family,3.9429
90CYE04_19_DKS.PZU,90CYE_DKS,ppkp2019 a02.PZU,RTOS_service_family,9.4696
A03_26.PZU,A03_A04,A04_28.PZU,A03_A04,25.5310
A03_26.PZU,A03_A04,ppkp2001 90cye01.PZU,RTOS_service_family,11.9934
A03_26.PZU,A03_A04,ppkp2012 a01.PZU,RTOS_service_family,3.5980
A03_26.PZU,A03_A04,ppkp2019 a02.PZU,RTOS_service_family,9.7748
A04_28.PZU,A03_A04,ppkp2001 90cye01.PZU,RTOS_service_family,11.5356
A04_28.PZU,A03_A04,ppkp2012 a01.PZU,RTOS_service_family,3.6530
A04_28.PZU,A03_A04,ppkp2019 a02.PZU,RTOS_service_family,9.8083
ppkp2001 90cye01.PZU,RTOS_service_family,ppkp2012 a01.PZU,RTOS_service_family,7.3364
ppkp2001 90cye01.PZU,RTOS_service_family,ppkp2019 a02.PZU,RTOS_service_family,10.3821
ppkp2012 a01.PZU,RTOS_service_family,ppkp2019 a02.PZU,RTOS_service_family,5.3070
