file,family,valid_hex,checksum_errors,data_records,data_bytes,addr_range,sha256
90CYE02_27 DKS.PZU,90CYE,True,0,512,32768,0x4000-0xBFFF,89d8ec93fba5d6acbf78411686018d32f65952b4328373ac5a21d635f9c9205f
90CYE03_19_2 v2_1.PZU,90CYE,True,0,512,32768,0x4000-0xBFFF,16fca647c530136e54fcd1e9245904cc2a9712665e5d1e9786651a65b7edf6de
90CYE03_19_DKS.PZU,90CYE,True,0,512,32768,0x4000-0xBFFF,68a7d7a0aad11d642ae96b924b716ded973c48074ce0446759f976356f33007c
90CYE04_19_2 v2_1.PZU,90CYE,True,0,512,32768,0x4000-0xBFFF,0d8e832126895b195d6b18df4b12f2c8623ef54c251716779042b3a0d61df634
90CYE04_19_DKS.PZU,90CYE,True,0,512,32768,0x4000-0xBFFF,78e1be3a479c044be0a9c03ddb235777409054a3edeb1bd58d0b96c3ca00e77b
A03_26.PZU,A03,True,0,512,32768,0x4000-0xBFFF,468345a149266999ab72615abe1e8dac21db3cd989dc86687e5cae20e49ea69d
A04_28.PZU,A04,True,0,512,32768,0x4000-0xBFFF,d410be569d48dabb6532a72495514fb6a9a572ab530744fe158e0691fc09ced7
ppkp2001 90cye01.PZU,PPKP-90CYE,True,0,512,32768,0x4000-0xBFFF,ccb71789e46497ca0fc33853abd135f5147022376c64d9c2fe712835887d58b9
ppkp2012 a01.PZU,PPKP,False,1,512,32768,0x4000-0xBFFF,52692c6de09b16db89198eb02efac791c3609b7f3ef607241d55d6678dc1c94a
ppkp2019 a02.PZU,PPKP,False,1,512,32768,0x4000-0xBFFF,30ed4a9bb60bd994cadbca2f3682ba04468217407b679793d54d3d9961e54449
