file,branch,function_addr,entry_evidence,incoming_lcalls,incoming_ljmps,incoming_sjmps,size_estimate,ret_count,call_count,xdata_read_count,xdata_write_count,movc_count,basic_block_count,internal_block_count,role_candidate,confidence
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4100,mixed,0,0,0,118,1,5,1,0,0,1,0,unknown,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4176,mixed,0,0,0,90,1,1,5,0,0,5,4,state_reader_or_packet_builder,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41D0,mixed,0,0,0,24,1,1,1,0,0,3,2,unknown,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41E8,mixed,1,0,0,1867,0,3,0,0,0,3,2,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4933,mixed,0,0,0,38,1,0,1,0,0,3,2,unknown,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4959,mixed,0,0,0,38,1,0,1,0,0,3,2,unknown,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x497F,mixed,0,0,0,5835,1,85,8,9,0,3,2,state_update_worker,unknown
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x604A,mixed,5,0,0,1,0,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x604B,mixed,39,1,0,15,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x605A,mixed,2,0,0,6,2,0,0,0,0,3,2,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6060,mixed,3,0,0,7,1,0,0,0,0,3,2,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6067,mixed,2,0,0,9,1,1,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6070,mixed,2,0,1,11,1,1,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x607B,mixed,5,0,0,8,0,1,0,0,0,3,2,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6083,mixed,5,0,0,35,1,1,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x60A6,mixed,3,0,0,15,0,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x60B5,mixed,3,0,0,57,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x60EE,mixed,1,0,0,24,3,0,0,0,0,6,5,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6106,mixed,2,0,0,199,2,2,6,0,1,20,19,state_reader_or_packet_builder,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x61CD,mixed,11,0,0,23,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x61E4,mixed,3,0,0,5,0,1,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x61E9,mixed,3,0,0,5,0,1,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x61EE,mixed,1,0,0,18,0,2,2,0,0,1,0,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6200,mixed,1,0,0,40,2,0,1,0,0,1,0,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6228,mixed,2,0,0,265,0,1,1,0,0,1,0,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6331,mixed,2,0,0,374,1,0,1,0,0,1,0,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x64A7,mixed,1,0,0,15,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x64B6,mixed,2,0,0,18,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x64C8,mixed,1,0,0,415,1,0,11,2,0,3,2,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6667,mixed,1,0,0,213,0,3,8,1,0,1,0,state_reader_or_packet_builder,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x673C,mixed,1,0,0,1679,1,0,52,25,2,3,2,state_update_worker,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6DCB,mixed,1,0,0,1235,0,2,24,9,1,1,0,state_update_worker,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x729E,mixed,1,0,0,55,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x72D5,mixed,2,0,0,15,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x72E4,mixed,1,1,0,374,2,2,0,0,2,9,8,code_table_or_ui_worker,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x745A,mixed,1,0,1,190,0,22,4,2,1,5,4,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7518,mixed,1,0,0,57,1,0,4,3,0,7,6,state_update_worker,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7551,mixed,3,0,0,35,0,1,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7574,mixed,1,0,0,368,3,22,3,0,0,16,15,dispatcher_or_router,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x76E4,mixed,1,0,0,27,1,0,0,0,0,3,2,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x76FF,mixed,3,0,0,10,1,0,1,0,0,1,0,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7709,mixed,2,0,0,70,1,0,1,0,0,1,0,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x774F,mixed,1,0,0,258,1,11,15,8,0,17,16,dispatcher_or_router,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7851,mixed,2,0,0,21,1,1,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7866,mixed,2,0,0,184,1,1,2,2,0,1,0,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x791E,mixed,1,0,0,241,1,0,1,1,0,1,0,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7A0F,mixed,1,0,0,46,1,2,2,0,0,3,2,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7A3D,mixed,1,0,0,123,2,3,7,4,0,6,5,state_update_worker,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7AB8,mixed,1,0,0,34,0,3,1,0,0,1,0,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7ADA,mixed,3,0,0,147,2,8,1,0,0,3,2,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7B6D,mixed,2,0,0,101,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7BD2,mixed,3,0,0,56,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7C0A,mixed,1,0,0,23,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7C21,mixed,3,0,0,7,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7C28,mixed,3,0,0,1,0,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7C29,mixed,1,0,0,6,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7C2F,mixed,7,0,0,13,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7C3C,mixed,1,0,0,10,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7C46,mixed,3,0,0,19,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7C59,mixed,1,0,0,62,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7C97,mixed,1,0,0,283,1,8,16,4,0,1,0,state_update_worker,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7DB2,mixed,1,0,0,151,2,5,8,0,0,7,6,dispatcher_or_router,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7E49,mixed,1,0,0,227,5,14,15,1,0,14,13,dispatcher_or_router,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7F2C,mixed,1,0,0,16,1,1,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7F3C,mixed,1,0,0,24,0,2,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7F54,mixed,1,0,0,24,0,2,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7F6C,mixed,1,0,0,20,1,1,1,1,0,1,0,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7F80,mixed,1,0,0,28,0,2,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7F9C,mixed,5,0,0,25,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7FB5,mixed,2,0,0,3,0,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7FB8,mixed,3,0,0,10,1,1,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7FC2,mixed,1,0,0,3,0,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7FC5,mixed,2,0,0,125,1,1,2,0,0,1,0,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8042,mixed,1,0,0,871,1,1,21,6,0,1,0,state_update_worker,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x83A9,mixed,3,0,0,37,1,0,0,0,0,2,1,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x83CE,mixed,2,0,0,31,0,1,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x83ED,mixed,4,3,0,24,1,0,0,0,0,2,1,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8405,mixed,3,0,0,30,1,0,0,0,0,3,2,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8423,mixed,1,0,0,31,1,0,0,0,0,3,2,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8442,mixed,1,0,0,66,2,2,6,0,0,8,7,state_reader_or_packet_builder,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8484,mixed,1,0,0,84,0,4,2,1,0,1,0,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x84D8,mixed,2,0,0,37,1,2,1,0,0,1,0,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x84FD,mixed,2,0,1,29,1,1,0,0,0,3,2,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x851A,mixed,1,0,0,18,1,0,0,0,0,3,2,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x852C,mixed,1,0,0,39,3,0,3,0,0,5,4,state_reader_or_packet_builder,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8553,mixed,1,0,0,60,1,0,1,0,0,3,2,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x858F,mixed,1,0,0,2,0,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8591,mixed,1,0,0,2,0,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8593,mixed,1,0,0,35,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x85B6,mixed,8,0,0,103,3,2,1,0,0,5,4,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x861D,mixed,2,0,0,38,1,3,0,0,0,5,4,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8643,mixed,1,0,0,81,4,6,1,0,0,8,7,dispatcher_or_router,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8694,mixed,1,0,0,11,1,0,0,0,0,1,0,unknown,hypothesis
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x869F,mixed,1,0,0,157,0,2,1,0,0,1,0,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x873C,mixed,1,0,0,774,1,1,7,2,0,1,0,unknown,probable
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8A42,mixed,1,0,0,437,2,21,9,0,0,1,0,state_reader_or_packet_builder,probable
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x4100,mixed,0,0,0,118,1,5,1,0,0,1,0,unknown,unknown
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x4176,mixed,0,0,0,90,1,1,5,0,0,5,4,state_reader_or_packet_builder,unknown
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x41D0,mixed,0,0,0,24,1,1,1,0,0,3,2,unknown,unknown
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x41E8,mixed,1,0,0,1867,0,3,0,0,0,3,2,unknown,hypothesis
