branch,file,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,cluster_hits,call_hub_score,writer_score,reader_score,table_score,notes
A03_A04,A04_28.PZU,0x497A,dispatcher_candidate,22.595,high,dispatcher_or_router,69,68,0,99,8,5,0,0,5,23.837,24.625,23.912,15.162,global branch-wide score; no A03/A04-only address assumptions
A03_A04,A03_26.PZU,0x497A,dispatcher_candidate,21.341,high,dispatcher_or_router,65,64,0,90,8,5,0,0,7,22.375,23.500,22.862,13.812,global branch-wide score; no A03/A04-only address assumptions
A03_A04,A03_26.PZU,0xA900,dispatcher_candidate,13.038,high,dispatcher_or_router,23,22,1,33,14,0,0,0,7,16.350,8.062,16.563,5.263,global branch-wide score; no A03/A04-only address assumptions
A03_A04,A04_28.PZU,0xB310,dispatcher_candidate,12.273,high,dispatcher_or_router,21,20,1,32,13,0,0,0,4,15.750,7.100,15.100,5.112,global branch-wide score; no A03/A04-only address assumptions
A03_A04,A04_28.PZU,0x722E,dispatcher_candidate,10.903,high,state_update_worker,3,2,1,1,61,22,6,6,45,1.018,20.255,41.265,5.796,global branch-wide score; no A03/A04-only address assumptions
A03_A04,A03_26.PZU,0x8904,dispatcher_candidate,8.658,high,dispatcher_or_router,34,33,1,14,15,2,0,0,15,4.388,10.688,17.788,2.413,global branch-wide score; no A03/A04-only address assumptions
A03_A04,A03_26.PZU,0x800B,dispatcher_candidate,8.470,high,dispatcher_or_router,13,12,1,21,4,2,3,1,2,11.400,5.800,6.612,5.637,global branch-wide score; no A03/A04-only address assumptions
A03_A04,A04_28.PZU,0x7F5B,dispatcher_candidate,8.354,high,dispatcher_or_router,13,12,1,20,4,2,3,1,5,10.800,6.262,6.963,5.487,global branch-wide score; no A03/A04-only address assumptions
A03_A04,A04_28.PZU,0x497A,packet_service_candidate,24.205,high,dispatcher_or_router,69,68,0,99,8,5,0,0,5,23.837,24.625,23.912,15.162,service/packet worker ranking
A03_A04,A03_26.PZU,0x497A,packet_service_candidate,22.898,high,dispatcher_or_router,65,64,0,90,8,5,0,0,7,22.375,23.500,22.862,13.812,service/packet worker ranking
A03_A04,A04_28.PZU,0x722E,packet_service_candidate,17.285,high,state_update_worker,3,2,1,1,61,22,6,6,45,1.018,20.255,41.265,5.796,service/packet worker ranking
A03_A04,A03_26.PZU,0xA900,packet_service_candidate,12.323,high,dispatcher_or_router,23,22,1,33,14,0,0,0,7,16.350,8.062,16.563,5.263,service/packet worker ranking
A03_A04,A04_28.PZU,0xB310,packet_service_candidate,11.374,high,dispatcher_or_router,21,20,1,32,13,0,0,0,4,15.750,7.100,15.100,5.112,service/packet worker ranking
A03_A04,A03_26.PZU,0x8904,packet_service_candidate,11.023,high,dispatcher_or_router,34,33,1,14,15,2,0,0,15,4.388,10.688,17.788,2.413,service/packet worker ranking
A03_A04,A03_26.PZU,0x7339,packet_service_candidate,10.957,high,state_update_worker,3,2,1,1,39,16,2,2,25,1.018,13.639,26.040,2.016,service/packet worker ranking
A03_A04,A04_28.PZU,0x889F,packet_service_candidate,10.285,high,dispatcher_or_router,34,33,1,14,15,2,0,0,8,4.388,9.375,16.738,2.413,service/packet worker ranking
A03_A04,A04_28.PZU,0x497A,xdata_writer_candidate,24.625,high,dispatcher_or_router,69,68,0,99,8,5,0,0,5,23.837,24.625,23.912,15.162,writer-like behavior from global features
A03_A04,A03_26.PZU,0x497A,xdata_writer_candidate,23.500,high,dispatcher_or_router,65,64,0,90,8,5,0,0,7,22.375,23.500,22.862,13.812,writer-like behavior from global features
A03_A04,A04_28.PZU,0x722E,xdata_writer_candidate,20.255,high,state_update_worker,3,2,1,1,61,22,6,6,45,1.018,20.255,41.265,5.796,writer-like behavior from global features
A03_A04,A03_26.PZU,0x7339,xdata_writer_candidate,13.639,high,state_update_worker,3,2,1,1,39,16,2,2,25,1.018,13.639,26.040,2.016,writer-like behavior from global features
A03_A04,A03_26.PZU,0x8904,xdata_writer_candidate,10.688,high,dispatcher_or_router,34,33,1,14,15,2,0,0,15,4.388,10.688,17.788,2.413,writer-like behavior from global features
A03_A04,A04_28.PZU,0x889F,xdata_writer_candidate,9.375,high,dispatcher_or_router,34,33,1,14,15,2,0,0,8,4.388,9.375,16.738,2.413,writer-like behavior from global features
A03_A04,A04_28.PZU,0x950F,xdata_writer_candidate,8.998,high,state_update_worker,2,1,1,1,31,6,0,0,33,1.018,8.998,22.334,0.126,writer-like behavior from global features
A03_A04,A03_26.PZU,0xA900,xdata_writer_candidate,8.062,high,dispatcher_or_router,23,22,1,33,14,0,0,0,7,16.350,8.062,16.563,5.263,writer-like behavior from global features
