branch,file,chain_rank,caller_function,core_function,callee_function,caller_role,core_role,callee_role,caller_score,core_score,callee_score,chain_score,confidence,notes
A03_A04,A03_26.PZU,1,0x497A,0xA900,0x800B,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,21.341,12.323,5.800,15.249,high,global static chain candidate; caller/service + core xdata + callee writer/table/service
A03_A04,A04_28.PZU,2,0x497A,0xB310,0x7F5B,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,22.595,11.374,6.262,15.158,high,global static chain candidate; caller/service + core xdata + callee writer/table/service
A03_A04,A03_26.PZU,3,0x497A,0xA900,0x8904,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,21.341,12.323,10.688,15.070,high,global static chain candidate; caller/service + core xdata + callee writer/table/service
A03_A04,A04_28.PZU,4,0x497A,0xB310,0x889F,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,22.595,11.374,9.375,14.802,high,global static chain candidate; caller/service + core xdata + callee writer/table/service
A03_A04,A04_28.PZU,5,0x497A,0x714C,0x722E,dispatcher_or_router,state_reader_or_packet_builder,state_update_worker,22.595,3.040,20.255,14.188,high,global static chain candidate; caller/service + core xdata + callee writer/table/service
A03_A04,A04_28.PZU,6,0x497A,0xB310,0xA269,dispatcher_or_router,dispatcher_or_router,state_reader_or_packet_builder,22.595,11.374,4.235,13.679,high,global static chain candidate; caller/service + core xdata + callee writer/table/service
A03_A04,A03_26.PZU,7,0x497A,0xA900,0x9F58,dispatcher_or_router,dispatcher_or_router,state_reader_or_packet_builder,21.341,12.323,4.367,13.628,high,global static chain candidate; caller/service + core xdata + callee writer/table/service
A03_A04,A04_28.PZU,8,0x497A,0xB310,0xA1FA,dispatcher_or_router,dispatcher_or_router,unknown,22.595,11.374,1.149,13.579,high,global static chain candidate; caller/service + core xdata + callee writer/table/service
A03_A04,A03_26.PZU,9,0x497A,0xA900,0x9EEC,dispatcher_or_router,dispatcher_or_router,unknown,21.341,12.323,1.149,13.520,high,global static chain candidate; caller/service + core xdata + callee writer/table/service
A03_A04,A04_28.PZU,10,0x497A,0xB310,0x866A,dispatcher_or_router,dispatcher_or_router,state_update_worker,22.595,11.374,4.200,13.508,high,global static chain candidate; caller/service + core xdata + callee writer/table/service
A03_A04,A04_28.PZU,11,0x497A,0xB310,0x805D,dispatcher_or_router,dispatcher_or_router,state_update_worker,22.595,11.374,4.074,13.476,high,global static chain candidate; caller/service + core xdata + callee writer/table/service
A03_A04,A04_28.PZU,12,0x497A,0xB310,0x6B57,dispatcher_or_router,dispatcher_or_router,state_reader_or_packet_builder,22.595,11.374,4.059,13.473,high,global static chain candidate; caller/service + core xdata + callee writer/table/service
90CYE_DKS,90CYE03_19_DKS.PZU,1,0x497A,0x60E4,0x613C,dispatcher_or_router,unknown,state_update_worker,23.531,1.056,14.028,12.165,high,global static chain candidate; caller/service + core xdata + callee writer/table/service
90CYE_DKS,90CYE04_19_DKS.PZU,2,0x497A,0x60E4,0x613C,dispatcher_or_router,unknown,state_update_worker,23.531,1.056,14.028,12.165,high,global static chain candidate; caller/service + core xdata + callee writer/table/service
90CYE_DKS,90CYE03_19_DKS.PZU,3,0x84A6,0x7017,0x84A6,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,11.179,11.030,6.500,11.918,high,global static chain candidate; caller/service + core xdata + callee writer/table/service
90CYE_DKS,90CYE04_19_DKS.PZU,4,0x84A6,0x7017,0x84A6,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,11.179,11.030,6.500,11.918,high,global static chain candidate; caller/service + core xdata + callee writer/table/service
