branch,file,function_addr,evidence_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,conditional_branch_count,loop_like_score,bit_operation_count,immediate_hits,xdata_hits,related_calls,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,polling_loop_candidate,7.200,medium,dispatcher_or_router,91,90,0,76,23,24,0,42,100,8,0x01,0x0035;0x3010;0x3048;0x304A;0x30E0;0x30E1;0x30E6;0x319D;0x31BF;0x36D3;0x36D4;0x36D5,0x5545;0x58B1;0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4;0x673C;0x6ACB,loop-heavy function with repeated calls (polling hypothesis)
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,polling_loop_candidate,7.200,medium,dispatcher_or_router,33,32,1,20,11,6,1,15,34,10,0x01,0x3010;0x3011;0x3012;0x3013;0x3014;0x301A;0x301B;0x31BF;0x36D3;0x36EC;0x36EE;0x36EF,0x597F;0x5A7F;0x5AA3;0x73BA;0x74C0;0x848E;0x84A6,loop-heavy function with repeated calls (polling hypothesis)
90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,polling_loop_candidate,7.200,medium,dispatcher_or_router,19,18,2,24,13,1,0,9,14,2,0x01,0x315B;0x3181;0x31A9;0x31B1;0x3640;0x36D3;0x36D9;0x36F8,0x59A0;0x5A7F;0x6025;0x6CB5;0x6D0A;0x6E32;0x6EF2;0x7017;0x7184;0x728A;0x737C;0x764E,loop-heavy function with repeated calls (polling hypothesis)
90CYE_DKS,90CYE03_19_DKS.PZU,0x7184,polling_loop_candidate,6.880,medium,dispatcher_or_router,18,17,1,16,3,1,0,10,17,2,0x01,0x30A1;0x30A2;0x30A4;0x30E7,0x5935;0x597F;0x5A7F;0x5A9C;0x6833;0x6CCD;0x7227;0x7268;0x78F1;0x7922;0x7D45,loop-heavy function with repeated calls (polling hypothesis)
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,packet_export_candidate,6.800,medium,dispatcher_or_router,91,90,0,76,23,24,0,42,100,8,0x01,0x0035;0x3010;0x3048;0x304A;0x30E0;0x30E1;0x30E6;0x319D;0x31BF;0x36D3;0x36D4;0x36D5,0x5545;0x58B1;0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4;0x673C;0x6ACB,packet export integration via global packet pipeline overlap
90CYE_DKS,90CYE03_19_DKS.PZU,0x77BF,polling_loop_candidate,6.720,medium,dispatcher_or_router,24,23,1,14,1,0,0,10,26,2,,0x0008,0x5A7F;0x5A9C;0x6833;0x6CCD;0x77F3;0x7806;0x848E,loop-heavy function with repeated calls (polling hypothesis)
90CYE_DKS,90CYE03_19_DKS.PZU,0x7BC2,polling_loop_candidate,6.720,medium,dispatcher_or_router,34,33,1,14,15,2,0,17,23,6,0x01,0x3125;0x3126;0x315B;0x315C;0x3180;0x3707;0x3708,0x7C29;0x7C98;0x7C9E;0x7CAC;0x7CBC;0x7CD4;0x7CEC;0x7D00,loop-heavy function with repeated calls (polling hypothesis)
90CYE_DKS,90CYE03_19_DKS.PZU,0x5EDC,polling_loop_candidate,6.640,medium,dispatcher_or_router,40,39,1,13,13,2,0,23,42,3,,0x30A0;0x30E2;0x30EE;0x3612;0x3613;0x361A;0x361B;0x361C;0x36F4,0x5EE3;0x5F35;0x5F4B;0x5F6B;0x5FA6;0x5FE0;0x5FE8;0x848E,loop-heavy function with repeated calls (polling hypothesis)
90CYE_DKS,90CYE03_19_DKS.PZU,0x673C,polling_loop_candidate,6.180,medium,dispatcher_or_router,12,11,1,11,8,2,0,5,13,2,,0x30A3;0x30A6;0x30EE;0x3121;0x315B;0x3612;0x36ED;0x36FB,0x5A7F;0x5AA3;0x5D2E;0x5DB8;0x6CCD;0x78D8;0x795A;0x848E,loop-heavy function with repeated calls (polling hypothesis)
90CYE_DKS,90CYE03_19_DKS.PZU,0x6EF2,polling_loop_candidate,6.040,medium,dispatcher_or_router,21,20,1,13,18,4,0,11,12,2,,0x0001;0x316D;0x319F;0x31A0;0x31A1;0x31A2;0x31A3;0x31A4;0x31A5;0x31A7;0x36F6,0x597F;0x5A7F;0x6FB3;0x6FFC;0x7117;0x7D38;0x7D45;0x849E,loop-heavy function with repeated calls (polling hypothesis)
90CYE_DKS,90CYE03_19_DKS.PZU,0x7017,polling_loop_candidate,6.040,medium,dispatcher_or_router,23,22,1,13,17,4,0,12,12,2,,0x0001;0x30E9;0x30F1;0x30F2;0x30F3;0x30F4;0x30F5;0x30F6;0x30F7;0x36F7,0x597F;0x5A7F;0x6FFC;0x70D8;0x7117;0x7D38;0x7D45;0x84A6,loop-heavy function with repeated calls (polling hypothesis)
90CYE_DKS,90CYE03_19_DKS.PZU,0x4100,polling_loop_candidate,6.000,medium,dispatcher_or_router,12,11,0,5,1,0,0,4,29,6,,0x0030,0x4112;0x4127;0x415F,loop-heavy function with repeated calls (polling hypothesis)
90CYE_DKS,90CYE03_19_DKS.PZU,0x7A9A,polling_loop_candidate,6.000,medium,dispatcher_or_router,14,13,1,5,8,0,0,6,14,4,,0x3125;0x315A;0x315D;0x315E;0x3161,0x7AE5;0x82A8;0x82C0,loop-heavy function with repeated calls (polling hypothesis)
90CYE_DKS,90CYE03_19_DKS.PZU,0x7889,polling_loop_candidate,5.920,medium,dispatcher_or_router,11,10,1,4,2,2,0,5,14,0,,0x30A1;0x31A7;0x31A8,0x5A7F;0x78A7;0x78BE;0x78F1,loop-heavy function with repeated calls (polling hypothesis)
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,common_mash_dispatcher_candidate,5.900,low,dispatcher_or_router,91,90,0,76,23,24,0,42,100,8,0x01,0x0035;0x3010;0x3048;0x304A;0x30E0;0x30E1;0x30E6;0x319D;0x31BF;0x36D3;0x36D4;0x36D5,0x5545;0x58B1;0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4;0x673C;0x6ACB,common dispatcher candidate for MASH/address-loop
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,common_mash_dispatcher_candidate,5.900,low,dispatcher_or_router,33,32,1,20,11,6,1,15,34,10,0x01,0x3010;0x3011;0x3012;0x3013;0x3014;0x301A;0x301B;0x31BF;0x36D3;0x36EC;0x36EE;0x36EF,0x597F;0x5A7F;0x5AA3;0x73BA;0x74C0;0x848E;0x84A6,common dispatcher candidate for MASH/address-loop
90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,common_mash_dispatcher_candidate,5.900,low,dispatcher_or_router,19,18,2,24,13,1,0,9,14,2,0x01,0x315B;0x3181;0x31A9;0x31B1;0x3640;0x36D3;0x36D9;0x36F8,0x59A0;0x5A7F;0x6025;0x6CB5;0x6D0A;0x6E32;0x6EF2;0x7017;0x7184;0x728A;0x737C;0x764E,common dispatcher candidate for MASH/address-loop
90CYE_DKS,90CYE03_19_DKS.PZU,0x7D85,polling_loop_candidate,5.840,medium,state_update_worker,8,7,2,3,36,5,1,3,15,0,,0x0001;0x30EA;0x3125;0x3127;0x319E;0x3608;0x360B;0x360C;0x360D;0x36D3;0x7100;0x710C,0x7121;0x7D9B,loop-heavy function with repeated calls (polling hypothesis)
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,led_control_candidate,5.700,medium,dispatcher_or_router,91,90,0,76,23,24,0,42,100,8,0x01,0x0035;0x3010;0x3048;0x304A;0x30E0;0x30E1;0x30E6;0x319D;0x31BF;0x36D3;0x36D4;0x36D5,0x5545;0x58B1;0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4;0x673C;0x6ACB,bit operations with XDATA writes (LED/control hypothesis)
90CYE_DKS,90CYE03_19_DKS.PZU,0x728A,polling_loop_candidate,5.700,medium,dispatcher_or_router,12,11,1,26,5,4,0,6,9,3,,0x30A2;0x30E5;0x30E7;0x30E8;0x30E9,0x5A7F;0x6EB8;0x6EC2;0x6ECE;0x6EE6;0x7316;0x7360;0x7366;0x7922;0x7D7A;0x7D85,loop-heavy function with repeated calls (polling hypothesis)
