branch,file,function_addr,output_semantic,score,confidence,xdata_refs,call_targets,constants,downstream_packet_export,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_feedback_check,0.500,hypothesis,-,0x5A7F,-,yes,output semantic inferred from action/role keywords only
