branch,file,function_addr,action_candidate,score,confidence,xdata_reads,xdata_writes,related_mode_function,related_packet_function,possible_physical_action,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,unknown_output_action,27.670,medium,23,24,-,0x5A7F,unknown,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x3048; xdata:0x304A; xdata:0x30E0; xdata:0x30E1; xdata:0x30E6
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,unknown_output_action,19.400,medium,11,6,-,0x5A7F,unknown,module:МАШ (address loop)/address-loop sub-dispatch + writes; xdata:0x3010; xdata:0x3011; xdata:0x3012; xdata:0x3013; xdata:0x3014; xdata:0x301A; xdata:0x301B
90CYE_DKS,90CYE03_19_DKS.PZU,0x7017,unknown_output_action,17.760,medium,17,4,-,0x5A7F,unknown,xdata:0x0001; xdata:0x30E9; xdata:0x30F1; xdata:0x30F2; xdata:0x30F3; xdata:0x30F4; xdata:0x30F5; xdata:0x30F6
90CYE_DKS,90CYE03_19_DKS.PZU,0x728A,unknown_output_action,17.280,medium,5,4,-,0x5A7F,unknown,xdata:0x30A2; xdata:0x30E5; xdata:0x30E7; xdata:0x30E8; xdata:0x30E9
90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,unknown_output_action,16.620,medium,13,1,-,0x5A7F,unknown,module:МАШ (address loop)/outer scan loop dispatcher; xdata:0x315B; xdata:0x3181; xdata:0x31A9; xdata:0x31B1; xdata:0x3640; xdata:0x36D3; xdata:0x36D9
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start,14.680,medium,16,2,0x728A,0x5A7F,relay_or_extinguishing_actuator,xdata:0x30F9; xdata:0x30FA; xdata:0x30FE; xdata:0x3106; xdata:0x315B; xdata:0x315D; xdata:0x31A7; xdata:0x36D3
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,output_feedback,7.170,low,39,16,0x728A,0x5A7F,feedback_sampler,module:МАС (analog)/measurement/state comparator; xdata:0x3078; xdata:0x30A6; xdata:0x30A7; xdata:0x30E4; xdata:0x30EA; xdata:0x30EB; xdata:0x30FB
90CYE_DKS,90CYE03_19_DKS.PZU,0x5EDC,unknown_output_action,4.660,hypothesis,13,2,-,0x5A7F,unknown,xdata:0x30A0; xdata:0x30E2; xdata:0x30EE; xdata:0x3612; xdata:0x3613; xdata:0x361A; xdata:0x361B; xdata:0x361C
90CYE_DKS,90CYE04_19_DKS.PZU,0x497A,unknown_output_action,27.670,medium,23,24,-,0x5A7F,unknown,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x3048; xdata:0x304A; xdata:0x30E0; xdata:0x30E1; xdata:0x30E6
90CYE_DKS,90CYE04_19_DKS.PZU,0x6833,output_start,14.680,medium,16,2,0x728A,0x5A7F,relay_or_extinguishing_actuator,xdata:0x30F9; xdata:0x30FA; xdata:0x30FE; xdata:0x3106; xdata:0x315B; xdata:0x315D; xdata:0x31A7; xdata:0x36D3
90CYE_DKS,90CYE04_19_DKS.PZU,0x613C,output_feedback,7.170,low,39,16,0x728A,0x5A7F,feedback_sampler,module:МАС (analog)/measurement/state comparator; xdata:0x3078; xdata:0x30A6; xdata:0x30A7; xdata:0x30E4; xdata:0x30EA; xdata:0x30EB; xdata:0x30FB
90CYE_DKS,90CYE04_19_DKS.PZU,0x737C,unknown_output_action,6.550,low,11,6,-,0x5A7F,unknown,module:МАШ (address loop)/address-loop sub-dispatch + writes; xdata:0x3010; xdata:0x3011; xdata:0x3012; xdata:0x3013; xdata:0x3014; xdata:0x301A; xdata:0x301B
90CYE_DKS,90CYE04_19_DKS.PZU,0x5EDC,unknown_output_action,4.660,hypothesis,13,2,-,0x5A7F,unknown,xdata:0x30A0; xdata:0x30E2; xdata:0x30EE; xdata:0x3612; xdata:0x3613; xdata:0x361A; xdata:0x361B; xdata:0x361C
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x497F,unknown_output_action,47.180,medium,8,9,-,0x5A7F,unknown,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x3193; xdata:0x3197; xdata:0x3199; xdata:0x319B; xdata:0x319F
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7574,unknown_output_action,17.280,medium,3,0,-,0x5A7F,unknown,module:МАШ (address loop)/address-loop dispatcher; xdata:0x0001; xdata:0x318E
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x8A42,unknown_output_action,16.160,medium,9,0,-,0x5A7F,unknown,xdata:0x0A76; xdata:0x0C82; xdata:0x30A3; xdata:0x3103; xdata:0x4442; xdata:0x4575; xdata:0x457B; xdata:0x46E8
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x673C,unknown_output_action,8.370,low,52,25,-,0x5A7F,unknown,xdata:0x30A4; xdata:0x30A5; xdata:0x30B0; xdata:0x30B1; xdata:0x30B2; xdata:0x30CE; xdata:0x3103; xdata:0x3104
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x774F,unknown_output_action,5.390,hypothesis,15,8,-,0x5A7F,unknown,module:МАС (analog)/state comparator/event writer; xdata:0x3010; xdata:0x3012; xdata:0x3013; xdata:0x301C; xdata:0x301D; xdata:0x301E; xdata:0x301F
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7E49,unknown_output_action,4.650,hypothesis,15,1,-,0x5A7F,unknown,xdata:0x30CE; xdata:0x30CF; xdata:0x3103; xdata:0x318C; xdata:0x45A5; xdata:0x45A6
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x6DCB,unknown_output_action,4.500,hypothesis,24,9,-,0x5A7F,unknown,xdata:0x30A4; xdata:0x30B2; xdata:0x30C8; xdata:0x30CD; xdata:0x3103; xdata:0x3104; xdata:0x312D; xdata:0x31D1
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x497F,unknown_output_action,52.230,medium,13,9,-,0x5A7F,unknown,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x32E9; xdata:0x32ED; xdata:0x3313; xdata:0x4457; xdata:0x4492
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x90B6,unknown_output_action,5.270,hypothesis,12,1,-,0x5A7F,unknown,xdata:0x3158; xdata:0x3159; xdata:0x315A; xdata:0x3176; xdata:0x317D; xdata:0x740C; xdata:0x740F
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x9F46,unknown_output_action,4.650,hypothesis,36,6,-,0x5A7F,unknown,xdata:0x0001; xdata:0x3178; xdata:0x3179; xdata:0x32A5; xdata:0x32D7; xdata:0x4494; xdata:0x4498; xdata:0x449C
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x497F,unknown_output_action,52.230,medium,13,9,-,0x5A7F,unknown,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x32E9; xdata:0x32ED; xdata:0x3313; xdata:0x4457; xdata:0x4492
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x90B6,unknown_output_action,5.270,hypothesis,12,1,-,0x5A7F,unknown,xdata:0x3158; xdata:0x3159; xdata:0x315A; xdata:0x3176; xdata:0x317D; xdata:0x740C; xdata:0x740F
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x9F46,unknown_output_action,4.650,hypothesis,36,6,-,0x5A7F,unknown,xdata:0x0001; xdata:0x3178; xdata:0x3179; xdata:0x32A5; xdata:0x32D7; xdata:0x4494; xdata:0x4498; xdata:0x449C
A03_A04,A03_26.PZU,0x497A,unknown_output_action,56.300,medium,8,5,-,0x5A7F,unknown,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x4E54; xdata:0x4FCE; xdata:0x4FCF; xdata:0x4FD0; xdata:0x50F9
A03_A04,A03_26.PZU,0xA900,unknown_output_action,17.360,medium,14,0,-,0x5A7F,unknown,xdata:0x30AE; xdata:0x30AF; xdata:0x328C; xdata:0x329C; xdata:0x4DB7; xdata:0x4E9F; xdata:0x4FCE; xdata:0x4FCF
