branch,file,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,conditional_branch_count,bit_operation_count,output_marker_hits,control_action_hits,event_input_hits,packet_export_hits,related_calls,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,output_module_dispatcher_candidate,27.670,medium,dispatcher_or_router,91,90,0,76,23,24,0,.COCT.  ascii_only | CTABKA AC  ascii_only | CTAHOBKA  ascii_only | HEHOPMA  ascii_only | HET OCH.  ascii_only,42,8,8,1,0,1,0x5545|0x58B1|0x5935|0x594B|0x59A0|0x5A7F|0x5AA3|0x5D13|0x5D22|0x60E4,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x3048; xdata:0x304A; xdata:0x30E0; xdata:0x30E1; xdata:0x30E6
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,output_module_dispatcher_candidate,19.400,medium,dispatcher_or_router,33,32,1,20,11,6,1,,15,1268,0,1,2431,2312,0x597F|0x5A7F|0x5AA3|0x73BA|0x74C0|0x848E|0x84A6,module:МАШ (address loop)/address-loop sub-dispatch + writes; xdata:0x3010; xdata:0x3011; xdata:0x3012; xdata:0x3013; xdata:0x3014; xdata:0x301A; xdata:0x301B
90CYE_DKS,90CYE03_19_DKS.PZU,0x7017,output_module_dispatcher_candidate,17.760,medium,dispatcher_or_router,23,22,1,13,17,4,0,,12,388,0,0,802,777,0x597F|0x5A7F|0x6FFC|0x70D8|0x7117|0x7D38|0x7D45|0x84A6,xdata:0x0001; xdata:0x30E9; xdata:0x30F1; xdata:0x30F2; xdata:0x30F3; xdata:0x30F4; xdata:0x30F5; xdata:0x30F6
90CYE_DKS,90CYE03_19_DKS.PZU,0x728A,output_module_dispatcher_candidate,17.280,medium,dispatcher_or_router,12,11,1,26,5,4,0,,6,168,0,0,381,355,0x5A7F|0x6EB8|0x6EC2|0x6ECE|0x6EE6|0x7316|0x7360|0x7366|0x7922|0x7D7A,xdata:0x30A2; xdata:0x30E5; xdata:0x30E7; xdata:0x30E8; xdata:0x30E9
90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,output_module_dispatcher_candidate,16.620,medium,dispatcher_or_router,19,18,2,24,13,1,0,,9,861,0,0,2354,2210,0x59A0|0x5A7F|0x6025|0x6CB5|0x6D0A|0x6E32|0x6EF2|0x7017|0x7184|0x728A,module:МАШ (address loop)/outer scan loop dispatcher; xdata:0x315B; xdata:0x3181; xdata:0x31A9; xdata:0x31B1; xdata:0x3640; xdata:0x36D3; xdata:0x36D9
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,relay_output_candidate,14.680,medium,unknown,2,1,1,6,16,2,0,<ACTIV>  ascii_only | <DISABLE>  ascii_only | <ENTER>  ascii_only | <FUNC>  ascii_only | <RESET>  ascii_only,1,0,7,0,0,0,0x597F|0x5A7F|0x7922|0x7DC2,xdata:0x30F9; xdata:0x30FA; xdata:0x30FE; xdata:0x3106; xdata:0x315B; xdata:0x315D; xdata:0x31A7; xdata:0x36D3
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,actuator_feedback_candidate,7.170,low,state_update_worker,3,2,1,0,39,16,3,,1,1,0,1,0,1,,module:МАС (analog)/measurement/state comparator; xdata:0x3078; xdata:0x30A6; xdata:0x30A7; xdata:0x30E4; xdata:0x30EA; xdata:0x30EB; xdata:0x30FB
90CYE_DKS,90CYE03_19_DKS.PZU,0x5EDC,output_module_dispatcher_candidate,4.660,hypothesis,dispatcher_or_router,40,39,1,13,13,2,0,,23,3,0,1,0,0,0x5EE3|0x5F35|0x5F4B|0x5F6B|0x5FA6|0x5FE0|0x5FE8|0x848E,xdata:0x30A0; xdata:0x30E2; xdata:0x30EE; xdata:0x3612; xdata:0x3613; xdata:0x361A; xdata:0x361B; xdata:0x361C
90CYE_DKS,90CYE04_19_DKS.PZU,0x497A,output_module_dispatcher_candidate,27.670,medium,dispatcher_or_router,91,90,0,76,23,24,0,.COCT.  ascii_only | CTABKA AC  ascii_only | CTAHOBKA  ascii_only | HEHOPMA  ascii_only | HET OCH.  ascii_only,42,8,8,1,0,1,0x5545|0x58B1|0x5935|0x594B|0x59A0|0x5A7F|0x5AA3|0x5D13|0x5D22|0x60E4,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x3048; xdata:0x304A; xdata:0x30E0; xdata:0x30E1; xdata:0x30E6
90CYE_DKS,90CYE04_19_DKS.PZU,0x6833,relay_output_candidate,14.680,medium,unknown,2,1,1,6,16,2,0,<ACTIV>  ascii_only | <DISABLE>  ascii_only | <ENTER>  ascii_only | <FUNC>  ascii_only | <RESET>  ascii_only,1,0,7,0,0,0,0x597F|0x5A7F|0x7922|0x7DC2,xdata:0x30F9; xdata:0x30FA; xdata:0x30FE; xdata:0x3106; xdata:0x315B; xdata:0x315D; xdata:0x31A7; xdata:0x36D3
