branch,file,function_addr,code_addr,action_candidate,trigger_source,xdata_addr,write_value_or_bit,call_target,next_function,packet_export_seen,feedback_seen,confidence,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x55AD,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x55C0,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x55C9,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x55E6,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x55F9,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5602,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5628,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5663,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x569D,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x571A,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5730,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x574E,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x575A,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x577A,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5786,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x57A4,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x57B0,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x57CE,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x57DA,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x57F8,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5804,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x581F,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5831,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5843,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5855,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5867,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5879,packet_export_or_feedback,call,-,-,0x5A7F,0x5A7F,yes,no,hypothesis,static_trace
