branch,file,function_addr,constant,constant_format,nearby_operation,possible_meaning,confidence,evidence_level,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x07,hex_immediate,disassembly_local_window,mask/table/xdata selector,low_to_medium,static_code,pass2 constant extraction
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x0F,hex_immediate,disassembly_local_window,mask/table/xdata selector,low_to_medium,static_code,pass2 constant extraction
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x0035,hex_immediate,disassembly_local_window,mask/table/xdata selector,low_to_medium,static_code,pass2 constant extraction
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0xF0,hex_immediate,disassembly_local_window,mask/table/xdata selector,low_to_medium,static_code,pass2 constant extraction
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x04,hex_immediate,disassembly_local_window,mask/table/xdata selector,low_to_medium,static_code,pass2 constant extraction
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x5A7F,hex_immediate,disassembly_local_window,mask/table/xdata selector,low_to_medium,static_code,pass2 constant extraction
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x31BF,hex_immediate,disassembly_local_window,mask/table/xdata selector,low_to_medium,static_code,pass2 constant extraction
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x00,hex_immediate,disassembly_local_window,mask/table/xdata selector,low_to_medium,static_code,pass2 constant extraction
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x01,hex_immediate,disassembly_local_window,mask/table/xdata selector,low_to_medium,static_code,pass2 constant extraction
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x03,hex_immediate,disassembly_local_window,mask/table/xdata selector,low_to_medium,static_code,pass2 constant extraction
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x0F,hex_immediate,disassembly_local_window,mask/table/xdata selector,low_to_medium,static_code,pass2 constant extraction
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0xF0,hex_immediate,disassembly_local_window,mask/table/xdata selector,low_to_medium,static_code,pass2 constant extraction
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x597F,hex_immediate,disassembly_local_window,mask/table/xdata selector,low_to_medium,static_code,pass2 constant extraction
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x07,hex_immediate,disassembly_local_window,mask/table/xdata selector,low_to_medium,static_code,pass2 constant extraction
