branch,file,function_addr,xdata_addr,access_type,access_context,predecessor_function,successor_function,possible_role,confidence,evidence_level,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x31BF,read,near_function_window,0x5935,,state/context/packet/service,high,static_code,code_addr=0x5702
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x36FA,read,near_function_window,0x5935,,state/context/packet/service,high,static_code,code_addr=0x570B
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x36F4,read,near_function_window,0x5935,,state/context/packet/service,high,static_code,code_addr=0x5813
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x36F5,read,near_function_window,0x5935,,state/context/packet/service,high,static_code,code_addr=0x5825
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x36F8,read,near_function_window,0x5935,,state/context/packet/service,high,static_code,code_addr=0x5837
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x36F6,read,near_function_window,0x5935,,state/context/packet/service,high,static_code,code_addr=0x5849
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x36F7,read,near_function_window,0x5935,,state/context/packet/service,high,static_code,code_addr=0x585B
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x36F2,read,near_function_window,0x5935,,state/context/packet/service,high,static_code,code_addr=0x586D
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x36F3,read,near_function_window,0x5935,,state/context/packet/service,high,static_code,code_addr=0x587F
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x3010,read,near_function_window,0x5935,,state/context/packet/service,high,static_code,code_addr=0x58F4
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x36D3,read,near_function_window,0x5935,,state/context/packet/service,high,static_code,code_addr=0x5901
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x3048,write,near_function_window,0x5935,,state/context/packet/service,high,static_code,code_addr=0x591A
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x304A,write,near_function_window,0x5935,,state/context/packet/service,high,static_code,code_addr=0x592A
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x36D3,read,near_function_window,0x5935,,state/context/packet/service,high,static_code,code_addr=0x59A7
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x317F,read,near_function_window,0x5935,,state/context/packet/service,high,static_code,code_addr=0x59C3
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,0x30A5,read,near_function_window,0x5935,,state/context/packet/service,high,static_code,code_addr=0x59E7
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,0x31BA,read,near_function_window,0x54C1,,state/context/packet/service,high,static_code,code_addr=0x76A5
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,0x31BB,read,near_function_window,0x54C1,,state/context/packet/service,high,static_code,code_addr=0x76AD
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,0x36F2,read,near_function_window,0x54C1,,state/context/packet/service,high,static_code,code_addr=0x76B8
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,0x36F3,read,near_function_window,0x54C1,,state/context/packet/service,high,static_code,code_addr=0x76CB
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,0x31BC,write,near_function_window,0x54C1,,state/context/packet/service,high,static_code,code_addr=0x76DB
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,0x0001,read,near_function_window,0x54C1,,state/context/packet/service,high,static_code,code_addr=0x76DF
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,0x31BD,write,near_function_window,0x54C1,,state/context/packet/service,high,static_code,code_addr=0x76E3
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,0x31BC,read,near_function_window,0x54C1,,state/context/packet/service,high,static_code,code_addr=0x76E8
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,0x31BD,read,near_function_window,0x54C1,,state/context/packet/service,high,static_code,code_addr=0x76F0
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,0x36F3,read,near_function_window,0x54C1,,state/context/packet/service,high,static_code,code_addr=0x76FB
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,0x319A,read,near_function_window,0x54C1,,state/context/packet/service,high,static_code,code_addr=0x770C
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,0x36F5,read,near_function_window,0x54C1,,state/context/packet/service,high,static_code,code_addr=0x771D
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,0x0001,read,near_function_window,0x54C1,,state/context/packet/service,high,static_code,code_addr=0x775E
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,0x319A,read,near_function_window,0x54C1,,state/context/packet/service,high,static_code,code_addr=0x77B4
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,0x0008,read,near_function_window,0x54C1,,state/context/packet/service,high,static_code,code_addr=0x7807
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,0x31A8,read,near_function_window,0x54C1,,state/context/packet/service,high,static_code,code_addr=0x78BE
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x0035,read,near_function_window,,,state/context/packet/service,high,static_code,code_addr=0x492E
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x0035,read,near_function_window,,,state/context/packet/service,high,static_code,code_addr=0x4954
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x0035,read,near_function_window,,,state/context/packet/service,high,static_code,code_addr=0x497A
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x31BF,read,state_compare,,0x497A,state_check,hypothesis,static_code,xdata=0x31BF
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x0001,read,near_function_window,0x8625,0x5AA3,state/context/packet/service,high,static_code,code_addr=0x7119
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x0001,read,near_function_window,0x8625,0x5AA3,state/context/packet/service,high,static_code,code_addr=0x7125
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x301A,read,near_function_window,0x8625,0x5AA3,state/context/packet/service,high,static_code,code_addr=0x7175
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x30A1,read,near_function_window,0x8625,0x5AA3,state/context/packet/service,high,static_code,code_addr=0x718A
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x30E7,read,near_function_window,0x8625,0x5AA3,state/context/packet/service,high,static_code,code_addr=0x71CF
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x30A2,write,near_function_window,0x8625,0x5AA3,state/context/packet/service,high,static_code,code_addr=0x71D9
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x30A4,read,near_function_window,0x8625,0x5AA3,state/context/packet/service,high,static_code,code_addr=0x7282
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x30A2,read,near_function_window,0x8625,0x5AA3,state/context/packet/service,high,static_code,code_addr=0x728A
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x30E7,read,near_function_window,0x8625,0x5AA3,state/context/packet/service,high,static_code,code_addr=0x728F
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x30E8,write,near_function_window,0x8625,0x5AA3,state/context/packet/service,high,static_code,code_addr=0x72B1
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x30E5,write,near_function_window,0x8625,0x5AA3,state/context/packet/service,high,static_code,code_addr=0x72B6
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x30E9,write,near_function_window,0x8625,0x5AA3,state/context/packet/service,high,static_code,code_addr=0x72BD
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x30E7,read,near_function_window,0x8625,0x5AA3,state/context/packet/service,high,static_code,code_addr=0x72D7
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x30E7,read,near_function_window,0x8625,0x5AA3,state/context/packet/service,high,static_code,code_addr=0x730E
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x30E9,write,near_function_window,0x8625,0x5AA3,state/context/packet/service,high,static_code,code_addr=0x733E
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x30E7,read,near_function_window,0x8625,0x5AA3,state/context/packet/service,high,static_code,code_addr=0x7358
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x31BF,read,state_compare,,0x737C,state_check,hypothesis,static_code,xdata=0x31BF
90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,0x360C,read,near_function_window,0x7105,0x862D,state/context/packet/service,high,static_code,code_addr=0x822F
90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,0x360B,read,near_function_window,0x7105,0x862D,state/context/packet/service,high,static_code,code_addr=0x8235
90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,0x360B,read,near_function_window,0x7105,0x862D,state/context/packet/service,high,static_code,code_addr=0x8249
90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,0x360C,read,near_function_window,0x7105,0x862D,state/context/packet/service,high,static_code,code_addr=0x8252
90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,0x360B,read,near_function_window,0x7105,0x862D,state/context/packet/service,high,static_code,code_addr=0x825A
90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,0x0010,read,near_function_window,0x7105,0x862D,state/context/packet/service,high,static_code,code_addr=0x82DE
90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,0x36D3,read,near_function_window,0x7105,0x862D,state/context/packet/service,high,static_code,code_addr=0x82F4
90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,0x0011,read,near_function_window,0x7105,0x862D,state/context/packet/service,high,static_code,code_addr=0x82FC
90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,0x0013,read,near_function_window,0x7105,0x862D,state/context/packet/service,high,static_code,code_addr=0x8302
