branch,file,function_addr,xdata_addr,access_type,access_context,predecessor_function,successor_function,possible_role,confidence,evidence_level,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,0x36D3,read,near_function_window,0x55AD,,packet/status/service context,low_to_medium,static_code,code_addr=0x59A7
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,0x317F,read,near_function_window,0x55AD,,packet/status/service context,low_to_medium,static_code,code_addr=0x59C3
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,0x30A5,read,near_function_window,0x55AD,,packet/status/service context,low_to_medium,static_code,code_addr=0x59E7
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,0x3208,read,near_function_window,0x55AD,,packet/status/service context,low_to_medium,static_code,code_addr=0x59ED
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,0x36F2,read,near_function_window,0x55AD,,packet/status/service context,low_to_medium,static_code,code_addr=0x59FE
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,0x36D3,read,near_function_window,0x55AD,,packet/status/service context,low_to_medium,static_code,code_addr=0x5A11
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,0x30EB,read,near_function_window,0x55AD,,packet/status/service context,low_to_medium,static_code,code_addr=0x5A9F
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,0x36D6,read,near_function_window,0x55AD,,packet/status/service context,low_to_medium,static_code,code_addr=0x5AC4
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,0x30E3,read,near_function_window,0x55AD,,packet/status/service context,low_to_medium,static_code,code_addr=0x5ACD
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,0x30EB,read,near_function_window,0x55AD,,packet/status/service context,low_to_medium,static_code,code_addr=0x5AE3
RTOS_service,ppkp2001 90cye01.PZU,0x920C,0x78E7,read,near_function_window,0x471D,,packet/status/service context,low_to_medium,static_code,code_addr=0x90E5
RTOS_service,ppkp2001 90cye01.PZU,0x920C,0x7626,read,near_function_window,0x471D,,packet/status/service context,low_to_medium,static_code,code_addr=0x9179
RTOS_service,ppkp2001 90cye01.PZU,0x920C,0x7626,write,near_function_window,0x471D,,packet/status/service context,low_to_medium,static_code,code_addr=0x919E
RTOS_service,ppkp2001 90cye01.PZU,0x920C,0x7626,read,near_function_window,0x471D,,packet/status/service context,low_to_medium,static_code,code_addr=0x91A7
RTOS_service,ppkp2001 90cye01.PZU,0x920C,0x7626,read,near_function_window,0x471D,,packet/status/service context,low_to_medium,static_code,code_addr=0x91B4
RTOS_service,ppkp2001 90cye01.PZU,0x920C,0x7639,read,near_function_window,0x471D,,packet/status/service context,low_to_medium,static_code,code_addr=0x923C
RTOS_service,ppkp2001 90cye01.PZU,0x920C,0x75A9,read,near_function_window,0x471D,,packet/status/service context,low_to_medium,static_code,code_addr=0x9245
RTOS_service,ppkp2001 90cye01.PZU,0x920C,0x7640,write,near_function_window,0x471D,,packet/status/service context,low_to_medium,static_code,code_addr=0x9249
RTOS_service,ppkp2001 90cye01.PZU,0x920C,0x7638,read,near_function_window,0x471D,,packet/status/service context,low_to_medium,static_code,code_addr=0x924D
RTOS_service,ppkp2001 90cye01.PZU,0x920C,0x75A9,write,near_function_window,0x471D,,packet/status/service context,low_to_medium,static_code,code_addr=0x9251
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x7108,read,near_function_window,0x7876,,packet/status/service context,low_to_medium,static_code,code_addr=0x66F4
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x3617,write,near_function_window,0x7876,,packet/status/service context,low_to_medium,static_code,code_addr=0x672C
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x3616,write,near_function_window,0x7876,,packet/status/service context,low_to_medium,static_code,code_addr=0x6732
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x36FB,read,near_function_window,0x7876,,packet/status/service context,low_to_medium,static_code,code_addr=0x675C
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x36ED,read,near_function_window,0x7876,,packet/status/service context,low_to_medium,static_code,code_addr=0x6761
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x3612,write,near_function_window,0x7876,,packet/status/service context,low_to_medium,static_code,code_addr=0x6777
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x30EE,read,near_function_window,0x7876,,packet/status/service context,low_to_medium,static_code,code_addr=0x677E
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x30A6,read,near_function_window,0x7876,,packet/status/service context,low_to_medium,static_code,code_addr=0x67AE
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x315B,read,near_function_window,0x7876,,packet/status/service context,low_to_medium,static_code,code_addr=0x67BE
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,0x3121,read,near_function_window,0x7876,,packet/status/service context,low_to_medium,static_code,code_addr=0x67F3
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x673C,0x4344,read,near_function_window,0x6667,,packet/status/service context,low_to_medium,static_code,code_addr=0x6601
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x673C,0x4343,read,near_function_window,0x6667,,packet/status/service context,low_to_medium,static_code,code_addr=0x660B
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x673C,0x4346,read,near_function_window,0x6667,,packet/status/service context,low_to_medium,static_code,code_addr=0x6613
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x673C,0x4347,read,near_function_window,0x6667,,packet/status/service context,low_to_medium,static_code,code_addr=0x661D
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x673C,0x4348,read,near_function_window,0x6667,,packet/status/service context,low_to_medium,static_code,code_addr=0x6627
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x673C,0x4575,read,near_function_window,0x6667,,packet/status/service context,low_to_medium,static_code,code_addr=0x666F
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x673C,0x317B,read,near_function_window,0x6667,,packet/status/service context,low_to_medium,static_code,code_addr=0x6688
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x673C,0x3103,read,near_function_window,0x6667,,packet/status/service context,low_to_medium,static_code,code_addr=0x66BC
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x673C,0x30A5,write,near_function_window,0x6667,,packet/status/service context,low_to_medium,static_code,code_addr=0x66C7
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x673C,0x317B,read,near_function_window,0x6667,,packet/status/service context,low_to_medium,static_code,code_addr=0x66CE
90CYE_DKS,90CYE03_19_DKS.PZU,0x7DC2,0x3125,read,near_function_window,,,packet/status/service context,low_to_medium,static_code,code_addr=0x7C8F
90CYE_DKS,90CYE03_19_DKS.PZU,0x7DC2,0x3125,read,near_function_window,,,packet/status/service context,low_to_medium,static_code,code_addr=0x7CA4
90CYE_DKS,90CYE03_19_DKS.PZU,0x7DC2,0x315A,read,near_function_window,,,packet/status/service context,low_to_medium,static_code,code_addr=0x7CF7
90CYE_DKS,90CYE03_19_DKS.PZU,0x7DC2,0x370A,write,near_function_window,,,packet/status/service context,low_to_medium,static_code,code_addr=0x7CFB
90CYE_DKS,90CYE03_19_DKS.PZU,0x7DC2,0x0001,read,near_function_window,,,packet/status/service context,low_to_medium,static_code,code_addr=0x7D51
90CYE_DKS,90CYE03_19_DKS.PZU,0x7DC2,0x0001,read,near_function_window,,,packet/status/service context,low_to_medium,static_code,code_addr=0x7D91
90CYE_DKS,90CYE03_19_DKS.PZU,0x7DC2,0x0001,read,near_function_window,,,packet/status/service context,low_to_medium,static_code,code_addr=0x7DDA
90CYE_DKS,90CYE03_19_DKS.PZU,0x7DC2,0x3127,read,near_function_window,,,packet/status/service context,low_to_medium,static_code,code_addr=0x7E15
90CYE_DKS,90CYE03_19_DKS.PZU,0x7DC2,0x3125,read,near_function_window,,,packet/status/service context,low_to_medium,static_code,code_addr=0x7E23
90CYE_DKS,90CYE03_19_DKS.PZU,0x7DC2,0x36D3,read,near_function_window,,,packet/status/service context,low_to_medium,static_code,code_addr=0x7E3B
