branch,file,function_addr,candidate_role,score,confidence,evidence_level,callers,callees,xdata_refs,string_refs,constants,related_project_unknowns,notes
A03_A04,A03_26.PZU,0x4100,packet_export_bridge,2.0,hypothesis,cross_family_pattern,,,bb_parent_hits=12,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,,PU-001|PU-002|PU-004,A03/A04 bridge analog imported for cross-check only; no direct RS-485 semantic transfer.
A03_A04,A03_26.PZU,0x4176,packet_export_bridge,2.0,hypothesis,cross_family_pattern,,,bb_parent_hits=7,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,,PU-001|PU-002|PU-004,A03/A04 bridge analog imported for cross-check only; no direct RS-485 semantic transfer.
A03_A04,A03_26.PZU,0x41D0,packet_export_bridge,1.0,hypothesis,cross_family_pattern,,0x41E8,bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,,PU-001|PU-002|PU-004,A03/A04 bridge analog imported for cross-check only; no direct RS-485 semantic transfer.
A03_A04,A03_26.PZU,0x41E8,packet_export_bridge,1.0,hypothesis,cross_family_pattern,0x41D0,,call_xref_lcalls=1; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,,PU-001|PU-002|PU-004,A03/A04 bridge analog imported for cross-check only; no direct RS-485 semantic transfer.
A03_A04,A03_26.PZU,0x492E,packet_export_bridge,1.0,hypothesis,cross_family_pattern,,,bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,,PU-001|PU-002|PU-004,A03/A04 bridge analog imported for cross-check only; no direct RS-485 semantic transfer.
A03_A04,A03_26.PZU,0x4954,packet_export_bridge,1.0,hypothesis,cross_family_pattern,,,bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,,PU-001|PU-002|PU-004,A03/A04 bridge analog imported for cross-check only; no direct RS-485 semantic transfer.
A03_A04,A03_26.PZU,0x497A,packet_export_bridge,3.0,hypothesis,cross_family_pattern,,,bb_parent_hits=65,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,,PU-001|PU-002|PU-004,A03/A04 bridge analog imported for cross-check only; no direct RS-485 semantic transfer.
A03_A04,A03_26.PZU,0x67C3,packet_export_bridge,1.0,hypothesis,cross_family_pattern,0x6425|0x645E,,call_xref_lcalls=2; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,,PU-001|PU-002|PU-004,A03/A04 bridge analog imported for cross-check only; no direct RS-485 semantic transfer.
A03_A04,A03_26.PZU,0x67CA,packet_export_bridge,1.0,hypothesis,cross_family_pattern,0x7962,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,,PU-001|PU-002|PU-004,A03/A04 bridge analog imported for cross-check only; no direct RS-485 semantic transfer.
A03_A04,A03_26.PZU,0x67D9,packet_export_bridge,1.0,hypothesis,cross_family_pattern,0x726D|0x795C,,call_xref_lcalls=2; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,,PU-001|PU-002|PU-004,A03/A04 bridge analog imported for cross-check only; no direct RS-485 semantic transfer.
