file,chain_order,function_addr,code_addr,block_addr,mnemonic,operands,target_addr,fallthrough_addr,event_type,xdata_addr,xdata_access_type,call_type,call_target,rtos_marker,notes
ppkp2001 90cye01.PZU,1,0x4358,0x4358,0x4358,UNK,,,0x435A,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x435A,0x4358,UNK,,,0x435C,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x435C,0x4358,MOV,"DPTR,#0x0001",,0x435F,instruction,0x0001,read,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x435C,0x4358,MOV,"DPTR,#0x0001",,0x435F,xdata_read,0x0001,read,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x435F,0x4358,MOVX,"A,@DPTR",,0x4360,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4360,0x4358,UNK,,,0x4362,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4362,0x4358,UNK,,,0x4364,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4364,0x4358,RET,,,,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4365,0x4365,UNK,,,0x4366,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4366,0x4365,MOV,"DPTR,#0x759D",,0x4369,instruction,0x759D,write,,,service_flags_0x759C_0x75AE,
ppkp2001 90cye01.PZU,1,0x4358,0x4366,0x4365,MOV,"DPTR,#0x759D",,0x4369,rtos_marker,0x759D,write,,,service_flags_0x759C_0x75AE,
ppkp2001 90cye01.PZU,1,0x4358,0x4366,0x4365,MOV,"DPTR,#0x759D",,0x4369,xdata_write,0x759D,write,,,service_flags_0x759C_0x75AE,
ppkp2001 90cye01.PZU,1,0x4358,0x4369,0x4365,MOVX,"@DPTR,A",,0x436A,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x436A,0x4365,MOV,"DPTR,#0x6408",,0x436D,instruction,0x6408,write,,,rtos_core_0x6406_0x6422,
ppkp2001 90cye01.PZU,1,0x4358,0x436A,0x4365,MOV,"DPTR,#0x6408",,0x436D,rtos_marker,0x6408,write,,,rtos_core_0x6406_0x6422,
ppkp2001 90cye01.PZU,1,0x4358,0x436A,0x4365,MOV,"DPTR,#0x6408",,0x436D,xdata_write,0x6408,write,,,rtos_core_0x6406_0x6422,
ppkp2001 90cye01.PZU,1,0x4358,0x436D,0x4365,MOVX,"@DPTR,A",,0x436E,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x436E,0x4365,MOV,"DPTR,#0x78E4",,0x4371,instruction,0x78E4,write,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x436E,0x4365,MOV,"DPTR,#0x78E4",,0x4371,xdata_write,0x78E4,write,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4371,0x4365,MOVX,"@DPTR,A",,0x4372,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4372,0x4365,MOV,"R7,#0x02",,0x4374,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4374,0x4365,LCALL,0x920C,0x920C,0x4377,call,,,LCALL,0x920C,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4374,0x4365,LCALL,0x920C,0x920C,0x4377,instruction,,,LCALL,0x920C,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4377,0x4365,LCALL,0x916D,0x916D,0x437A,call,,,LCALL,0x916D,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4377,0x4365,LCALL,0x916D,0x916D,0x437A,instruction,,,LCALL,0x916D,none,
ppkp2001 90cye01.PZU,1,0x4358,0x437A,0x4365,MOV,"A,#0xFF",,0x437C,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x437C,0x4365,MOV,"DPTR,#0x646E",,0x437F,instruction,0x646E,write,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x437C,0x4365,MOV,"DPTR,#0x646E",,0x437F,xdata_write,0x646E,write,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x437F,0x4365,MOVX,"@DPTR,A",,0x4380,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4380,0x4365,MOV,"R7,#0x01",,0x4382,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4382,0x4382,LCALL,0x9275,0x9275,0x4385,call,,,LCALL,0x9275,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4382,0x4382,LCALL,0x9275,0x9275,0x4385,instruction,,,LCALL,0x9275,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4385,0x4382,INC,R7,,0x4386,arithmetic,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4385,0x4382,INC,R7,,0x4386,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4386,0x4382,CJNE,"R7,#0x81,-7",0x4382,0x4389,conditional_branch,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4386,0x4382,CJNE,"R7,#0x81,-7",0x4382,0x4389,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4389,0x4389,MOV,"R7,#0x80",,0x438B,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x438B,0x4389,MOV,"DPTR,#0x67EA",,0x438E,instruction,0x67EA,read,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x438B,0x4389,MOV,"DPTR,#0x67EA",,0x438E,xdata_read,0x67EA,read,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x438E,0x438E,MOVX,"A,@DPTR",,0x438F,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x438F,0x438E,ANL,"A,#0x0C",,0x4391,arithmetic,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x438F,0x438E,ANL,"A,#0x0C",,0x4391,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4391,0x438E,MOVX,"@DPTR,A",,0x4392,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4392,0x438E,INC,DPTR,,0x4393,arithmetic,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4392,0x438E,INC,DPTR,,0x4393,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4393,0x438E,MOVX,"A,@DPTR",,0x4394,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4394,0x438E,ANL,"A,#0x0C",,0x4396,arithmetic,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4394,0x438E,ANL,"A,#0x0C",,0x4396,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4396,0x438E,MOVX,"@DPTR,A",,0x4397,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4397,0x438E,MOV,"A,#0x0F",,0x4399,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4399,0x438E,LCALL,0x8F8C,0x8F8C,0x439C,call,,,LCALL,0x8F8C,none,
ppkp2001 90cye01.PZU,1,0x4358,0x4399,0x438E,LCALL,0x8F8C,0x8F8C,0x439C,instruction,,,LCALL,0x8F8C,none,
ppkp2001 90cye01.PZU,1,0x4358,0x439C,0x438E,DJNZ,"R7,-16",0x438E,0x439E,conditional_branch,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x439C,0x438E,DJNZ,"R7,-16",0x438E,0x439E,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x439E,0x439E,MOV,"DPTR,#0x785F",,0x43A1,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43A1,0x439E,MOV,"A,#0x44",,0x43A3,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43A3,0x439E,MOV,"R7,#0x80",,0x43A5,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43A5,0x439E,MOV,"R6,#0x02",,0x43A7,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43A7,0x43A7,MOV,"R7,#0x80",,0x43A9,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43A9,0x43A9,MOVX,"@DPTR,A",,0x43AA,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43AA,0x43A9,INC,DPTR,,0x43AB,arithmetic,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43AA,0x43A9,INC,DPTR,,0x43AB,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43AB,0x43A9,DJNZ,"R7,-4",0x43A9,0x43AD,conditional_branch,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43AB,0x43A9,DJNZ,"R7,-4",0x43A9,0x43AD,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43AD,0x43AD,DJNZ,"R6,-8",0x43A7,0x43AF,conditional_branch,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43AD,0x43AD,DJNZ,"R6,-8",0x43A7,0x43AF,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43AF,0x43AF,MOV,"DPTR,#0x6FE8",,0x43B2,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43B2,0x43AF,MOV,"R7,#0x20",,0x43B4,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43B4,0x43B4,MOV,"A,#0x10",,0x43B6,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43B6,0x43B4,MOVX,"@DPTR,A",,0x43B7,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43B7,0x43B4,INC,DPTR,,0x43B8,arithmetic,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43B7,0x43B4,INC,DPTR,,0x43B8,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43B8,0x43B4,MOVX,"@DPTR,A",,0x43B9,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43B9,0x43B4,INC,DPTR,,0x43BA,arithmetic,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43B9,0x43B4,INC,DPTR,,0x43BA,instruction,,,,,none,
ppkp2001 90cye01.PZU,1,0x4358,0x43BA,0x43B4,MOVX,"@DPTR,A",,0x43BB,instruction,,,,,none,
