branch,file,function_addr,role_candidate,confidence,evidence_level,xdata_refs,callers,callees,string_refs,relation_to_mds_mash,notes
RTOS_service,ppkp2001 90cye01.PZU,0x4358,dispatcher_or_router,probable,manual_static,reads=3;writes=8,0x4641|0x6BA4|0xAB1C,,0x4FF1:PECTAPT|0xA026:PECTAPT|0xA31B:6500-1|0xA322:6500-2|0x5053:PECTAPT|0xA6F1:PECTAPT|0xA9E6:6500-1|0xA9ED:6500-2,shared_service_dispatch,Family-specific role; DKS used only as structural comparison
RTOS_service,ppkp2001 90cye01.PZU,0x464B,dispatcher_or_router,probable,manual_static,reads=4;writes=5,0x4633,,0x4FF1:PECTAPT|0xA026:PECTAPT|0xA31B:6500-1|0xA322:6500-2|0x5053:PECTAPT|0xA6F1:PECTAPT|0xA9E6:6500-1|0xA9ED:6500-2,shared_service_dispatch,Family-specific role; DKS used only as structural comparison
RTOS_service,ppkp2001 90cye01.PZU,0x53E6,dispatcher_or_router,probable,callgraph_match,reads=144;writes=36,0x4513|0x9255,,0x4FF1:PECTAPT|0xA026:PECTAPT|0xA31B:6500-1|0xA322:6500-2|0x5053:PECTAPT|0xA6F1:PECTAPT|0xA9E6:6500-1|0xA9ED:6500-2,mds/mash_candidate,Family-specific role; DKS used only as structural comparison
RTOS_service,ppkp2001 90cye01.PZU,0x758B,dispatcher_or_router,probable,callgraph_match,reads=66;writes=2,0xABF5,,0x4FF1:PECTAPT|0xA026:PECTAPT|0xA31B:6500-1|0xA322:6500-2|0x5053:PECTAPT|0xA6F1:PECTAPT|0xA9E6:6500-1|0xA9ED:6500-2,shared_service_dispatch,Family-specific role; DKS used only as structural comparison
RTOS_service,ppkp2001 90cye01.PZU,0xAB62,dispatcher_or_router,probable,callgraph_match,reads=11;writes=2,0xABC9,,0x4FF1:PECTAPT|0xA026:PECTAPT|0xA31B:6500-1|0xA322:6500-2|0x5053:PECTAPT|0xA6F1:PECTAPT|0xA9E6:6500-1|0xA9ED:6500-2,mds/mash_candidate,Family-specific role; DKS used only as structural comparison
RTOS_service,ppkp2012 a01.PZU,0x4358,dispatcher_or_router,hypothesis,manual_static,reads=3;writes=8,0x464E|0x6C28|0xB5AE,,0x4FF1:PECTAPT|0xA026:PECTAPT|0xA31B:6500-1|0xA322:6500-2|0x5053:PECTAPT|0xA6F1:PECTAPT|0xA9E6:6500-1|0xA9ED:6500-2,shared_service_dispatch,Family-specific role; DKS used only as structural comparison
RTOS_service,ppkp2012 a01.PZU,0x4658,dispatcher_or_router,hypothesis,manual_static,reads=3;writes=7,0x4640,,0x4FF1:PECTAPT|0xA026:PECTAPT|0xA31B:6500-1|0xA322:6500-2|0x5053:PECTAPT|0xA6F1:PECTAPT|0xA9E6:6500-1|0xA9ED:6500-2,shared_service_dispatch,Family-specific role; DKS used only as structural comparison
RTOS_service,ppkp2012 a01.PZU,0x5436,dispatcher_or_router,hypothesis,manual_static,reads=144;writes=39,0x4520|0x9969,,0x4FF1:PECTAPT|0xA026:PECTAPT|0xA31B:6500-1|0xA322:6500-2|0x5053:PECTAPT|0xA6F1:PECTAPT|0xA9E6:6500-1|0xA9ED:6500-2,shared_service_dispatch,Family-specific role; DKS used only as structural comparison
RTOS_service,ppkp2012 a01.PZU,0x84FA,state_reader_or_packet_builder,hypothesis,manual_static,reads=49;writes=1,0xB68F|0xB698|0xB6A1|0xB6AA|0xB6BB|0xB6C4|0xB6CD|0xB6D6,,0x4FF1:PECTAPT|0xA026:PECTAPT|0xA31B:6500-1|0xA322:6500-2|0x5053:PECTAPT|0xA6F1:PECTAPT|0xA9E6:6500-1|0xA9ED:6500-2,shared_service_dispatch,Family-specific role; DKS used only as structural comparison
RTOS_service,ppkp2019 a02.PZU,0x439D,dispatcher_or_router,hypothesis,manual_static,reads=2;writes=14,0x473A|0x6948|0x6AD0|0x6C1C|0x6C29|0xA757|0xAF95,,0x4FF1:PECTAPT|0xA026:PECTAPT|0xA31B:6500-1|0xA322:6500-2|0x5053:PECTAPT|0xA6F1:PECTAPT|0xA9E6:6500-1|0xA9ED:6500-2,shared_service_dispatch,Family-specific role; DKS used only as structural comparison
RTOS_service,ppkp2019 a02.PZU,0x4744,dispatcher_or_router,hypothesis,manual_static,reads=3;writes=14,0x472C,,0x4FF1:PECTAPT|0xA026:PECTAPT|0xA31B:6500-1|0xA322:6500-2|0x5053:PECTAPT|0xA6F1:PECTAPT|0xA9E6:6500-1|0xA9ED:6500-2,shared_service_dispatch,Family-specific role; DKS used only as structural comparison
RTOS_service,ppkp2019 a02.PZU,0x57DB,dispatcher_or_router,hypothesis,manual_static,reads=119;writes=27,0x45C9|0x9540,,0x4FF1:PECTAPT|0xA026:PECTAPT|0xA31B:6500-1|0xA322:6500-2|0x5053:PECTAPT|0xA6F1:PECTAPT|0xA9E6:6500-1|0xA9ED:6500-2,shared_service_dispatch,Family-specific role; DKS used only as structural comparison
