file,valid_hex,checksum_status,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,cluster_hits,rtos_core_hits,service_flag_hits,secondary_flag_hits,arithmetic_hits,notes
ppkp2001 90cye01.PZU,true,ok,0x53E6,dispatcher_candidate,18,probable,dispatcher_or_router,17,16,2,13,144,36,1,0,146,17,120,0,8,
ppkp2001 90cye01.PZU,true,ok,0x4358,dispatcher_candidate,17,probable,dispatcher_or_router,23,22,3,13,3,8,0,0,4,1,2,0,7,
ppkp2001 90cye01.PZU,true,ok,0x464B,dispatcher_candidate,17,probable,dispatcher_or_router,27,26,1,11,4,5,0,0,2,1,1,0,14,
ppkp2001 90cye01.PZU,true,ok,0x44F1,dispatcher_candidate,14,probable,dispatcher_or_router,11,10,1,12,6,5,1,0,5,0,5,0,2,
ppkp2001 90cye01.PZU,true,ok,0x4F87,xdata_writer_candidate,14,probable,state_update_worker,4,3,1,7,33,3,0,0,24,4,15,0,0,
ppkp2001 90cye01.PZU,true,ok,0x758B,dispatcher_candidate,14,probable,dispatcher_or_router,341,340,1,127,66,2,1,0,20,19,0,0,32,
ppkp2001 90cye01.PZU,true,ok,0x7EDA,xdata_writer_candidate,14,probable,unknown,1,0,4,2,49,2,0,0,48,44,3,0,0,
ppkp2001 90cye01.PZU,true,ok,0x6BB7,dispatcher_candidate,13,probable,dispatcher_or_router,11,10,1,13,22,5,0,0,25,0,25,0,1,
ppkp2001 90cye01.PZU,true,ok,0x7C5D,dispatcher_candidate,13,probable,dispatcher_or_router,11,10,1,4,9,6,0,0,7,4,0,0,2,
ppkp2001 90cye01.PZU,true,ok,0xAB62,dispatcher_candidate,13,probable,dispatcher_or_router,41,40,1,39,11,2,0,0,7,3,0,0,4,
ppkp2001 90cye01.PZU,true,ok,0xA3FD,dispatcher_candidate,12,probable,dispatcher_or_router,154,153,1,70,5,0,1,0,1,1,0,0,48,
ppkp2001 90cye01.PZU,true,ok,0x920C,state_update_candidate,11,probable,state_update_worker,1,0,2,4,5,3,0,0,3,0,3,0,14,
ppkp2001 90cye01.PZU,true,ok,0x9407,state_update_candidate,11,probable,state_update_worker,12,11,1,2,36,7,0,0,27,0,23,0,2,
ppkp2001 90cye01.PZU,true,ok,0xA34D,table_string_candidate,11,probable,state_reader_or_packet_builder,10,9,1,1,6,0,0,0,1,1,0,0,6,
