file,valid_hex,chain_rank,caller_function,core_function,callee_function,caller_role,core_role,callee_role,caller_score,core_score,callee_score,chain_score,rtos_core_hits,service_flag_hits,secondary_flag_hits,confidence,notes
ppkp2001 90cye01.PZU,true,1,0x464B,0x920C,0x53E6,dispatcher_or_router,state_update_worker,dispatcher_or_router,17,11,18,46,18,124,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,2,0x4358,0x920C,0x53E6,dispatcher_or_router,state_update_worker,dispatcher_or_router,17,11,18,46,18,125,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,3,0xAB62,0x44F1,0x53E6,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,13,14,18,45,20,125,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,4,0x4358,0x6BA4,0x4358,dispatcher_or_router,unknown,dispatcher_or_router,17,10,17,44,2,5,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,5,0x464B,0x6BA4,0x4358,dispatcher_or_router,unknown,dispatcher_or_router,17,10,17,44,2,4,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,6,0x44F1,0x53E6,0x90C5,dispatcher_or_router,dispatcher_or_router,unknown,14,18,8,40,17,126,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,7,0x464B,0x4F87,0x4434,dispatcher_or_router,state_update_worker,unknown,17,14,9,40,15,16,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,8,0xAB62,0x44F1,0x6BB7,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,13,14,13,40,3,30,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,9,0xAB62,0xAB62,0x758B,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,13,13,14,40,25,0,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,10,0xAB62,0xAB62,0x44F1,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,13,13,14,40,6,5,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,11,0xAB62,0xAB62,0x7EDA,dispatcher_or_router,dispatcher_or_router,unknown,13,13,14,40,50,3,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,12,0xAB62,0x44F1,0xA3FD,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,13,14,12,39,4,5,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,13,0xAB62,0xAB62,0xAB62,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,13,13,13,39,9,0,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,14,0xAB62,0xAB62,0x7C5D,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,13,13,13,39,10,0,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,15,0x44F1,0x53E6,0x90E0,dispatcher_or_router,dispatcher_or_router,unknown,14,18,5,37,17,125,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,16,0x44F1,0x53E6,0x4A3B,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,14,18,5,37,17,125,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,17,0xAB62,0x758B,0x8FAF,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,13,14,10,37,22,4,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,18,0xAB62,0xAB62,0xA34D,dispatcher_or_router,dispatcher_or_router,state_reader_or_packet_builder,13,13,11,37,7,0,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,19,0xAB62,0xAB62,0x9407,dispatcher_or_router,dispatcher_or_router,state_update_worker,13,13,11,37,6,23,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,20,0xAB62,0x45FF,0x464B,dispatcher_or_router,state_reader_or_packet_builder,dispatcher_or_router,13,7,17,37,4,1,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,21,0x44F1,0xA3FD,0x8FAF,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,14,12,10,36,1,9,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,22,0x44F1,0x53E6,0x919E,dispatcher_or_router,dispatcher_or_router,unknown,14,18,3,35,17,125,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,23,0x44F1,0x53E6,0x4755,dispatcher_or_router,dispatcher_or_router,unknown,14,18,3,35,17,125,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,24,0x44F1,0x53E6,0x91EB,dispatcher_or_router,dispatcher_or_router,unknown,14,18,3,35,17,125,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,25,0x44F1,0x53E6,0x4781,dispatcher_or_router,dispatcher_or_router,unknown,14,18,3,35,17,125,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,26,0x464B,0x4F87,0x91A5,dispatcher_or_router,state_update_worker,unknown,17,14,4,35,5,16,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,27,0x464B,0x4F87,0x9179,dispatcher_or_router,state_update_worker,unknown,17,14,4,35,5,16,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,28,0xAB62,0x44F1,0x90C5,dispatcher_or_router,dispatcher_or_router,unknown,13,14,8,35,3,6,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,29,0xAB62,0x44F1,0x8F96,dispatcher_or_router,dispatcher_or_router,unknown,13,14,8,35,3,6,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,30,0xAB62,0xAB62,0x9B12,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,13,13,9,35,6,0,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,31,0xAB62,0x7EDA,0x7EA4,dispatcher_or_router,unknown,unknown,13,14,8,35,49,3,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,32,0x44F1,0x53E6,0x9134,dispatcher_or_router,dispatcher_or_router,unknown,14,18,2,34,17,125,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,33,0x44F1,0x53E6,0x9143,dispatcher_or_router,dispatcher_or_router,unknown,14,18,2,34,17,125,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,34,0x44F1,0x53E6,0x916D,dispatcher_or_router,dispatcher_or_router,unknown,14,18,2,34,17,125,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,35,0x44F1,0x53E6,0x49DF,dispatcher_or_router,dispatcher_or_router,unknown,14,18,2,34,17,125,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,36,0x920C,0x53E6,0x4A3B,state_update_worker,dispatcher_or_router,dispatcher_or_router,11,18,5,34,17,123,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,37,0x44F1,0x6BB7,0x8FA5,dispatcher_or_router,dispatcher_or_router,unknown,14,13,7,34,0,32,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,38,0x464B,0x4F87,0x919E,dispatcher_or_router,state_update_worker,unknown,17,14,3,34,5,16,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,39,0xAB62,0xAB62,0x4228,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,13,13,8,34,6,0,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,40,0xAB62,0xAB62,0x6699,dispatcher_or_router,dispatcher_or_router,dispatcher_or_router,13,13,8,34,6,0,0,probable,caller->core->callee static call chain candidate
ppkp2001 90cye01.PZU,true,41,0x464B,0x4F87,0x9143,dispatcher_or_router,state_update_worker,unknown,17,14,2,33,5,16,0,probable,caller->core->callee static call chain candidate
