file,function_addr,pseudocode_block,known_operations,unknown_operations,confidence,notes
ppkp2001 90cye01.PZU,0x4358,load_context -> branch_on_flags -> dispatch/update -> return,xdata_state_reads;conditional_dispatch;helper_calls,physical_meaning_of_flags;exact_module_side_effects,probable,manual-static skeleton only
ppkp2001 90cye01.PZU,0x464B,load_context -> branch_on_flags -> dispatch/update -> return,xdata_state_reads;conditional_dispatch;helper_calls,physical_meaning_of_flags;exact_module_side_effects,probable,manual-static skeleton only
ppkp2001 90cye01.PZU,0x53E6,load_context -> branch_on_flags -> dispatch/update -> return,xdata_state_reads;conditional_dispatch;helper_calls,physical_meaning_of_flags;exact_module_side_effects,probable,manual-static skeleton only
ppkp2001 90cye01.PZU,0x758B,load_context -> branch_on_flags -> dispatch/update -> return,xdata_state_reads;conditional_dispatch;helper_calls,physical_meaning_of_flags;exact_module_side_effects,probable,manual-static skeleton only
ppkp2001 90cye01.PZU,0xAB62,load_context -> branch_on_flags -> dispatch/update -> return,xdata_state_reads;conditional_dispatch;helper_calls,physical_meaning_of_flags;exact_module_side_effects,probable,manual-static skeleton only
ppkp2012 a01.PZU,0x4358,load_context -> branch_on_flags -> dispatch/update -> return,xdata_state_reads;conditional_dispatch;helper_calls,physical_meaning_of_flags;exact_module_side_effects,hypothesis,manual-static skeleton only
ppkp2012 a01.PZU,0x4658,load_context -> branch_on_flags -> dispatch/update -> return,xdata_state_reads;conditional_dispatch;helper_calls,physical_meaning_of_flags;exact_module_side_effects,hypothesis,manual-static skeleton only
ppkp2012 a01.PZU,0x5436,load_context -> branch_on_flags -> dispatch/update -> return,xdata_state_reads;conditional_dispatch;helper_calls,physical_meaning_of_flags;exact_module_side_effects,hypothesis,manual-static skeleton only
ppkp2012 a01.PZU,0x84FA,load_context -> branch_on_flags -> dispatch/update -> return,xdata_state_reads;conditional_dispatch;helper_calls,physical_meaning_of_flags;exact_module_side_effects,hypothesis,manual-static skeleton only
ppkp2019 a02.PZU,0x439D,load_context -> branch_on_flags -> dispatch/update -> return,xdata_state_reads;conditional_dispatch;helper_calls,physical_meaning_of_flags;exact_module_side_effects,hypothesis,manual-static skeleton only
ppkp2019 a02.PZU,0x4744,load_context -> branch_on_flags -> dispatch/update -> return,xdata_state_reads;conditional_dispatch;helper_calls,physical_meaning_of_flags;exact_module_side_effects,hypothesis,manual-static skeleton only
ppkp2019 a02.PZU,0x57DB,load_context -> branch_on_flags -> dispatch/update -> return,xdata_state_reads;conditional_dispatch;helper_calls,physical_meaning_of_flags;exact_module_side_effects,hypothesis,manual-static skeleton only
