xdata_addr,range_group,files,read_count,write_count,functions,role_candidate,confidence,notes
0x0001,other,ppkp2001 90cye01.PZU;ppkp2012 a01.PZU;ppkp2019 a02.PZU,21,0,ppkp2001 90cye01.PZU:0x4358;ppkp2001 90cye01.PZU:0x464B;ppkp2001 90cye01.PZU:0x6717;ppkp2001 90cye01.PZU:0x677E;ppkp2001 90cye01.PZU:0x67F4;ppkp2012 a01.PZU:0x4358;ppkp2012 a01.PZU:0x4658;ppkp2012 a01.PZU:0x67C4;ppkp2012 a01.PZU:0x683A;ppkp2019 a02.PZU:0x439D;ppkp2019 a02.PZU:0x4744;ppkp2019 a02.PZU:0x6788;ppkp2019 a02.PZU:0x67EE;ppkp2019 a02.PZU:0x6BA6;ppkp2019 a02.PZU:0x6C49,dispatcher_or_router,probable,xdata address aggregated across RTOS_service files
0x0010,other,ppkp2001 90cye01.PZU;ppkp2012 a01.PZU;ppkp2019 a02.PZU,3,0,ppkp2001 90cye01.PZU:0x45FF;ppkp2012 a01.PZU:0x460C;ppkp2019 a02.PZU:0x46F8,state_reader_or_packet_builder,hypothesis,xdata address aggregated across RTOS_service files
0x0011,other,ppkp2001 90cye01.PZU;ppkp2012 a01.PZU;ppkp2019 a02.PZU,3,0,ppkp2001 90cye01.PZU:0x45FF;ppkp2012 a01.PZU:0x460C;ppkp2019 a02.PZU:0x46F8,state_reader_or_packet_builder,hypothesis,xdata address aggregated across RTOS_service files
0x0013,other,ppkp2001 90cye01.PZU;ppkp2012 a01.PZU;ppkp2019 a02.PZU,3,0,ppkp2001 90cye01.PZU:0x45FF;ppkp2012 a01.PZU:0x460C;ppkp2019 a02.PZU:0x46F8,state_reader_or_packet_builder,hypothesis,xdata address aggregated across RTOS_service files
0x0030,other,ppkp2001 90cye01.PZU;ppkp2012 a01.PZU;ppkp2019 a02.PZU,9,0,ppkp2001 90cye01.PZU:0x4100;ppkp2001 90cye01.PZU:0x47AD;ppkp2001 90cye01.PZU:0x49A8;ppkp2012 a01.PZU:0x4100;ppkp2012 a01.PZU:0x47FE;ppkp2012 a01.PZU:0x4A0B;ppkp2019 a02.PZU:0x4100;ppkp2019 a02.PZU:0x491B;ppkp2019 a02.PZU:0x4C13,dispatcher_or_router,probable,xdata address aggregated across RTOS_service files
0x0035,other,ppkp2001 90cye01.PZU;ppkp2012 a01.PZU;ppkp2019 a02.PZU,15,0,ppkp2001 90cye01.PZU:0x4176;ppkp2001 90cye01.PZU:0x41D0;ppkp2001 90cye01.PZU:0xB395;ppkp2001 90cye01.PZU:0xB3BB;ppkp2001 90cye01.PZU:0xB3E1;ppkp2012 a01.PZU:0x4176;ppkp2012 a01.PZU:0x41D0;ppkp2012 a01.PZU:0xBE71;ppkp2012 a01.PZU:0xBE97;ppkp2012 a01.PZU:0xBEBD;ppkp2019 a02.PZU:0x4176;ppkp2019 a02.PZU:0x41D0;ppkp2019 a02.PZU:0xB7C5;ppkp2019 a02.PZU:0xB7EB;ppkp2019 a02.PZU:0xB811,unknown,probable,xdata address aggregated across RTOS_service files
0x08A3,other,ppkp2001 90cye01.PZU;ppkp2012 a01.PZU;ppkp2019 a02.PZU,3,0,ppkp2001 90cye01.PZU:0x7EDA;ppkp2012 a01.PZU:0x84FA;ppkp2019 a02.PZU:0x8247,state_reader_or_packet_builder,hypothesis,xdata address aggregated across RTOS_service files
0x0A76,other,ppkp2001 90cye01.PZU;ppkp2012 a01.PZU;ppkp2019 a02.PZU,3,0,ppkp2001 90cye01.PZU:0x9407;ppkp2012 a01.PZU:0x9B4F;ppkp2019 a02.PZU:0x9826,state_update_worker,hypothesis,xdata address aggregated across RTOS_service files
0x0C82,other,ppkp2001 90cye01.PZU;ppkp2012 a01.PZU;ppkp2019 a02.PZU,3,0,ppkp2001 90cye01.PZU:0x9407;ppkp2012 a01.PZU:0x9B4F;ppkp2019 a02.PZU:0x9826,state_update_worker,hypothesis,xdata address aggregated across RTOS_service files
0x2F22,other,ppkp2001 90cye01.PZU;ppkp2012 a01.PZU;ppkp2019 a02.PZU,3,0,ppkp2001 90cye01.PZU:0x4176;ppkp2012 a01.PZU:0x4176;ppkp2019 a02.PZU:0x4176,state_reader_or_packet_builder,hypothesis,xdata address aggregated across RTOS_service files
