branch,file,edge_id,source_node,target_node,source_function,target_function,edge_type,score,confidence,evidence_sources,via_call,via_xdata,via_branch,missing_link,notes
90CYE_DKS,90CYE03_19_DKS.PZU,e01,n_497a,n_737c,0x497A,0x737C,sensor_to_zone,0.450,hypothesis,docs/auto_manual_gating_deep_trace_summary.csv;docs/call_xref.csv;docs/disassembly_index.csv;docs/extinguishing_output_gating_chains.csv,no,no,yes,yes,shared_xdata=none
90CYE_DKS,90CYE03_19_DKS.PZU,e02,n_737c,n_613c,0x737C,0x613C,zone_to_state,0.450,hypothesis,docs/auto_manual_gating_deep_trace_summary.csv;docs/call_xref.csv;docs/disassembly_index.csv;docs/extinguishing_output_gating_chains.csv,no,no,yes,yes,shared_xdata=none
90CYE_DKS,90CYE03_19_DKS.PZU,e03,n_613c,n_84a6,0x613C,0x84A6,state_to_mode_check,0.450,hypothesis,docs/auto_manual_gating_deep_trace_summary.csv;docs/call_xref.csv;docs/disassembly_index.csv;docs/extinguishing_output_gating_chains.csv,no,no,yes,yes,shared_xdata=none
90CYE_DKS,90CYE03_19_DKS.PZU,e04,n_84a6,n_728a,0x84A6,0x728A,state_to_mode_check,0.450,hypothesis,docs/auto_manual_gating_deep_trace_summary.csv;docs/call_xref.csv;docs/disassembly_index.csv;docs/extinguishing_output_gating_chains.csv,no,no,yes,yes,shared_xdata=none
90CYE_DKS,90CYE03_19_DKS.PZU,e05,n_728a,n_5a7f,0x728A,0x5A7F,mode_to_manual_event,0.450,hypothesis,docs/auto_manual_gating_deep_trace_summary.csv;docs/call_xref.csv;docs/disassembly_index.csv,no,no,yes,yes,shared_xdata=none
90CYE_DKS,90CYE03_19_DKS.PZU,e06,n_728a,n_6833,0x728A,0x6833,mode_to_auto_output,0.450,hypothesis,docs/auto_manual_gating_deep_trace_summary.csv;docs/call_xref.csv;docs/disassembly_index.csv,no,no,yes,yes,shared_xdata=none
90CYE_DKS,90CYE03_19_DKS.PZU,e07,n_6833,n_5a7f,0x6833,0x5A7F,output_to_packet,0.450,hypothesis,docs/auto_manual_gating_deep_trace_summary.csv;docs/call_xref.csv;docs/disassembly_index.csv,no,no,yes,yes,shared_xdata=none
90CYE_DKS,90CYE03_19_DKS.PZU,e08,n_84a6,n_5a7f,0x84A6,0x5A7F,event_to_packet,0.450,hypothesis,docs/auto_manual_gating_deep_trace_summary.csv;docs/call_xref.csv;docs/disassembly_index.csv;docs/extinguishing_output_gating_chains.csv,no,no,yes,yes,shared_xdata=none
90CYE_DKS,90CYE03_19_DKS.PZU,e09,n_613c,n_6833,0x613C,0x6833,state_to_output,0.450,hypothesis,docs/auto_manual_gating_deep_trace_summary.csv;docs/call_xref.csv;docs/disassembly_index.csv;docs/extinguishing_output_gating_chains.csv,no,no,yes,yes,shared_xdata=none
90CYE_DKS,90CYE03_19_DKS.PZU,e10,n_unknown_bridge,n_5a7f,0x84A6,0x5A7F,unknown_bridge,0.400,hypothesis,docs/auto_manual_gating_deep_trace_analysis.md,no,unknown,yes,yes,placeholder_for_not_yet_resolved_runtime_bridge
