branch,file,node_id,node_type,function_addr,proposed_role,score,confidence,evidence_sources,xdata_read_count,xdata_write_count,conditional_branch_count,bit_operation_count,movc_count,call_count,incoming_lcalls,likely_xdata_flags,notes
90CYE_DKS,90CYE03_19_DKS.PZU,n_497a,sensor_state_node,0x497A,sensor/zone state candidate,1.500,high,docs/auto_manual_gating_deep_trace_analysis.md;docs/auto_manual_gating_deep_trace_summary.csv;docs/basic_block_map.csv;docs/extinguishing_output_gating_chains.csv;docs/function_map.csv;docs/mash_handler_deep_trace_analysis.md;docs/module_logic_overview.md;docs/output_control_candidates.csv;docs/sensor_state_candidates.csv;docs/state_mode_logic_analysis.md;docs/zone_logic_candidates.csv;docs/zone_output_deep_trace_analysis.md;docs/zone_output_deep_trace_summary.csv;docs/zone_output_logic_analysis.md;docs/zone_state_mode_candidates.csv,0,0,0,0,0,76,0,,chain_has_missing_links;milestone_focus_function
90CYE_DKS,90CYE03_19_DKS.PZU,n_5a7f,packet_export_node,0x5A7F,packet/export candidate,1.500,hypothesis,docs/auto_manual_gating_deep_trace_analysis.md;docs/auto_manual_gating_deep_trace_summary.csv;docs/basic_block_map.csv;docs/call_xref.csv;docs/disassembly_index.csv;docs/function_map.csv;docs/module_logic_overview.md;docs/state_mode_logic_analysis.md;docs/zone_output_deep_trace_analysis.md,0,0,0,0,0,0,95,,milestone_focus_function
90CYE_DKS,90CYE03_19_DKS.PZU,n_613c,zone_state_node,0x613C,zone state / feedback candidate,1.500,high,docs/auto_manual_gating_deep_trace_analysis.md;docs/auto_manual_gating_deep_trace_summary.csv;docs/basic_block_map.csv;docs/call_xref.csv;docs/disassembly_index.csv;docs/extinguishing_output_gating_chains.csv;docs/function_map.csv;docs/module_logic_overview.md;docs/output_control_candidates.csv;docs/sensor_state_candidates.csv;docs/state_mode_logic_analysis.md;docs/zone_logic_candidates.csv;docs/zone_output_deep_trace_analysis.md;docs/zone_output_deep_trace_summary.csv;docs/zone_output_logic_analysis.md;docs/zone_state_mode_candidates.csv,0,0,0,0,3,0,1,,chain_has_missing_links;milestone_focus_function
90CYE_DKS,90CYE03_19_DKS.PZU,n_6833,output_control_node,0x6833,output / relay / extinguishing start candidate,1.500,medium,docs/auto_manual_gating_deep_trace_analysis.md;docs/auto_manual_gating_deep_trace_summary.csv;docs/basic_block_map.csv;docs/call_xref.csv;docs/disassembly_index.csv;docs/function_map.csv;docs/module_logic_overview.md;docs/output_control_candidates.csv;docs/sensor_state_candidates.csv;docs/state_mode_logic_analysis.md;docs/zone_output_deep_trace_analysis.md;docs/zone_output_deep_trace_summary.csv;docs/zone_output_logic_analysis.md;docs/zone_state_mode_candidates.csv,0,0,0,0,0,6,1,,milestone_focus_function
90CYE_DKS,90CYE03_19_DKS.PZU,n_728a,manual_auto_mode_check_node,0x728A,auto/manual mode-check candidate,1.500,medium,docs/auto_manual_gating_deep_trace_analysis.md;docs/auto_manual_gating_deep_trace_summary.csv;docs/basic_block_map.csv;docs/call_xref.csv;docs/disassembly_index.csv;docs/function_map.csv;docs/mash_handler_deep_trace_analysis.md;docs/module_logic_overview.md;docs/output_control_candidates.csv;docs/state_mode_logic_analysis.md;docs/zone_logic_candidates.csv;docs/zone_output_deep_trace_analysis.md;docs/zone_output_logic_analysis.md,0,0,0,0,0,26,1,,milestone_focus_function
90CYE_DKS,90CYE03_19_DKS.PZU,n_737c,zone_table_node,0x737C,zone table / zone logic candidate,1.500,high,docs/auto_manual_gating_deep_trace_analysis.md;docs/auto_manual_gating_deep_trace_summary.csv;docs/basic_block_map.csv;docs/call_xref.csv;docs/disassembly_index.csv;docs/extinguishing_output_gating_chains.csv;docs/function_map.csv;docs/mash_handler_deep_trace_analysis.md;docs/module_logic_overview.md;docs/output_control_candidates.csv;docs/sensor_state_candidates.csv;docs/state_mode_logic_analysis.md;docs/zone_logic_candidates.csv;docs/zone_output_deep_trace_analysis.md;docs/zone_output_deep_trace_summary.csv;docs/zone_output_logic_analysis.md;docs/zone_state_mode_candidates.csv,0,0,0,0,1,20,1,,chain_has_missing_links;milestone_focus_function
90CYE_DKS,90CYE03_19_DKS.PZU,n_84a6,event_queue_node,0x84A6,mode/event bridge candidate,1.500,high,docs/auto_manual_gating_deep_trace_analysis.md;docs/auto_manual_gating_deep_trace_summary.csv;docs/basic_block_map.csv;docs/call_xref.csv;docs/disassembly_index.csv;docs/extinguishing_output_gating_chains.csv;docs/function_map.csv;docs/mash_handler_deep_trace_analysis.md;docs/module_logic_overview.md;docs/output_control_candidates.csv;docs/state_mode_logic_analysis.md;docs/zone_logic_candidates.csv;docs/zone_output_deep_trace_analysis.md;docs/zone_output_logic_analysis.md,0,0,0,0,0,24,2,,chain_has_missing_links;milestone_focus_function
90CYE_DKS,90CYE03_19_DKS.PZU,n_auto_output_start,auto_output_start_node,0x6833,auto-like output start path bridge,0.700,medium,docs/basic_block_map.csv;docs/function_map.csv,0,0,0,0,0,6,1,,structural_runtime_graph_support_node
90CYE_DKS,90CYE03_19_DKS.PZU,n_manual_event_packet,manual_event_packet_node,0x84A6,manual-like event->packet path bridge,0.920,medium,docs/basic_block_map.csv;docs/function_map.csv,0,0,0,0,0,24,2,,structural_runtime_graph_support_node
90CYE_DKS,90CYE03_19_DKS.PZU,n_sensor_to_zone_mapping,sensor_to_zone_mapping_node,0x497A,sensor-to-zone mapping bridge candidate,1.500,hypothesis,docs/basic_block_map.csv;docs/function_map.csv,0,0,0,0,0,76,0,,structural_runtime_graph_support_node
90CYE_DKS,90CYE03_19_DKS.PZU,n_unknown_bridge,unknown_bridge_node,0x84A6,unknown intermediate branch node,0.920,medium,docs/basic_block_map.csv;docs/function_map.csv,0,0,0,0,0,24,2,,structural_runtime_graph_support_node
90CYE_DKS,90CYE03_19_DKS.PZU,n_zone_logic,zone_logic_node,0x737C,zone logic branch node candidate,1.030,medium,docs/basic_block_map.csv;docs/function_map.csv,0,0,0,0,1,20,1,,structural_runtime_graph_support_node
