branch,file,function_addr,code_addr,state_candidate,score,confidence,mnemonic,operands,xdata_addr,xdata_access_type,constant_hits,bit_operation_hits,conditional_branch_hits,string_marker_hits,related_calls,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x497E,unknown_sensor_state,4.000,hypothesis,ANL,"A,#0x0F",,,1,1,0,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x4984,unknown_sensor_state,4.000,hypothesis,ANL,"A,#0x0F",,,1,1,0,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x498A,unknown_sensor_state,3.000,hypothesis,JC,+2,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x498C,unknown_sensor_state,3.000,hypothesis,CLR,0x04,,,0,1,0,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54BC,unknown_sensor_state,3.000,hypothesis,CLR,0xAF,,,0,1,0,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54CA,unknown_sensor_state,3.000,hypothesis,SETB,0xAF,,,0,1,0,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54D6,unknown_sensor_state,3.000,hypothesis,JNB,"0xE7,+10",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54E3,unknown_sensor_state,3.000,hypothesis,SETB,0xE7,,,0,1,0,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54E6,unknown_sensor_state,3.000,hypothesis,JB,"0xE0,+74",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54F9,unknown_sensor_state,4.000,hypothesis,CJNE,"A,#0x35,-8",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
