branch,file,state_scope,state_name,candidate_value,candidate_bit,xdata_addr,function_addr,branch_evidence,downstream_path,confidence,notes
90CYE_DKS,90CYE03_19_DKS.PZU,sensor,unknown_sensor_state,-,-,0x30EA..0x30F9,0x497A,"ANL A,#0x0F",0x497A->0x737C->0x613C->0x84A6->0x728A,hypothesis,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,sensor,unknown_sensor_state,-,-,0x30EA..0x30F9,0x497A,JC +2,0x497A->0x737C->0x613C->0x84A6->0x728A,hypothesis,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,sensor,unknown_sensor_state,-,-,0x30EA..0x30F9,0x497A,CLR 0x04,0x497A->0x737C->0x613C->0x84A6->0x728A,hypothesis,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,sensor,unknown_sensor_state,-,-,0x30EA..0x30F9,0x497A,CLR 0xAF,0x497A->0x737C->0x613C->0x84A6->0x728A,hypothesis,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,sensor,unknown_sensor_state,-,-,0x30EA..0x30F9,0x497A,SETB 0xAF,0x497A->0x737C->0x613C->0x84A6->0x728A,hypothesis,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,sensor,unknown_sensor_state,-,-,0x30EA..0x30F9,0x497A,"JNB 0xE7,+10",0x497A->0x737C->0x613C->0x84A6->0x728A,hypothesis,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,sensor,unknown_sensor_state,-,-,0x30EA..0x30F9,0x497A,SETB 0xE7,0x497A->0x737C->0x613C->0x84A6->0x728A,hypothesis,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,sensor,unknown_sensor_state,-,-,0x30EA..0x30F9,0x497A,"JB 0xE0,+74",0x497A->0x737C->0x613C->0x84A6->0x728A,hypothesis,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,sensor,unknown_sensor_state,-,-,0x30EA..0x30F9,0x497A,"CJNE A,#0x35,-8",0x497A->0x737C->0x613C->0x84A6->0x728A,hypothesis,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,sensor,unknown_sensor_state,-,-,0x30EA..0x30F9,0x497A,"CJNE A,#0xFF,-13",0x497A->0x737C->0x613C->0x84A6->0x728A,hypothesis,focused 90CYE_DKS trace
