branch,file,function_addr,enum_domain,enum_value_hex,enum_value_dec,enum_label,hits,confidence,evidence
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,sensor_state,0x01,1,sensor_fire_primary,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,sensor_state,0x02,2,sensor_fire_secondary,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,sensor_state,0x05,5,sensor_disabled,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,sensor_state,0x08,8,sensor_not_detected,13,probable,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,sensor_state,0x0F,15,sensor_low_nibble_mask,2,low,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,sensor_state,0x31,49,sensor_state_table_idx_31,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,sensor_state,0x35,53,sensor_state_table_idx_35,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,sensor_state,0x7E,126,sensor_address_conflict,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,sensor_state,0xFF,255,sensor_absent_or_invalid,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,zone_state,0x01,1,zone_attention,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,zone_state,0x02,2,zone_fire,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,zone_state,0x05,5,zone_disabled,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,zone_state,0x08,8,zone_unknown_08,13,low,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,zone_state,0x0F,15,zone_state_low_nibble_mask,2,low,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,zone_state,0x31,49,zone_unknown_0x31,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,zone_state,0x35,53,zone_unknown_0x35,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,zone_state,0x7E,126,zone_unknown_0x7E,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,zone_state,0xFF,255,zone_unknown_0xFF,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,sensor_state,0x01,1,sensor_fire_primary,4,probable,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,sensor_state,0x03,3,sensor_attention_prealarm,3,probable,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,sensor_state,0x04,4,sensor_fault,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,sensor_state,0x05,5,sensor_disabled,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,sensor_state,0x07,7,sensor_service_mode,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,sensor_state,0x08,8,sensor_not_detected,2,low,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,sensor_state,0x0F,15,sensor_low_nibble_mask,2,low,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,sensor_state,0x10,16,sensor_unknown_0x10,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,zone_state,0x01,1,zone_attention,4,probable,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,zone_state,0x03,3,zone_alarm_or_fault,3,probable,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,zone_state,0x04,4,zone_ack_or_latched,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,zone_state,0x05,5,zone_disabled,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,zone_state,0x07,7,zone_service,1,hypothesis,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,zone_state,0x08,8,zone_unknown_08,2,low,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,zone_state,0x0F,15,zone_state_low_nibble_mask,2,low,immediate constants in candidate instructions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,zone_state,0x10,16,zone_unknown_0x10,1,hypothesis,immediate constants in candidate instructions
