file,branch,address,raw_hex,ascii_text,cp1251_candidate,notes
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5010,39 30 43 59 45 30 32 5F 32 37 20 20 20 20 20 20 20 20 20 20 20 20 20 20,90CYE02_27              ,,ascii_only
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5329,48 45 48 4F 50 4D 41,HEHOPMA,,ascii_only
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5338,2E 43 4F 43 54 2E,.COCT.,,ascii_only
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x53A7,50 45 43 54 41 50 54,PECTAPT,,ascii_only
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x53E7,43 54 41 48 4F 42 4B 41,CTAHOBKA,,ascii_only
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x557B,50 41 42 48 4F 43 54 62,PABHOCTb,,ascii_only
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x55B7,50 41 42 48 4F 43 54 62,PABHOCTb,,ascii_only
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x58DD,4B 41 20 45 45 50 52 4F 4D,KA EEPROM,,ascii_only
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5AEB,43 20 50 41 43 58 2E,C PACX.,,ascii_only
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5B56,5B 44 5B 4A 48 45 54,[D[JHET,,ascii_only
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5BBF,48 45 54 20 4F 43 48 2E,HET OCH.,,ascii_only
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5C2C,43 54 41 48 4F 42 4B 41,CTAHOBKA,,ascii_only
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5C46,5C 25 5C 2B 5C 35 41 42,\%\+\5AB,,ascii_only
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x732A,72 F5 72 FD 73,r.r.s,rхrэs,cp1251_like
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x73F0,74 22 74 24 74 28 74 2E 74 2C 74 2C 74 2C 74 2C 74 2C 74 2C 74 2C 74 2C 74 28 74 2C 74 2E 74 2C 74 30 74 2C 74 2E 74 2E 74 30 74 30 74 30 74 30 74 30 FE,"t""t$t(t.t,t,t,t,t,t,t,t,t(t,t.t,t0t,t.t.t0t0t0t0t0.","t""t$t(t.t,t,t,t,t,t,t,t,t(t,t.t,t0t,t.t.t0t0t0t0t0ю",cp1251_like
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x8696,22 21 21 21 21 43 43,"""!!!!CC",,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x5010,39 30 43 59 45 30 33 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20,90CYE03                 ,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x60EF,48 45 48 4F 50 4D 41,HEHOPMA,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x6143,50 45 43 54 41 50 54,PECTAPT,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x6180,43 54 41 48 4F 42 4B 41,CTAHOBKA,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x632F,2E 43 4F 43 54 2E,.COCT.,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x63F4,50 41 42 48 4F 43 54 62,PABHOCTb,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x6435,50 41 42 48 4F 43 54 62,PABHOCTb,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x655D,65 27 65 2A 65 2D 65 30 65 33 65 36 20,e'e*e-e0e3e6 ,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x66E0,4B 41 20 45 45 50 52 4F 4D,KA EEPROM,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x6763,50 45 50 42 41 48,PEPBAH,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x67D6,48 45 54 20 4F 43 48 2E,HET OCH.,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x684F,43 54 41 48 4F 42 4B 41,CTAHOBKA,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x69B7,48 45 48 4F 50 4D 41,HEHOPMA,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x69F9,2E 43 4F 43 54 2E,.COCT.,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x6A38,4B 41 20 45 45 50 52 4F 4D,KA EEPROM,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x6A5E,48 45 54 20 4F 43 48 2E,HET OCH.,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x6A92,43 54 41 48 4F 42 4B 41,CTAHOBKA,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x6AE5,50 45 43 54 41 50 54,PECTAPT,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x6C66,20 28 43 45 4B 29, (CEK),,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x6CDF,43 54 2E 50 41 43 58 2E,CT.PACX.,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x6CFB,4F 4F 43 20 20 20 20 20 20 20,OOC       ,,ascii_only
90CYE03_19_2 v2_1.PZU,90CYE_v2_1,0x6E6E,6D 22 6D 29 6D 36 6D 43 6D 4C 6D 55 20,"m""m)m6mCmLmU ",,ascii_only
90CYE03_19_DKS.PZU,90CYE_DKS,0x528B,50 41 42 48 4F 43 54 62,PABHOCTb,,ascii_only
90CYE03_19_DKS.PZU,90CYE_DKS,0x5294,48 45 48 4F 50 4D 41,HEHOPMA,,ascii_only
90CYE03_19_DKS.PZU,90CYE_DKS,0x52A3,2E 43 4F 43 54 2E,.COCT.,,ascii_only
90CYE03_19_DKS.PZU,90CYE_DKS,0x52AE,48 45 54 20 4F 43 48 2E,HET OCH.,,ascii_only
90CYE03_19_DKS.PZU,90CYE_DKS,0x5309,4B 41 20 45 45 50 52 4F 4D,KA EEPROM,,ascii_only
90CYE03_19_DKS.PZU,90CYE_DKS,0x5396,50 45 43 54 41 50 54,PECTAPT,,ascii_only
90CYE03_19_DKS.PZU,90CYE_DKS,0x5423,43 54 41 42 4B 41 20 41 43,CTABKA AC,,ascii_only
90CYE03_19_DKS.PZU,90CYE_DKS,0x5439,43 54 41 48 4F 42 4B 41,CTAHOBKA,,ascii_only
90CYE03_19_DKS.PZU,90CYE_DKS,0x68C2,61 3C 22 3C 31 3E,"a<""<1>",,ascii_only
90CYE03_19_DKS.PZU,90CYE_DKS,0x68FD,3C 46 55 4E 43 3E,<FUNC>,,ascii_only
90CYE03_19_DKS.PZU,90CYE_DKS,0x6904,3C 45 4E 54 45 52 3E,<ENTER>,,ascii_only
90CYE03_19_DKS.PZU,90CYE_DKS,0x690C,3C 41 43 54 49 56 3E,<ACTIV>,,ascii_only
90CYE03_19_DKS.PZU,90CYE_DKS,0x6914,3C 44 49 53 41 42 4C 45 3E,<DISABLE>,,ascii_only
90CYE03_19_DKS.PZU,90CYE_DKS,0x691E,3C 53 49 4C 45 4E 43 45 3E,<SILENCE>,,ascii_only
90CYE03_19_DKS.PZU,90CYE_DKS,0x6928,3C 52 45 53 45 54 3E,<RESET>,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x5010,39 30 43 59 45 30 34 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20,90CYE04                 ,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x60EF,48 45 48 4F 50 4D 41,HEHOPMA,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x6143,50 45 43 54 41 50 54,PECTAPT,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x6180,43 54 41 48 4F 42 4B 41,CTAHOBKA,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x632F,2E 43 4F 43 54 2E,.COCT.,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x63F4,50 41 42 48 4F 43 54 62,PABHOCTb,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x6435,50 41 42 48 4F 43 54 62,PABHOCTb,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x655D,65 27 65 2A 65 2D 65 30 65 33 65 36 20,e'e*e-e0e3e6 ,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x66E0,4B 41 20 45 45 50 52 4F 4D,KA EEPROM,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x6763,50 45 50 42 41 48,PEPBAH,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x67D6,48 45 54 20 4F 43 48 2E,HET OCH.,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x684F,43 54 41 48 4F 42 4B 41,CTAHOBKA,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x69B7,48 45 48 4F 50 4D 41,HEHOPMA,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x69F9,2E 43 4F 43 54 2E,.COCT.,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x6A38,4B 41 20 45 45 50 52 4F 4D,KA EEPROM,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x6A5E,48 45 54 20 4F 43 48 2E,HET OCH.,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x6A92,43 54 41 48 4F 42 4B 41,CTAHOBKA,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x6AE5,50 45 43 54 41 50 54,PECTAPT,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x6C66,20 28 43 45 4B 29, (CEK),,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x6CDF,43 54 2E 50 41 43 58 2E,CT.PACX.,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x6CFB,4F 4F 43 20 20 20 20 20 20 20,OOC       ,,ascii_only
90CYE04_19_2 v2_1.PZU,90CYE_v2_1,0x6E6E,6D 22 6D 29 6D 36 6D 43 6D 4C 6D 55 20,"m""m)m6mCmLmU ",,ascii_only
