file,valid_hex,vector_4000,vector_4006,vector_400C,vector_4012,vector_4018,vector_401E,branch_hint
90CYE02_27 DKS.PZU,True,0x4100,0x4176,0x41D0,0x4933,0x4959,0x497F,90CYE_shifted_DKS
90CYE03_19_2 v2_1.PZU,True,0x4100,0x4176,0x41D0,0x4933,0x4959,0x497F,90CYE_v2_1
90CYE03_19_DKS.PZU,True,0x4100,0x4176,0x41D0,0x492E,0x4954,0x497A,90CYE_DKS
90CYE04_19_2 v2_1.PZU,True,0x4100,0x4176,0x41D0,0x4933,0x4959,0x497F,90CYE_v2_1
90CYE04_19_DKS.PZU,True,0x4100,0x4176,0x41D0,0x492E,0x4954,0x497A,90CYE_DKS
A03_26.PZU,True,0x4100,0x4176,0x41D0,0x492E,0x4954,0x497A,A03_A04
A04_28.PZU,True,0x4100,0x4176,0x41D0,0x492E,0x4954,0x497A,A03_A04
ppkp2001 90cye01.PZU,True,0x4100,0x4176,0x41D0,0xB395,0xB3BB,0xB3E1,RTOS_service
ppkp2012 a01.PZU,False,0x4100,0x4176,0x41D0,0xBE71,0xBE97,0xBEBD,RTOS_service
ppkp2019 a02.PZU,False,0x4100,0x4176,0x41D0,0xB7C5,0xB7EB,0xB811,RTOS_service
