branch,file,xdata_addr,function_addr,code_addr,block_addr,mnemonic,operands,access_type,nearby_constant,branch_type,target_addr,fallthrough_addr,downstream_function,downstream_role,path_class,confidence,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x31BF,0x497A,0x5702,0x56FC,MOV,"DPTR,#0x31BF",read,-,xdata_read,,0x5705,0x497A,state_check,state_compare,hypothesis,xdata=0x31BF
90CYE_DKS,90CYE03_19_DKS.PZU,0x31BF,0x737C,0x737C,0x737C,MOV,"DPTR,#0x31BF",read,-,xdata_read,,0x737F,0x737C,state_check,state_compare,hypothesis,xdata=0x31BF
90CYE_DKS,90CYE03_19_DKS.PZU,0x31BF,-,0x5702,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EB,-,0x5A9F,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EB,-,0x5AE3,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EA,-,0x5D2E,-,xdata_access,confirmed_xdata_write,write,-,-,-,-,-,xdata_reference,state_update,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EA,-,0x5D3F,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EA,-,0x5D4D,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EA,-,0x5DB8,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EE,-,0x5F35,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EE,-,0x5FD8,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EE,-,0x602C,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EE,-,0x603B,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EE,-,0x6050,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EE,-,0x6084,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EE,-,0x6097,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x315B,-,0x612B,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x315B,-,0x61C5,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EA,-,0x6321,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EA,-,0x6336,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EA,-,0x6349,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x315B,-,0x63E3,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EA,-,0x6475,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EA,-,0x6487,-,xdata_access,confirmed_xdata_write,write,-,-,-,-,-,xdata_reference,state_update,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x315B,-,0x64C0,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EA,-,0x64CF,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EA,-,0x64E4,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EA,-,0x6503,-,xdata_access,confirmed_xdata_write,write,-,-,-,-,-,xdata_reference,state_update,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EA,-,0x6526,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EB,-,0x65D9,-,xdata_access,confirmed_xdata_write,write,-,-,-,-,-,xdata_reference,state_update,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x315B,-,0x662A,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EB,-,0x6648,-,xdata_access,confirmed_xdata_write,write,-,-,-,-,-,xdata_reference,state_update,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EB,-,0x6686,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EB,-,0x6694,-,xdata_access,confirmed_xdata_write,write,-,-,-,-,-,xdata_reference,state_update,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EB,-,0x669F,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EE,-,0x677E,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x315B,-,0x67BE,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x315B,-,0x6985,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30F9,-,0x6A91,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30F9,-,0x6AB5,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30F9,-,0x6B13,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30F9,-,0x6B2B,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30F9,-,0x6B39,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30F9,-,0x6B70,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30F9,-,0x6BF0,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30F9,-,0x6C08,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30F9,-,0x6C19,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30F9,-,0x6C2F,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
90CYE_DKS,90CYE03_19_DKS.PZU,0x30F9,-,0x6C7F,-,xdata_access,confirmed_xdata_read,read,-,-,-,-,-,xdata_reference,state_compare,high,from xdata_confirmed_access
