branch,file,xdata_addr,range_group,read_functions,write_functions,branch_functions,export_functions,probable_role,confidence,evidence_sources,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EA..0x30F9,state_cluster,-,-,-,-,sensor_or_zone_state_cluster,hypothesis,xdata_confirmed_access.csv; xdata_state_mode_flag_map.csv,write-before-read order is static-only and partial
90CYE_DKS,90CYE04_19_DKS.PZU,0x30EA..0x30F9,state_cluster,-,-,-,-,sensor_or_zone_state_cluster,hypothesis,xdata_confirmed_access.csv; xdata_state_mode_flag_map.csv,write-before-read order is static-only and partial
90CYE_DKS,90CYE03_19_DKS.PZU,0x315B,mode_or_output_flags,-,-,-,-,-,hypothesis,xdata_confirmed_access.csv; xdata_state_mode_flag_map.csv,write-before-read order is static-only and partial
90CYE_DKS,90CYE04_19_DKS.PZU,0x315B,mode_or_output_flags,-,-,-,-,-,hypothesis,xdata_confirmed_access.csv; xdata_state_mode_flag_map.csv,write-before-read order is static-only and partial
90CYE_DKS,90CYE03_19_DKS.PZU,0x3165,mode_or_output_flags,-,-,-,-,-,hypothesis,xdata_confirmed_access.csv; xdata_state_mode_flag_map.csv,write-before-read order is static-only and partial
90CYE_DKS,90CYE04_19_DKS.PZU,0x3165,mode_or_output_flags,-,-,-,-,-,hypothesis,xdata_confirmed_access.csv; xdata_state_mode_flag_map.csv,write-before-read order is static-only and partial
90CYE_DKS,90CYE03_19_DKS.PZU,0x31BF,mode_or_output_flags,-,-,-,-,-,hypothesis,xdata_confirmed_access.csv; xdata_state_mode_flag_map.csv,write-before-read order is static-only and partial
90CYE_DKS,90CYE04_19_DKS.PZU,0x31BF,mode_or_output_flags,-,-,-,-,-,hypothesis,xdata_confirmed_access.csv; xdata_state_mode_flag_map.csv,write-before-read order is static-only and partial
90CYE_DKS,90CYE03_19_DKS.PZU,0x364B,mode_or_output_flags,-,-,-,-,-,hypothesis,xdata_confirmed_access.csv; xdata_state_mode_flag_map.csv,write-before-read order is static-only and partial
90CYE_DKS,90CYE04_19_DKS.PZU,0x364B,mode_or_output_flags,-,-,-,-,-,hypothesis,xdata_confirmed_access.csv; xdata_state_mode_flag_map.csv,write-before-read order is static-only and partial
