file,xdata_addr_hex,read_count,write_count,total_refs
90CYE02_27 DKS.PZU,0x0001,9,0,9
90CYE02_27 DKS.PZU,0x0010,1,0,1
90CYE02_27 DKS.PZU,0x0011,1,0,1
90CYE02_27 DKS.PZU,0x0013,1,0,1
90CYE02_27 DKS.PZU,0x0030,3,0,3
90CYE02_27 DKS.PZU,0x0035,5,0,5
90CYE02_27 DKS.PZU,0x0A76,1,0,1
90CYE02_27 DKS.PZU,0x0C82,1,0,1
90CYE02_27 DKS.PZU,0x2F22,1,0,1
90CYE02_27 DKS.PZU,0x2F23,1,0,1
90CYE02_27 DKS.PZU,0x2F24,1,0,1
90CYE02_27 DKS.PZU,0x2F25,1,0,1
90CYE02_27 DKS.PZU,0x3000,1,0,1
90CYE02_27 DKS.PZU,0x3010,1,1,2
90CYE02_27 DKS.PZU,0x3012,0,1,1
90CYE02_27 DKS.PZU,0x3013,0,1,1
90CYE02_27 DKS.PZU,0x301C,0,1,1
90CYE02_27 DKS.PZU,0x301D,0,1,1
90CYE02_27 DKS.PZU,0x301E,0,1,1
90CYE02_27 DKS.PZU,0x301F,0,1,1
90CYE02_27 DKS.PZU,0x3020,0,1,1
90CYE02_27 DKS.PZU,0x3021,0,1,1
90CYE02_27 DKS.PZU,0x3046,0,1,1
90CYE02_27 DKS.PZU,0x3047,0,1,1
90CYE02_27 DKS.PZU,0x3078,0,1,1
90CYE02_27 DKS.PZU,0x30A1,2,0,2
90CYE02_27 DKS.PZU,0x30A2,1,0,1
90CYE02_27 DKS.PZU,0x30A3,3,0,3
90CYE02_27 DKS.PZU,0x30A4,4,6,10
90CYE02_27 DKS.PZU,0x30A5,8,3,11
90CYE02_27 DKS.PZU,0x30AF,4,1,5
90CYE02_27 DKS.PZU,0x30B0,1,1,2
90CYE02_27 DKS.PZU,0x30B1,15,6,21
90CYE02_27 DKS.PZU,0x30B2,9,10,19
90CYE02_27 DKS.PZU,0x30B3,1,0,1
90CYE02_27 DKS.PZU,0x30B4,2,1,3
90CYE02_27 DKS.PZU,0x30B5,3,0,3
90CYE02_27 DKS.PZU,0x30C8,1,0,1
90CYE02_27 DKS.PZU,0x30CD,3,0,3
90CYE02_27 DKS.PZU,0x30CE,13,0,13
90CYE02_27 DKS.PZU,0x30CF,4,0,4
90CYE02_27 DKS.PZU,0x3102,2,0,2
90CYE02_27 DKS.PZU,0x3103,10,1,11
90CYE02_27 DKS.PZU,0x3104,5,1,6
90CYE02_27 DKS.PZU,0x3105,1,0,1
90CYE02_27 DKS.PZU,0x3108,1,0,1
90CYE02_27 DKS.PZU,0x311B,1,0,1
90CYE02_27 DKS.PZU,0x311C,1,0,1
90CYE02_27 DKS.PZU,0x311D,1,0,1
90CYE02_27 DKS.PZU,0x311E,1,0,1
90CYE02_27 DKS.PZU,0x311F,1,0,1
90CYE02_27 DKS.PZU,0x312C,4,1,5
90CYE02_27 DKS.PZU,0x312D,6,0,6
90CYE02_27 DKS.PZU,0x3158,2,0,2
90CYE02_27 DKS.PZU,0x317B,5,1,6
90CYE02_27 DKS.PZU,0x3184,6,0,6
90CYE02_27 DKS.PZU,0x3185,2,0,2
90CYE02_27 DKS.PZU,0x318C,1,0,1
90CYE02_27 DKS.PZU,0x318E,2,0,2
90CYE02_27 DKS.PZU,0x3193,0,1,1
90CYE02_27 DKS.PZU,0x3197,0,1,1
90CYE02_27 DKS.PZU,0x3199,0,1,1
90CYE02_27 DKS.PZU,0x319B,0,1,1
90CYE02_27 DKS.PZU,0x319F,0,1,1
90CYE02_27 DKS.PZU,0x31D1,2,2,4
90CYE02_27 DKS.PZU,0x31D2,2,0,2
90CYE02_27 DKS.PZU,0x31D9,1,1,2
90CYE02_27 DKS.PZU,0x31DA,1,1,2
90CYE02_27 DKS.PZU,0x31DB,1,1,2
90CYE02_27 DKS.PZU,0x31DC,1,1,2
90CYE02_27 DKS.PZU,0x321D,1,0,1
90CYE02_27 DKS.PZU,0x323F,1,0,1
90CYE02_27 DKS.PZU,0x3240,1,0,1
90CYE02_27 DKS.PZU,0x3282,1,0,1
90CYE02_27 DKS.PZU,0x32B2,2,0,2
90CYE02_27 DKS.PZU,0x32B3,2,0,2
90CYE02_27 DKS.PZU,0x4343,2,1,3
90CYE02_27 DKS.PZU,0x4344,1,0,1
90CYE02_27 DKS.PZU,0x4345,1,0,1
90CYE02_27 DKS.PZU,0x4346,1,0,1
90CYE02_27 DKS.PZU,0x4347,1,0,1
90CYE02_27 DKS.PZU,0x4348,1,0,1
90CYE02_27 DKS.PZU,0x439D,1,0,1
90CYE02_27 DKS.PZU,0x439E,1,0,1
90CYE02_27 DKS.PZU,0x43A1,1,1,2
90CYE02_27 DKS.PZU,0x43A3,1,0,1
90CYE02_27 DKS.PZU,0x43A5,3,4,7
90CYE02_27 DKS.PZU,0x43A6,3,3,6
90CYE02_27 DKS.PZU,0x43A7,2,1,3
90CYE02_27 DKS.PZU,0x43A9,4,1,5
90CYE02_27 DKS.PZU,0x43AA,6,1,7
90CYE02_27 DKS.PZU,0x43AB,0,1,1
90CYE02_27 DKS.PZU,0x43AC,4,4,8
90CYE02_27 DKS.PZU,0x4411,2,0,2
90CYE02_27 DKS.PZU,0x4442,1,0,1
90CYE02_27 DKS.PZU,0x4575,25,0,25
90CYE02_27 DKS.PZU,0x4576,6,0,6
90CYE02_27 DKS.PZU,0x4577,4,4,8
90CYE02_27 DKS.PZU,0x4578,5,2,7
90CYE02_27 DKS.PZU,0x4579,1,0,1
90CYE02_27 DKS.PZU,0x457A,4,0,4
90CYE02_27 DKS.PZU,0x457B,1,1,2
90CYE02_27 DKS.PZU,0x45A5,1,0,1
90CYE02_27 DKS.PZU,0x45A6,1,0,1
90CYE02_27 DKS.PZU,0x45A8,0,1,1
90CYE02_27 DKS.PZU,0x46E8,1,1,2
90CYE02_27 DKS.PZU,0x7200,1,0,1
90CYE02_27 DKS.PZU,0x720C,1,0,1
90CYE02_27 DKS.PZU,0x720D,1,0,1
90CYE02_27 DKS.PZU,0x8000,1,0,1
90CYE02_27 DKS.PZU,0xF801,1,0,1
90CYE03_19_2 v2_1.PZU,0x0001,10,0,10
90CYE03_19_2 v2_1.PZU,0x0010,1,0,1
90CYE03_19_2 v2_1.PZU,0x0011,1,0,1
90CYE03_19_2 v2_1.PZU,0x0013,1,0,1
90CYE03_19_2 v2_1.PZU,0x0030,3,0,3
90CYE03_19_2 v2_1.PZU,0x0035,5,0,5
90CYE03_19_2 v2_1.PZU,0x0A76,1,0,1
90CYE03_19_2 v2_1.PZU,0x0C82,1,0,1
90CYE03_19_2 v2_1.PZU,0x2F22,1,0,1
90CYE03_19_2 v2_1.PZU,0x2F23,1,0,1
90CYE03_19_2 v2_1.PZU,0x2F24,1,0,1
90CYE03_19_2 v2_1.PZU,0x2F25,1,0,1
90CYE03_19_2 v2_1.PZU,0x3000,1,0,1
90CYE03_19_2 v2_1.PZU,0x3010,1,1,2
90CYE03_19_2 v2_1.PZU,0x3012,0,1,1
90CYE03_19_2 v2_1.PZU,0x3013,4,1,5
90CYE03_19_2 v2_1.PZU,0x301D,0,1,1
90CYE03_19_2 v2_1.PZU,0x301F,0,1,1
90CYE03_19_2 v2_1.PZU,0x30B8,0,1,1
90CYE03_19_2 v2_1.PZU,0x3158,3,0,3
90CYE03_19_2 v2_1.PZU,0x3159,1,1,2
90CYE03_19_2 v2_1.PZU,0x315A,1,0,1
90CYE03_19_2 v2_1.PZU,0x315B,1,0,1
90CYE03_19_2 v2_1.PZU,0x315C,1,2,3
90CYE03_19_2 v2_1.PZU,0x315D,7,3,10
90CYE03_19_2 v2_1.PZU,0x315E,2,0,2
90CYE03_19_2 v2_1.PZU,0x3173,4,2,6
90CYE03_19_2 v2_1.PZU,0x3174,1,1,2
90CYE03_19_2 v2_1.PZU,0x3175,1,0,1
90CYE03_19_2 v2_1.PZU,0x3176,5,0,5
90CYE03_19_2 v2_1.PZU,0x3177,2,5,7
90CYE03_19_2 v2_1.PZU,0x3178,11,3,14
90CYE03_19_2 v2_1.PZU,0x3179,8,5,13
90CYE03_19_2 v2_1.PZU,0x317A,1,0,1
90CYE03_19_2 v2_1.PZU,0x317B,2,2,4
90CYE03_19_2 v2_1.PZU,0x317C,3,0,3
90CYE03_19_2 v2_1.PZU,0x317D,5,0,5
90CYE03_19_2 v2_1.PZU,0x318D,1,1,2
90CYE03_19_2 v2_1.PZU,0x318E,2,1,3
90CYE03_19_2 v2_1.PZU,0x318F,4,0,4
90CYE03_19_2 v2_1.PZU,0x3190,3,0,3
90CYE03_19_2 v2_1.PZU,0x3191,1,1,2
90CYE03_19_2 v2_1.PZU,0x3192,1,0,1
90CYE03_19_2 v2_1.PZU,0x3193,1,1,2
90CYE03_19_2 v2_1.PZU,0x3195,15,1,16
90CYE03_19_2 v2_1.PZU,0x3196,4,0,4
90CYE03_19_2 v2_1.PZU,0x319F,2,0,2
90CYE03_19_2 v2_1.PZU,0x31A0,0,1,1
90CYE03_19_2 v2_1.PZU,0x326A,1,0,1
90CYE03_19_2 v2_1.PZU,0x326F,3,0,3
90CYE03_19_2 v2_1.PZU,0x3270,13,0,13
90CYE03_19_2 v2_1.PZU,0x3271,4,0,4
90CYE03_19_2 v2_1.PZU,0x32A4,2,0,2
90CYE03_19_2 v2_1.PZU,0x32A5,10,1,11
90CYE03_19_2 v2_1.PZU,0x32A6,5,1,6
90CYE03_19_2 v2_1.PZU,0x32A7,1,0,1
90CYE03_19_2 v2_1.PZU,0x32AA,1,0,1
90CYE03_19_2 v2_1.PZU,0x32BD,2,0,2
90CYE03_19_2 v2_1.PZU,0x32BE,3,0,3
90CYE03_19_2 v2_1.PZU,0x32C4,2,0,2
90CYE03_19_2 v2_1.PZU,0x32D6,2,0,2
90CYE03_19_2 v2_1.PZU,0x32D7,27,2,29
90CYE03_19_2 v2_1.PZU,0x32D9,7,1,8
90CYE03_19_2 v2_1.PZU,0x32E2,1,0,1
90CYE03_19_2 v2_1.PZU,0x32E4,2,0,2
90CYE03_19_2 v2_1.PZU,0x32E5,4,1,5
90CYE03_19_2 v2_1.PZU,0x32E8,1,0,1
90CYE03_19_2 v2_1.PZU,0x32E9,0,1,1
90CYE03_19_2 v2_1.PZU,0x32ED,0,1,1
90CYE03_19_2 v2_1.PZU,0x3307,0,1,1
90CYE03_19_2 v2_1.PZU,0x3308,1,1,2
90CYE03_19_2 v2_1.PZU,0x330F,1,1,2
90CYE03_19_2 v2_1.PZU,0x3310,1,1,2
90CYE03_19_2 v2_1.PZU,0x3311,1,1,2
90CYE03_19_2 v2_1.PZU,0x3312,1,1,2
90CYE03_19_2 v2_1.PZU,0x3313,0,1,1
90CYE03_19_2 v2_1.PZU,0x3333,1,0,1
90CYE03_19_2 v2_1.PZU,0x336A,1,0,1
90CYE03_19_2 v2_1.PZU,0x3372,1,0,1
90CYE03_19_2 v2_1.PZU,0x337B,2,0,2
90CYE03_19_2 v2_1.PZU,0x337C,2,0,2
90CYE03_19_2 v2_1.PZU,0x4457,4,0,4
90CYE03_19_2 v2_1.PZU,0x445F,1,0,1
90CYE03_19_2 v2_1.PZU,0x4460,1,0,1
90CYE03_19_2 v2_1.PZU,0x4461,1,0,1
90CYE03_19_2 v2_1.PZU,0x4462,1,0,1
90CYE03_19_2 v2_1.PZU,0x4464,1,0,1
90CYE03_19_2 v2_1.PZU,0x4465,1,0,1
90CYE03_19_2 v2_1.PZU,0x4469,1,0,1
90CYE03_19_2 v2_1.PZU,0x446A,1,0,1
90CYE03_19_2 v2_1.PZU,0x447C,2,1,3
90CYE03_19_2 v2_1.PZU,0x447D,1,0,1
90CYE03_19_2 v2_1.PZU,0x447E,1,0,1
90CYE03_19_2 v2_1.PZU,0x447F,1,0,1
90CYE03_19_2 v2_1.PZU,0x4480,1,0,1
90CYE03_19_2 v2_1.PZU,0x4481,1,0,1
90CYE03_19_2 v2_1.PZU,0x4492,1,1,2
90CYE03_19_2 v2_1.PZU,0x4493,1,0,1
90CYE03_19_2 v2_1.PZU,0x4494,1,1,2
90CYE03_19_2 v2_1.PZU,0x4496,1,0,1
90CYE03_19_2 v2_1.PZU,0x4498,3,2,5
90CYE03_19_2 v2_1.PZU,0x4499,1,1,2
90CYE03_19_2 v2_1.PZU,0x449A,3,1,4
90CYE03_19_2 v2_1.PZU,0x449C,7,1,8
90CYE03_19_2 v2_1.PZU,0x449D,11,1,12
90CYE03_19_2 v2_1.PZU,0x449E,0,1,1
90CYE03_19_2 v2_1.PZU,0x44A3,1,0,1
90CYE03_19_2 v2_1.PZU,0x4504,2,0,2
90CYE03_19_2 v2_1.PZU,0x4535,1,0,1
90CYE03_19_2 v2_1.PZU,0x462D,28,0,28
90CYE03_19_2 v2_1.PZU,0x462E,1,1,2
90CYE03_19_2 v2_1.PZU,0x4641,8,1,9
90CYE03_19_2 v2_1.PZU,0x4648,1,0,1
90CYE03_19_2 v2_1.PZU,0x4649,1,0,1
90CYE03_19_2 v2_1.PZU,0x4742,1,0,1
90CYE03_19_2 v2_1.PZU,0x478C,1,1,2
90CYE03_19_2 v2_1.PZU,0x7400,1,0,1
90CYE03_19_2 v2_1.PZU,0x7401,1,0,1
90CYE03_19_2 v2_1.PZU,0x7406,1,0,1
90CYE03_19_2 v2_1.PZU,0x7407,1,0,1
90CYE03_19_2 v2_1.PZU,0x740A,1,0,1
90CYE03_19_2 v2_1.PZU,0x740C,10,0,10
90CYE03_19_2 v2_1.PZU,0x740D,1,0,1
90CYE03_19_2 v2_1.PZU,0x740E,2,0,2
90CYE03_19_2 v2_1.PZU,0x740F,10,0,10
90CYE03_19_2 v2_1.PZU,0x7FF0,4,0,4
90CYE03_19_2 v2_1.PZU,0x7FF2,4,3,7
90CYE03_19_2 v2_1.PZU,0x7FF4,5,0,5
90CYE03_19_2 v2_1.PZU,0x7FF6,5,2,7
90CYE03_19_2 v2_1.PZU,0x7FF8,1,0,1
90CYE03_19_2 v2_1.PZU,0x8000,1,0,1
90CYE03_19_2 v2_1.PZU,0xBFFD,1,0,1
90CYE03_19_2 v2_1.PZU,0xF801,1,0,1
90CYE03_19_DKS.PZU,0x0001,11,0,11
90CYE03_19_DKS.PZU,0x0008,1,0,1
90CYE03_19_DKS.PZU,0x0010,1,0,1
90CYE03_19_DKS.PZU,0x0011,1,0,1
90CYE03_19_DKS.PZU,0x0013,1,0,1
90CYE03_19_DKS.PZU,0x0030,3,0,3
90CYE03_19_DKS.PZU,0x0035,5,0,5
90CYE03_19_DKS.PZU,0x2F22,1,0,1
90CYE03_19_DKS.PZU,0x2F23,1,0,1
90CYE03_19_DKS.PZU,0x2F24,1,0,1
90CYE03_19_DKS.PZU,0x2F25,1,0,1
90CYE03_19_DKS.PZU,0x3000,1,0,1
90CYE03_19_DKS.PZU,0x3010,1,1,2
90CYE03_19_DKS.PZU,0x3011,0,1,1
90CYE03_19_DKS.PZU,0x3012,1,0,1
90CYE03_19_DKS.PZU,0x3013,0,1,1
90CYE03_19_DKS.PZU,0x3014,0,1,1
90CYE03_19_DKS.PZU,0x301A,1,1,2
90CYE03_19_DKS.PZU,0x301B,0,1,1
90CYE03_19_DKS.PZU,0x3048,0,1,1
90CYE03_19_DKS.PZU,0x304A,0,1,1
90CYE03_19_DKS.PZU,0x3078,0,1,1
90CYE03_19_DKS.PZU,0x30A0,1,2,3
90CYE03_19_DKS.PZU,0x30A1,3,0,3
90CYE03_19_DKS.PZU,0x30A2,1,1,2
90CYE03_19_DKS.PZU,0x30A3,1,0,1
90CYE03_19_DKS.PZU,0x30A4,2,0,2
90CYE03_19_DKS.PZU,0x30A5,1,0,1
90CYE03_19_DKS.PZU,0x30A6,1,2,3
90CYE03_19_DKS.PZU,0x30A7,6,3,9
90CYE03_19_DKS.PZU,0x30A9,2,0,2
90CYE03_19_DKS.PZU,0x30E0,1,0,1
90CYE03_19_DKS.PZU,0x30E1,1,0,1
90CYE03_19_DKS.PZU,0x30E2,0,2,2
90CYE03_19_DKS.PZU,0x30E3,4,1,5
90CYE03_19_DKS.PZU,0x30E4,1,1,2
90CYE03_19_DKS.PZU,0x30E5,3,1,4
90CYE03_19_DKS.PZU,0x30E6,0,1,1
90CYE03_19_DKS.PZU,0x30E7,5,0,5
90CYE03_19_DKS.PZU,0x30E8,0,1,1
90CYE03_19_DKS.PZU,0x30E9,2,2,4
90CYE03_19_DKS.PZU,0x30EA,11,3,14
90CYE03_19_DKS.PZU,0x30EB,5,5,10
90CYE03_19_DKS.PZU,0x30EC,1,0,1
90CYE03_19_DKS.PZU,0x30ED,2,1,3
90CYE03_19_DKS.PZU,0x30EE,9,0,9
90CYE03_19_DKS.PZU,0x30F1,1,1,2
90CYE03_19_DKS.PZU,0x30F2,2,1,3
90CYE03_19_DKS.PZU,0x30F3,4,0,4
90CYE03_19_DKS.PZU,0x30F4,3,0,3
90CYE03_19_DKS.PZU,0x30F5,1,1,2
90CYE03_19_DKS.PZU,0x30F6,1,0,1
90CYE03_19_DKS.PZU,0x30F7,1,1,2
90CYE03_19_DKS.PZU,0x30F9,12,0,12
90CYE03_19_DKS.PZU,0x30FA,4,0,4
90CYE03_19_DKS.PZU,0x30FB,3,1,4
90CYE03_19_DKS.PZU,0x30FD,2,0,2
90CYE03_19_DKS.PZU,0x30FE,0,1,1
90CYE03_19_DKS.PZU,0x3106,5,0,5
90CYE03_19_DKS.PZU,0x3121,2,1,3
90CYE03_19_DKS.PZU,0x3122,7,1,8
90CYE03_19_DKS.PZU,0x3125,14,0,14
90CYE03_19_DKS.PZU,0x3126,4,0,4
90CYE03_19_DKS.PZU,0x3127,1,0,1
90CYE03_19_DKS.PZU,0x315A,2,0,2
90CYE03_19_DKS.PZU,0x315B,8,1,9
90CYE03_19_DKS.PZU,0x315C,0,1,1
90CYE03_19_DKS.PZU,0x315D,3,1,4
90CYE03_19_DKS.PZU,0x315E,1,0,1
90CYE03_19_DKS.PZU,0x3161,1,0,1
90CYE03_19_DKS.PZU,0x316D,1,0,1
90CYE03_19_DKS.PZU,0x317F,2,1,3
90CYE03_19_DKS.PZU,0x3180,1,0,1
90CYE03_19_DKS.PZU,0x3181,2,0,2
90CYE03_19_DKS.PZU,0x3182,1,0,1
90CYE03_19_DKS.PZU,0x319A,2,0,2
90CYE03_19_DKS.PZU,0x319D,0,1,1
90CYE03_19_DKS.PZU,0x319E,4,1,5
90CYE03_19_DKS.PZU,0x319F,1,1,2
90CYE03_19_DKS.PZU,0x31A0,2,1,3
90CYE03_19_DKS.PZU,0x31A1,4,0,4
90CYE03_19_DKS.PZU,0x31A2,3,0,3
90CYE03_19_DKS.PZU,0x31A3,1,1,2
90CYE03_19_DKS.PZU,0x31A4,1,0,1
90CYE03_19_DKS.PZU,0x31A5,1,1,2
90CYE03_19_DKS.PZU,0x31A7,3,2,5
90CYE03_19_DKS.PZU,0x31A8,1,1,2
90CYE03_19_DKS.PZU,0x31A9,0,1,1
90CYE03_19_DKS.PZU,0x31B1,5,0,5
90CYE03_19_DKS.PZU,0x31BA,1,1,2
90CYE03_19_DKS.PZU,0x31BB,1,1,2
90CYE03_19_DKS.PZU,0x31BC,1,1,2
90CYE03_19_DKS.PZU,0x31BD,1,1,2
90CYE03_19_DKS.PZU,0x31BF,2,0,2
90CYE03_19_DKS.PZU,0x3205,1,0,1
90CYE03_19_DKS.PZU,0x3208,1,0,1
90CYE03_19_DKS.PZU,0x3600,2,1,3
90CYE03_19_DKS.PZU,0x3601,1,0,1
90CYE03_19_DKS.PZU,0x3602,1,0,1
90CYE03_19_DKS.PZU,0x3603,1,0,1
90CYE03_19_DKS.PZU,0x3604,1,0,1
90CYE03_19_DKS.PZU,0x3605,1,0,1
