file,branch,code_addr,dptr_addr,access_type,next_bytes,confidence
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4106,0x0030,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4176,0x0035,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x418A,0x2F25,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4191,0x2F24,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41BC,0x2F23,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41C5,0x2F22,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41D3,0x0035,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x41FE,0x0005,lcall,12 7BD2,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4206,0x4343,lcall,12 7C46,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x472F,0x2F22,lcall,12 476E,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x473E,0x2F22,lcall,12 476E,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4933,0x0035,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x4959,0x0035,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x497F,0x0035,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5CF6,0x457B,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5CFA,0x4575,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D23,0x4577,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D2A,0x4576,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D36,0x8000,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5D6B,0x4575,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5DF0,0x46E8,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5E02,0xF801,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5E0A,0x43A1,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5E1D,0x8A41,lcall,12 8A42,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5E64,0x31DD,lcall,12 6083,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5E87,0x31DD,lcall,12 6083,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5EA5,0x31DD,lcall,12 6070,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5F09,0x31DD,lcall,12 6083,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5F21,0x31DD,lcall,12 6083,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5F39,0x31DD,lcall,12 6070,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5F5B,0x31DD,lcall,12 607B,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5F8A,0x4575,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5F95,0x3048,lcall,12 7C28,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5F9F,0x304A,lcall,12 7C28,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5FBE,0x438D,lcall,12 7C59,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5FC5,0x3193,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5FC9,0x3197,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5FCE,0x319B,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5FD2,0x319F,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5FD6,0x7200,lcall,12 7C21,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5FDF,0x3010,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x5FF2,0x3199,write,F0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6010,0x724A,lcall,12 7551,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6021,0x323F,lcall,12 6083,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x602E,0x323F,lcall,12 6083,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x603D,0x872D,lcall,12 873C,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x610D,0x4575,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6129,0x317B,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6145,0x4575,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6167,0x32B2,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x616D,0x60FC,movc,93,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6173,0x4575,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x61C9,0x30B2,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x61F3,0x4578,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x61FC,0x30AF,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6212,0x30B2,read,E0,high
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6260,0x5AC5,lcall,12 6496,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x626C,0x5C58,ljmp,02 6496,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6288,0x5BAB,lcall,12 6496,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6297,0x5366,ljmp,02 655F,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x629E,0x5B63,lcall,12 6496,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x62AA,0x5B17,ljmp,02 6496,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x62B1,0x5B63,lcall,12 6496,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x62BD,0x5B56,ljmp,02 6496,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x62C3,0x30B2,read,E0,high
