branch,file,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,conditional_branch_count,bit_operation_count,arithmetic_hits,zone_marker_hits,possible_zone_table_hits,related_calls,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,sensor_to_zone_mapping_candidate,30.960,medium,dispatcher_or_router,91,90,0,76,23,24,0,.COCT.  ascii_only | CTABKA AC  ascii_only | CTAHOBKA  ascii_only | HEHOPMA  ascii_only | HET OCH.  ascii_only,42,8,72,1,12,0x5545|0x58B1|0x5935|0x594B|0x59A0|0x5A7F|0x5AA3|0x5D13|0x5D22|0x60E4,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x3048; xdata:0x304A; xdata:0x30E0; xdata:0x30E1; xdata:0x30E6
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,zone_table_candidate,24.460,medium,dispatcher_or_router,33,32,1,20,11,6,1,,15,1268,19,1,10,0x597F|0x5A7F|0x5AA3|0x73BA|0x74C0|0x848E|0x84A6,module:МАШ (address loop)/address-loop sub-dispatch + writes; xdata:0x3010; xdata:0x3011; xdata:0x3012; xdata:0x3013; xdata:0x3014; xdata:0x301A; xdata:0x301B
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,zone_table_candidate,14.400,medium,state_update_worker,3,2,1,0,39,16,3,,1,1,0,0,6,,module:МАС (analog)/measurement/state comparator; xdata:0x3078; xdata:0x30A6; xdata:0x30A7; xdata:0x30E4; xdata:0x30EA; xdata:0x30EB; xdata:0x30FB
90CYE_DKS,90CYE03_19_DKS.PZU,0x7BC2,sensor_to_zone_mapping_candidate,14.060,medium,dispatcher_or_router,34,33,1,14,15,2,0,,17,6,3,0,6,0x7C29|0x7C98|0x7C9E|0x7CAC|0x7CBC|0x7CD4|0x7CEC|0x7D00,xdata:0x3125; xdata:0x3126; xdata:0x315B; xdata:0x315C; xdata:0x3180; xdata:0x3707; xdata:0x3708
90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,sensor_to_zone_mapping_candidate,11.620,medium,dispatcher_or_router,19,18,2,24,13,1,0,,9,861,5,1,1,0x59A0|0x5A7F|0x6025|0x6CB5|0x6D0A|0x6E32|0x6EF2|0x7017|0x7184|0x728A,module:МАШ (address loop)/outer scan loop dispatcher; xdata:0x315B; xdata:0x3181; xdata:0x31A9; xdata:0x31B1; xdata:0x3640; xdata:0x36D3; xdata:0x36D9
90CYE_DKS,90CYE03_19_DKS.PZU,0x7017,sensor_to_zone_mapping_candidate,11.280,medium,dispatcher_or_router,23,22,1,13,17,4,0,,12,388,8,0,1,0x597F|0x5A7F|0x6FFC|0x70D8|0x7117|0x7D38|0x7D45|0x84A6,xdata:0x0001; xdata:0x30E9; xdata:0x30F1; xdata:0x30F2; xdata:0x30F3; xdata:0x30F4; xdata:0x30F5; xdata:0x30F6
90CYE_DKS,90CYE03_19_DKS.PZU,0x59A0,zone_table_candidate,11.160,medium,state_reader_or_packet_builder,23,22,2,3,6,0,2,,11,2,4,0,6,0x59FE|0x5A7F,xdata:0x30A5; xdata:0x317F; xdata:0x3208; xdata:0x36D3; xdata:0x36F2
90CYE_DKS,90CYE03_19_DKS.PZU,0x5EDC,sensor_to_zone_mapping_candidate,10.320,medium,dispatcher_or_router,40,39,1,13,13,2,0,,23,3,20,0,2,0x5EE3|0x5F35|0x5F4B|0x5F6B|0x5FA6|0x5FE0|0x5FE8|0x848E,xdata:0x30A0; xdata:0x30E2; xdata:0x30EE; xdata:0x3612; xdata:0x3613; xdata:0x361A; xdata:0x361B; xdata:0x361C
90CYE_DKS,90CYE03_19_DKS.PZU,0x7184,sensor_to_zone_mapping_candidate,9.580,low,dispatcher_or_router,18,17,1,16,3,1,0,,10,2,5,0,5,0x5935|0x597F|0x5A7F|0x5A9C|0x6833|0x6CCD|0x7227|0x7268|0x78F1|0x7922,xdata:0x30A1; xdata:0x30A2; xdata:0x30A4; xdata:0x30E7
90CYE_DKS,90CYE03_19_DKS.PZU,0x7D85,zone_table_candidate,8.620,low,state_update_worker,8,7,2,3,36,5,1,,3,0,11,0,2,0x7121|0x7D9B,xdata:0x0001; xdata:0x30EA; xdata:0x3125; xdata:0x3127; xdata:0x319E; xdata:0x3608; xdata:0x360B; xdata:0x360C
90CYE_DKS,90CYE03_19_DKS.PZU,0x77BF,zone_logic_candidate,8.200,low,dispatcher_or_router,24,23,1,14,1,0,0,,10,2,10,0,4,0x5A7F|0x5A9C|0x6833|0x6CCD|0x77F3|0x7806|0x848E,xdata:0x0008
90CYE_DKS,90CYE03_19_DKS.PZU,0x728A,sensor_to_zone_mapping_candidate,8.160,low,dispatcher_or_router,12,11,1,26,5,4,0,,6,168,0,0,1,0x5A7F|0x6EB8|0x6EC2|0x6ECE|0x6EE6|0x7316|0x7360|0x7366|0x7922|0x7D7A,xdata:0x30A2; xdata:0x30E5; xdata:0x30E7; xdata:0x30E8; xdata:0x30E9
90CYE_DKS,90CYE03_19_DKS.PZU,0x6EF2,sensor_to_zone_mapping_candidate,7.960,low,dispatcher_or_router,21,20,1,13,18,4,0,,11,2,8,0,1,0x597F|0x5A7F|0x6FB3|0x6FFC|0x7117|0x7D38|0x7D45|0x849E,xdata:0x0001; xdata:0x316D; xdata:0x319F; xdata:0x31A0; xdata:0x31A1; xdata:0x31A2; xdata:0x31A3; xdata:0x31A4
90CYE_DKS,90CYE03_19_DKS.PZU,0x6D0A,zone_table_candidate,7.260,low,code_table_or_ui_worker,1,0,1,1,0,0,3,,0,0,1,0,6,,
90CYE_DKS,90CYE03_19_DKS.PZU,0x7681,sensor_to_zone_mapping_candidate,7.240,low,dispatcher_or_router,13,12,1,4,9,4,0,,8,2,6,0,2,0x5A7F|0x76C4,xdata:0x0001; xdata:0x31BA; xdata:0x31BB; xdata:0x31BC; xdata:0x31BD; xdata:0x36F2; xdata:0x36F3
90CYE_DKS,90CYE03_19_DKS.PZU,0x6E32,zone_table_candidate,6.780,low,dispatcher_or_router,15,14,1,9,7,5,1,,7,2,3,0,2,0x5A7F|0x5AB5|0x5ACD|0x65DD|0x6E70|0x6E90|0x7902|0x792E|0x797F,xdata:0x30E3; xdata:0x30E4; xdata:0x30EB; xdata:0x30ED; xdata:0x315D; xdata:0x317F; xdata:0x36F9
90CYE_DKS,90CYE03_19_DKS.PZU,0x4176,sensor_to_zone_mapping_candidate,6.440,low,state_reader_or_packet_builder,7,6,0,1,5,0,0,,5,8,8,0,2,0x41CD,xdata:0x0035; xdata:0x2F22; xdata:0x2F23; xdata:0x2F24; xdata:0x2F25
90CYE_DKS,90CYE03_19_DKS.PZU,0x7889,sensor_to_zone_mapping_candidate,5.320,hypothesis,dispatcher_or_router,11,10,1,4,2,2,0,,5,0,8,0,2,0x5A7F|0x78A7|0x78BE|0x78F1,xdata:0x30A1; xdata:0x31A7; xdata:0x31A8
90CYE_DKS,90CYE03_19_DKS.PZU,0x673C,sensor_to_zone_mapping_candidate,5.200,hypothesis,dispatcher_or_router,12,11,1,11,8,2,0,,5,2,6,0,1,0x5A7F|0x5AA3|0x5D2E|0x5DB8|0x6CCD|0x78D8|0x795A|0x848E,xdata:0x30A3; xdata:0x30A6; xdata:0x30EE; xdata:0x3121; xdata:0x315B; xdata:0x3612; xdata:0x36ED; xdata:0x36FB
90CYE_DKS,90CYE03_19_DKS.PZU,0x4100,unknown_zone_related,4.900,hypothesis,dispatcher_or_router,12,11,0,5,1,0,0,,4,6,19,0,1,0x4112|0x4127|0x415F,xdata:0x0030
90CYE_DKS,90CYE03_19_DKS.PZU,0x797F,unknown_zone_related,4.580,hypothesis,dispatcher_or_router,7,6,1,8,16,4,0,,1,0,1,0,0,0x5A7F|0x5AB5|0x5ABA|0x5ABF|0x79BB,xdata:0x30EB; xdata:0x30EC; xdata:0x36D4; xdata:0x36D5; xdata:0x36D6; xdata:0x36D7; xdata:0x36D8
