branch,file,function_addr,code_addr,block_addr,mnemonic,operands,event_type,target_addr,fallthrough_addr,xdata_addr,xdata_access_type,call_target,zone_marker,output_marker,event_marker,confidence,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x497A,0x497A,MOV,"DPTR,#0x0035",xdata_read,,0x497D,0x0035,read,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,xdata=0x0035
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x497D,0x497A,MOVX,"A,@DPTR",instruction,,0x497E,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x497E,0x497A,ANL,"A,#0x0F",bit_operation,,0x4980,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x4980,0x497A,MOV,"0xF0,A",instruction,,0x4982,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x4982,0x497A,INC,DPTR,arithmetic,,0x4983,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x4983,0x497A,MOVX,"A,@DPTR",instruction,,0x4984,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x4984,0x497A,ANL,"A,#0x0F",bit_operation,,0x4986,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x4986,0x497A,UNK,,instruction,,0x4987,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x4987,0x497A,UNK,,instruction,,0x4988,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x4988,0x497A,UNK,,instruction,,0x498A,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x498A,0x497A,JC,+2,conditional_branch,0x498E,0x498C,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x498C,0x498C,CLR,0x04,bit_operation,,0x498E,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x498E,0x498E,RET,,instruction,,,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54BC,0x54BC,CLR,0xAF,bit_operation,,0x54BE,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54BE,0x54BC,MOV,"DPTR,#0x0001",instruction,,0x54C1,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54C1,0x54BC,LCALL,0x7922,call,0x7922,0x54C4,,,0x7922,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54C4,0x54BC,MOV,"A,0x8E",instruction,,0x54C6,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54C6,0x54BC,MOV,"DPTR,#0x36D9",xdata_write,,0x54C9,0x36D9,write,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,xdata=0x36D9
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54C9,0x54BC,MOVX,"@DPTR,A",instruction,,0x54CA,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54CA,0x54BC,SETB,0xAF,bit_operation,,0x54CC,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54CC,0x54BC,MOV,"DPTR,#0x36DA",instruction,,0x54CF,,,,sensor_to_zone_mapping,output_dispatcher,missing_event_link,hypothesis,static_trace
