branch,file,function_addr,code_addr,candidate_type,score,confidence,zone_state_candidate,mode_candidate,mnemonic,operands,xdata_addr,xdata_access_type,constant_hits,bit_operation_hits,conditional_branch_hits,string_marker_hits,related_calls,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x497E,zone_state_candidate,4.000,hypothesis,unknown,unknown,ANL,"A,#0x0F",,,1,1,0,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x4984,zone_state_candidate,4.000,hypothesis,unknown,unknown,ANL,"A,#0x0F",,,1,1,0,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x498A,zone_state_candidate,3.000,hypothesis,unknown,unknown,JC,+2,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x498C,zone_state_candidate,3.000,hypothesis,unknown,unknown,CLR,0x04,,,0,1,0,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54BC,zone_state_candidate,3.000,hypothesis,unknown,unknown,CLR,0xAF,,,0,1,0,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54CA,zone_state_candidate,3.000,hypothesis,unknown,unknown,SETB,0xAF,,,0,1,0,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54D6,zone_state_candidate,3.000,hypothesis,unknown,unknown,JNB,"0xE7,+10",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54E3,zone_state_candidate,3.000,hypothesis,unknown,unknown,SETB,0xE7,,,0,1,0,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54E6,zone_state_candidate,3.000,hypothesis,unknown,unknown,JB,"0xE0,+74",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54F9,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"A,#0x35,-8",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x54FE,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"A,#0xFF,-13",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5512,zone_state_candidate,3.000,hypothesis,unknown,unknown,CJNE,"A,0xF0,+18",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5523,zone_state_candidate,3.000,hypothesis,unknown,unknown,DJNZ,"R3,-8",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5525,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+8,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x553B,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"A,#0x31,-8",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5540,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"A,#0x7E,-13",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5552,zone_state_candidate,3.000,hypothesis,unknown,unknown,JB,"0xE0,+13",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x556B,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+27,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5573,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+19,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x55B1,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"A,#0x01,+27",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x55D0,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R0,#0x08,-43",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x55EA,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"A,#0x02,+27",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5609,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R0,#0x08,-43",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5621,zone_state_candidate,3.000,hypothesis,unknown,unknown,JNZ,+11,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x562F,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R0,#0x08,-24",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5648,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R0,#0x08,-7",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x565C,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+11,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x566A,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R0,#0x08,-24",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,priority functions
